,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:9C,78:A5:04:41:E9:F7,78:A5:04:41:EB:FC,78:A5:04:41:E5:75
1526443626325,-91,-94,-200,-200
1526443636043,-90,-200,-200,-200
1526443636171,-92,-200,-86,-200
1526443636246,-91,-200,-86,-200
1526443636348,-91,-200,-86,-200
1526443641006,-200,-200,-88,-200
1526443641224,-91,-200,-88,-200
1526443641327,-92,-200,-88,-200
1526443650915,-200,-200,-85,-95
1526443651348,-94,-200,-86,-200
1526443655930,-88,-200,-85,-200
1526443656042,-200,-200,-85,-200
1526443656155,-200,-200,-87,-200
1526443656248,-89,-200,-87,-200
1526443656353,-200,-200,-86,-200
1526443665893,-88,-200,-83,-200
1526443665995,-89,-200,-83,-200
1526443666107,-89,-200,-82,-92
1526443666214,-88,-200,-82,-200
1526443666341,-89,-200,-82,-200
1526443671276,-200,-200,-84,-92
1526443675964,-200,-200,-86,-200
