,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309
,74:da:da:c1:3c:11,74:da:da:c1:3c:85,74:da:da:c0:d7:01,0c:73:eb:d0:76:18,74:da:da:c1:3c:4d,74:da:da:c1:3b:19,74:da:da:c1:3c:45,0c:73:eb:d0:19:90,0c:73:eb:d0:2a:50,0c:73:eb:d0:19:a0,74:da:da:c1:3c:55,0c:73:eb:d0:76:50,0c:73:eb:d0:11:c0,74:da:da:c0:d8:3d,74:da:da:98:66:cc,74:da:da:c1:3c:86,74:da:da:98:85:1c,74:da:da:c1:3b:c9,74:da:da:c1:3c:12,74:da:da:98:ea:5d,74:da:da:c0:d8:3e,0c:73:eb:d0:19:88,74:da:da:98:90:94,0c:73:eb:d0:13:c8,74:da:da:98:ea:5c,74:da:da:98:ea:64,74:da:da:c1:3c:46,74:da:da:98:90:95,74:da:da:c1:3c:4e,74:da:da:c1:3b:1a,c0:61:18:93:35:28,74:da:da:c0:e0:6d,74:da:da:c1:3c:56,74:da:da:98:91:d4,74:da:da:c0:d6:f5,0c:73:eb:d0:13:b8,50:3a:a0:ea:01:66,0c:73:eb:d0:76:10,0c:73:eb:d0:13:b0,0c:73:eb:d0:0e:c8,74:da:da:98:90:2c,74:da:da:98:ea:51,0c:73:eb:d0:76:28,74:da:da:98:74:80,74:da:da:c0:f3:05,74:da:da:c1:3b:29,74:da:da:98:ea:50,74:da:da:c0:d7:c5,74:da:da:c0:d7:9d,0c:73:eb:d0:7f:08,0c:73:eb:d0:19:b8,0c:73:eb:d0:2a:90,74:da:da:98:8f:30,74:da:da:98:85:4c,0c:73:eb:d0:76:30,c0:61:18:93:3e:54
1526462031942,-50,-55,-56,-58,-58,-59,-67,-68,-68,-69,-70,-70,-71,-71,-73,-74,-75,-76,-77,-77,-78,-78,-78,-79,-79,-81,-82,-82,-84,-84,-85,-85,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462034971,-63,-52,-74,-64,-200,-58,-80,-57,-64,-70,-65,-200,-66,-69,-83,-83,-75,-200,-86,-77,-78,-78,-80,-85,-72,-85,-200,-200,-85,-200,-200,-85,-84,-200,-81,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462037977,-64,-58,-74,-62,-82,-58,-79,-57,-65,-70,-57,-91,-69,-68,-78,-74,-81,-200,-84,-200,-80,-200,-80,-79,-74,-85,-200,-200,-85,-200,-200,-200,-80,-200,-81,-89,-91,-80,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462040991,-58,-54,-74,-65,-80,-66,-67,-67,-65,-68,-62,-91,-72,-74,-78,-71,-81,-200,-81,-200,-85,-200,-76,-80,-70,-88,-200,-200,-85,-200,-200,-200,-80,-200,-200,-200,-88,-79,-85,-88,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462043994,-60,-60,-84,-64,-77,-67,-65,-68,-70,-73,-58,-200,-72,-80,-83,-74,-200,-200,-91,-84,-84,-200,-78,-78,-72,-200,-200,-200,-85,-200,-200,-200,-84,-200,-200,-200,-84,-200,-82,-200,-200,-200,-85,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462047029,-56,-61,-76,-62,-77,-68,-65,-65,-68,-73,-66,-200,-71,-69,-83,-76,-200,-200,-87,-83,-79,-200,-86,-77,-76,-200,-200,-200,-80,-200,-200,-200,-85,-200,-200,-200,-85,-200,-78,-200,-200,-200,-85,-89,-91,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462050057,-61,-62,-77,-66,-81,-58,-67,-62,-70,-69,-65,-200,-70,-71,-83,-75,-78,-200,-85,-83,-79,-200,-76,-81,-78,-200,-200,-200,-82,-200,-200,-200,-85,-200,-82,-200,-84,-78,-80,-200,-200,-200,-85,-89,-91,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462053098,-57,-58,-77,-66,-77,-68,-64,-67,-69,-72,-68,-200,-78,-69,-85,-78,-80,-200,-85,-200,-77,-200,-83,-80,-73,-89,-200,-200,-79,-200,-200,-200,-85,-200,-82,-200,-90,-79,-90,-200,-200,-200,-200,-88,-200,-84,-84,-87,-88,-91,-92,-200,-200,-200,-200,-200
1526462056130,-59,-55,-200,-55,-79,-69,-67,-66,-78,-71,-64,-200,-67,-71,-82,-78,-79,-200,-83,-78,-79,-81,-81,-76,-71,-89,-200,-200,-85,-200,-200,-200,-85,-200,-83,-200,-90,-79,-82,-200,-200,-200,-84,-88,-200,-84,-85,-87,-88,-91,-92,-88,-200,-200,-200,-200
