,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:3c:55,74:da:da:c1:3c:11,0c:73:eb:d0:19:90,74:da:da:c1:3c:85,0c:73:eb:d0:76:18,74:da:da:c1:3b:19,74:da:da:c0:d8:3d,0c:73:eb:d0:19:a0,74:da:da:98:66:cc,74:da:da:c0:e0:6d,0c:73:eb:d0:11:c0,74:da:da:98:85:1c,0c:73:eb:d0:13:b0,0c:73:eb:d0:76:10,74:da:da:c1:3c:86,0c:73:eb:d0:2a:50,74:da:da:c0:d8:3e,74:da:da:c1:3b:29,74:da:da:c0:d9:39,74:da:da:98:90:94,0c:73:eb:d0:7e:d0,74:da:da:98:ea:5c,74:da:da:c0:f6:15,74:da:da:c1:3c:12,74:da:da:c1:3c:45,0c:73:eb:d0:19:88,74:da:da:98:ea:64,74:da:da:98:74:74,74:da:da:c0:d7:01,0c:73:eb:d0:19:80,74:da:da:c0:d6:ed,74:da:da:c1:3c:4d,74:da:da:c0:d7:c5,74:da:da:98:ea:50,74:da:da:c1:4a:85,74:da:da:98:90:2c,74:da:da:c1:3c:56,0c:73:eb:d0:13:c8,74:da:da:98:91:d4,0c:73:eb:d0:76:28,74:da:da:c0:d7:9d,74:da:da:c1:3b:65,0c:73:eb:d0:76:50
1526462108668,-66,-68,-69,-71,-72,-72,-73,-76,-77,-77,-78,-78,-79,-79,-82,-83,-83,-83,-83,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462111695,-65,-73,-79,-67,-72,-71,-62,-76,-79,-77,-78,-78,-83,-79,-82,-84,-83,-83,-83,-85,-90,-79,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462114726,-64,-73,-76,-63,-75,-70,-58,-200,-79,-200,-83,-200,-86,-200,-200,-84,-83,-200,-200,-200,-200,-79,-84,-86,-78,-87,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462117729,-71,-78,-76,-64,-76,-67,-56,-200,-79,-200,-80,-200,-86,-84,-84,-79,-86,-84,-200,-200,-200,-200,-200,-85,-79,-87,-89,-92,-87,-88,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462120732,-65,-76,-200,-68,-76,-72,-72,-82,-86,-200,-80,-81,-84,-84,-84,-79,-86,-81,-200,-200,-200,-200,-200,-85,-82,-200,-200,-200,-87,-87,-89,-90,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462123735,-78,-69,-200,-73,-77,-64,-68,-82,-75,-200,-84,-81,-84,-89,-84,-81,-86,-73,-200,-200,-200,-200,-200,-90,-82,-200,-200,-200,-74,-87,-89,-90,-87,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526462126762,-70,-70,-200,-72,-73,-65,-69,-87,-75,-200,-83,-81,-200,-89,-200,-81,-88,-74,-200,-200,-200,-81,-200,-90,-200,-200,-200,-200,-68,-200,-200,-83,-87,-200,-90,-88,-91,-200,-200,-200,-200,-200,-200
1526462129771,-80,-71,-84,-72,-73,-73,-77,-86,-75,-200,-83,-81,-200,-89,-200,-81,-88,-75,-200,-200,-200,-78,-200,-90,-85,-200,-200,-200,-72,-200,-200,-85,-87,-200,-88,-88,-91,-91,-200,-200,-200,-200,-200
1526462132774,-79,-71,-84,-81,-78,-72,-75,-86,-75,-200,-200,-81,-85,-200,-200,-88,-87,-79,-200,-200,-200,-78,-200,-200,-85,-200,-200,-200,-71,-200,-91,-85,-200,-200,-88,-200,-200,-91,-90,-200,-200,-200,-200
1526462135776,-74,-200,-81,-77,-83,-70,-68,-200,-76,-200,-200,-81,-85,-200,-200,-85,-88,-74,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-71,-200,-91,-83,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526462138799,-74,-75,-79,-77,-79,-66,-66,-84,-80,-77,-86,-81,-83,-200,-200,-90,-88,-74,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-67,-200,-91,-84,-89,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
