,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:7F,7C:66:9D:7B:47:FC,78:A5:04:41:E9:92,78:A5:04:41:E7:D5,78:A5:04:41:EB:98,78:A5:04:41:E7:88,78:A5:04:41:E9:D7,78:A5:04:41:EB:E8,78:A5:04:41:E9:D2,78:A5:04:41:E9:82,78:A5:04:41:E9:EB,78:A5:04:41:E9:8A,78:A5:04:41:E5:34,78:A5:04:41:E5:62,7C:66:9D:7B:2E:21,78:A5:04:41:EB:FB,78:A5:04:41:E7:98,78:A5:04:41:E7:EF,78:A5:04:41:EB:D1,78:A5:04:41:EE:08,78:A5:04:41:E5:70,78:A5:04:41:E7:9D
1526440875925,-89,-94,-78,-79,-76,-83,-63,-82,-81,-91,-63,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526440876005,-89,-88,-78,-79,-75,-200,-200,-82,-81,-200,-200,-70,-90,-73,-97,-200,-200,-200,-200,-200,-200,-200
1526440876134,-90,-89,-78,-200,-75,-200,-200,-82,-200,-200,-200,-200,-90,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526440880809,-82,-200,-73,-200,-74,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526440880903,-82,-200,-200,-77,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526440881014,-82,-200,-74,-200,-75,-200,-68,-82,-84,-80,-70,-200,-82,-200,-200,-200,-200,-82,-200,-200,-200,-200
1526440881128,-82,-200,-73,-200,-76,-200,-68,-200,-200,-200,-73,-200,-200,-73,-200,-200,-87,-200,-200,-200,-200,-200
1526440881223,-200,-200,-70,-200,-77,-200,-68,-200,-200,-80,-200,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526440885873,-91,-200,-200,-200,-200,-200,-67,-87,-200,-200,-200,-89,-200,-200,-93,-79,-200,-200,-87,-200,-200,-200
1526440885967,-90,-200,-200,-200,-77,-84,-66,-87,-81,-80,-63,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526440886071,-200,-86,-200,-200,-76,-200,-66,-200,-81,-80,-63,-200,-200,-200,-94,-80,-200,-200,-87,-200,-200,-200
1526440886177,-90,-200,-200,-200,-200,-200,-72,-200,-81,-82,-200,-200,-200,-200,-96,-200,-88,-82,-200,-200,-200,-200
1526440890848,-89,-86,-200,-80,-82,-84,-200,-83,-81,-85,-74,-78,-200,-76,-200,-76,-200,-200,-200,-200,-200,-200
1526440890991,-200,-200,-72,-82,-200,-200,-72,-200,-82,-200,-74,-200,-200,-78,-200,-87,-200,-200,-200,-200,-200,-200
1526440891093,-90,-200,-200,-82,-200,-200,-73,-200,-200,-200,-200,-78,-200,-83,-200,-200,-200,-84,-200,-200,-200,-200
1526440891192,-200,-200,-200,-103,-200,-200,-200,-83,-200,-200,-69,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526440895830,-200,-200,-83,-77,-200,-200,-200,-200,-200,-80,-69,-200,-84,-200,-200,-200,-200,-82,-200,-200,-200,-200
1526440895939,-200,-200,-200,-78,-77,-200,-200,-84,-200,-79,-69,-78,-200,-200,-200,-200,-87,-82,-200,-200,-200,-200
1526440896042,-200,-94,-200,-78,-200,-200,-200,-200,-200,-79,-69,-78,-200,-74,-200,-84,-87,-200,-200,-200,-200,-200
1526440896149,-200,-200,-200,-77,-200,-200,-200,-83,-86,-80,-69,-200,-200,-74,-200,-200,-200,-81,-200,-200,-200,-200
1526440900817,-200,-86,-76,-200,-80,-86,-64,-200,-80,-80,-62,-78,-200,-82,-200,-81,-200,-200,-200,-85,-200,-200
1526440900929,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-78,-89,-200,-94,-200,-200,-200,-85,-84,-200,-200
1526440901016,-200,-200,-200,-200,-77,-200,-64,-87,-80,-200,-200,-78,-200,-84,-200,-82,-200,-200,-86,-200,-200,-200
1526440901230,-200,-200,-200,-200,-200,-200,-67,-200,-80,-84,-73,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526440905855,-200,-87,-69,-200,-200,-81,-200,-200,-80,-84,-200,-82,-86,-200,-200,-200,-87,-200,-200,-200,-200,-200
1526440905985,-90,-87,-69,-200,-200,-200,-200,-200,-82,-200,-73,-83,-87,-76,-200,-77,-200,-200,-200,-200,-200,-200
1526440906110,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-73,-84,-200,-76,-200,-77,-200,-200,-200,-200,-93,-200
1526440906248,-83,-92,-200,-200,-200,-200,-67,-84,-200,-200,-75,-200,-200,-200,-99,-78,-87,-200,-200,-200,-200,-200
1526440910896,-84,-200,-200,-77,-200,-200,-76,-84,-200,-200,-200,-200,-84,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526440910997,-83,-200,-85,-200,-75,-200,-76,-83,-88,-79,-66,-75,-200,-74,-200,-200,-200,-81,-200,-200,-200,-200
1526440911101,-82,-200,-200,-78,-200,-200,-76,-84,-200,-200,-66,-75,-84,-200,-200,-80,-200,-94,-200,-200,-200,-200
1526440915828,-200,-200,-200,-200,-200,-200,-74,-200,-200,-83,-62,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526440915945,-200,-200,-200,-200,-77,-200,-63,-86,-200,-80,-62,-200,-87,-200,-200,-200,-200,-200,-87,-83,-200,-200
1526440916081,-200,-86,-200,-200,-200,-200,-200,-86,-200,-80,-62,-83,-87,-200,-200,-200,-200,-200,-200,-84,-200,-200
1526440916181,-200,-86,-75,-200,-200,-85,-200,-85,-82,-83,-62,-84,-200,-200,-200,-83,-200,-200,-84,-200,-200,-200
1526440920817,-88,-86,-200,-79,-200,-81,-200,-82,-80,-200,-200,-200,-200,-76,-200,-75,-200,-82,-200,-200,-200,-200
1526440920918,-88,-200,-200,-79,-200,-81,-200,-82,-80,-200,-74,-200,-200,-200,-200,-76,-200,-82,-200,-87,-200,-200
1526440921038,-89,-200,-200,-79,-83,-200,-200,-82,-200,-83,-74,-200,-200,-200,-200,-200,-200,-82,-200,-86,-200,-200
1526440921166,-90,-85,-200,-200,-83,-200,-80,-81,-200,-82,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526440925809,-83,-94,-79,-79,-200,-200,-200,-83,-200,-80,-200,-77,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200
1526440925920,-81,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-80,-200,-200,-200,-200,-81,-200,-200,-200,-200
1526440926019,-84,-200,-200,-79,-200,-86,-65,-83,-200,-80,-69,-77,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526440926133,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-77,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
1526440926224,-82,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526440930846,-98,-200,-200,-200,-80,-200,-200,-89,-200,-83,-65,-200,-200,-86,-92,-200,-200,-200,-200,-200,-200,-92
1526440930963,-90,-200,-74,-200,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526440931047,-89,-88,-74,-200,-79,-200,-75,-200,-86,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526440931160,-88,-85,-72,-200,-200,-82,-200,-200,-82,-80,-63,-200,-200,-200,-92,-200,-200,-200,-87,-89,-200,-200
1526440935830,-88,-200,-74,-78,-82,-200,-78,-200,-200,-85,-69,-74,-200,-76,-200,-76,-200,-83,-200,-200,-200,-200
1526440935926,-89,-85,-74,-200,-82,-200,-77,-200,-82,-86,-68,-200,-200,-200,-200,-76,-200,-83,-200,-200,-200,-200
1526440936062,-200,-85,-74,-200,-200,-79,-77,-82,-83,-85,-68,-74,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526440936160,-87,-86,-200,-200,-200,-200,-78,-200,-200,-200,-68,-79,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
1526440940820,-200,-92,-200,-78,-200,-84,-73,-200,-200,-80,-200,-200,-84,-74,-200,-200,-86,-200,-200,-200,-200,-200
1526440940929,-200,-90,-81,-78,-200,-200,-200,-83,-200,-200,-69,-79,-200,-75,-200,-200,-87,-82,-200,-200,-200,-88
1526440941033,-83,-91,-200,-78,-78,-200,-200,-200,-200,-200,-200,-78,-83,-200,-200,-200,-200,-82,-200,-200,-200,-200
1526440941155,-200,-200,-79,-200,-78,-84,-200,-200,-200,-80,-200,-78,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200
