,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:80,78:A5:04:41:E9:DA,78:A5:04:41:E9:CD,78:A5:04:41:EB:8B,78:A5:04:41:E9:B4,78:A5:04:41:E7:85,78:A5:04:41:E7:D4,78:A5:04:41:EB:97
1526457005818,-69,-66,-92,-78,-200,-200,-200,-200
1526457005921,-68,-65,-90,-78,-79,-69,-200,-200
1526457006029,-68,-66,-200,-78,-200,-69,-94,-200
1526457010788,-200,-75,-200,-69,-81,-77,-200,-200
1526457010875,-72,-74,-200,-64,-81,-77,-200,-200
1526457010992,-73,-75,-200,-64,-81,-200,-200,-200
1526457011093,-74,-74,-200,-64,-81,-78,-200,-200
1526457011195,-200,-200,-200,-64,-200,-200,-200,-200
1526457015713,-76,-66,-90,-82,-79,-68,-200,-92
1526457015804,-77,-66,-90,-82,-79,-68,-200,-200
1526457015914,-75,-65,-200,-82,-78,-200,-200,-200
1526457016021,-76,-66,-200,-82,-200,-200,-200,-200
1526457016127,-77,-73,-200,-82,-200,-200,-200,-200
1526457020831,-67,-77,-89,-81,-200,-68,-90,-200
1526457025967,-66,-77,-200,-74,-80,-68,-92,-200
1526457026067,-67,-200,-200,-74,-200,-68,-91,-200
1526457026171,-67,-75,-200,-64,-80,-78,-200,-200
1526457030796,-200,-76,-200,-64,-200,-200,-200,-200
1526457030909,-72,-76,-200,-63,-80,-78,-200,-200
1526457031067,-71,-76,-200,-64,-200,-79,-200,-200
1526457031160,-77,-68,-200,-81,-81,-79,-200,-200
1526457035763,-77,-67,-90,-200,-78,-68,-200,-200
1526457035877,-200,-200,-200,-82,-79,-200,-94,-200
1526457036010,-200,-68,-90,-81,-79,-200,-200,-200
1526457036104,-77,-68,-89,-82,-200,-200,-200,-200
1526457040705,-66,-78,-200,-74,-200,-68,-91,-200
1526457040838,-66,-78,-90,-74,-79,-68,-200,-200
1526457040962,-66,-77,-200,-74,-80,-68,-200,-200
1526457041158,-72,-76,-200,-64,-80,-79,-200,-200
1526457045913,-70,-76,-200,-200,-80,-78,-200,-200
1526457046018,-76,-76,-90,-64,-200,-68,-200,-200
1526457050739,-200,-67,-200,-81,-78,-200,-200,-200
1526457050847,-200,-67,-200,-81,-78,-200,-200,-200
1526457050948,-76,-67,-90,-81,-78,-68,-200,-93
1526457051051,-76,-67,-200,-80,-78,-68,-200,-200
1526457055706,-66,-77,-200,-200,-80,-68,-200,-200
1526457055811,-66,-78,-200,-200,-80,-68,-200,-200
1526457055912,-66,-200,-200,-70,-81,-68,-200,-200
1526457056019,-200,-200,-89,-74,-79,-200,-200,-200
1526457056117,-200,-76,-200,-64,-80,-77,-200,-200
1526457060767,-200,-76,-200,-200,-80,-77,-200,-200
1526457060968,-69,-200,-200,-200,-80,-78,-200,-200
1526457061089,-69,-200,-200,-200,-200,-200,-200,-200
1526457065708,-69,-200,-92,-200,-200,-200,-200,-200
1526457065817,-69,-69,-91,-77,-200,-200,-200,-200
1526457065934,-69,-69,-200,-76,-200,-200,-200,-200
1526457066037,-68,-200,-200,-200,-78,-200,-200,-200
