,null,null,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:2F:12,7C:66:9D:7B:47:3D,7C:66:9D:7B:2B:CB,78:A5:04:41:EE:1D,78:A5:04:41:EB:DD,78:A5:04:41:E7:93,78:A5:04:41:EE:15,78:A5:04:41:E7:EF,BC:6A:29:BE:31:61,7C:66:9D:7B:2B:BA,78:A5:04:41:E7:98,7C:66:9D:7B:46:8C,78:A5:04:41:E5:70,78:A5:04:41:E7:A2,78:A5:04:41:EB:CE,78:A5:04:41:E5:62,7C:66:9D:7B:2B:E4,78:A5:04:41:E7:88
1526452863911,-66,-84,-82,-76,-74,-80,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452865008,-200,-90,-200,-200,-86,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452865168,-66,-88,-200,-200,-200,-200,-200,-79,-76,-70,-90,-90,-200,-200,-200,-200,-200,-200
1526452866126,-200,-89,-200,-200,-75,-79,-77,-200,-200,-73,-200,-78,-92,-80,-92,-200,-200,-200
1526452867235,-66,-200,-200,-200,-200,-200,-75,-80,-68,-200,-94,-200,-94,-68,-200,-200,-200,-200
1526452868311,-67,-88,-82,-86,-200,-90,-79,-200,-76,-200,-200,-96,-200,-72,-200,-200,-200,-200
1526452869455,-67,-84,-200,-200,-200,-80,-200,-81,-66,-75,-200,-86,-90,-78,-200,-200,-200,-200
1526452871632,-66,-83,-85,-87,-76,-88,-200,-78,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526452871718,-68,-88,-200,-76,-76,-200,-76,-81,-200,-68,-200,-200,-200,-71,-200,-200,-200,-200
1526452872798,-200,-90,-200,-200,-85,-92,-200,-200,-78,-70,-200,-200,-200,-68,-200,-95,-200,-200
1526452873910,-66,-85,-87,-200,-200,-200,-77,-200,-66,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526452875024,-200,-88,-200,-200,-200,-86,-89,-78,-76,-200,-200,-90,-200,-200,-94,-200,-200,-200
1526452876110,-65,-79,-79,-200,-76,-80,-76,-200,-65,-79,-200,-82,-96,-200,-92,-200,-200,-200
1526452878304,-79,-200,-87,-72,-84,-200,-200,-200,-76,-71,-200,-88,-200,-200,-200,-200,-200,-200
1526452879409,-200,-88,-94,-200,-78,-84,-76,-200,-200,-73,-200,-92,-92,-200,-200,-200,-200,-200
1526452880521,-66,-91,-88,-75,-75,-200,-200,-200,-200,-71,-200,-79,-93,-72,-200,-92,-200,-200
1526452881731,-77,-93,-200,-75,-200,-200,-200,-200,-66,-200,-92,-200,-93,-76,-200,-200,-200,-200
1526452882779,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452883819,-67,-87,-200,-200,-200,-82,-77,-77,-200,-200,-200,-80,-91,-200,-200,-200,-200,-200
1526452884922,-78,-200,-200,-200,-86,-200,-77,-200,-76,-200,-200,-86,-200,-200,-93,-200,-200,-200
1526452886029,-66,-84,-200,-200,-200,-200,-200,-200,-200,-75,-200,-94,-200,-200,-92,-200,-200,-200
1526452887116,-66,-87,-83,-200,-76,-200,-75,-80,-65,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526452888207,-200,-200,-94,-78,-200,-84,-200,-76,-74,-71,-87,-91,-200,-66,-94,-200,-97,-200
1526452888317,-200,-87,-87,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452889355,-67,-200,-200,-200,-200,-200,-200,-200,-67,-75,-200,-200,-94,-200,-200,-200,-98,-200
1526452890420,-66,-84,-84,-200,-77,-81,-75,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-97
1526452891534,-200,-91,-91,-78,-76,-200,-200,-77,-75,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526452892706,-66,-84,-200,-76,-76,-80,-200,-200,-68,-67,-200,-200,-200,-75,-200,-200,-200,-200
1526452893789,-200,-200,-200,-200,-200,-200,-84,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452894832,-200,-200,-90,-76,-87,-200,-76,-76,-74,-200,-87,-200,-91,-200,-200,-94,-200,-200
1526452895989,-73,-84,-200,-72,-200,-200,-200,-77,-68,-200,-200,-200,-200,-66,-200,-200,-200,-200
1526452897164,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452898114,-68,-83,-86,-77,-200,-200,-76,-200,-71,-200,-200,-82,-90,-200,-200,-200,-200,-200
1526452899217,-74,-86,-91,-200,-200,-200,-82,-200,-66,-200,-94,-86,-200,-200,-200,-200,-95,-200
1526452900320,-72,-86,-200,-200,-200,-82,-90,-75,-73,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526452901448,-72,-200,-200,-200,-75,-200,-81,-81,-71,-200,-91,-200,-200,-77,-200,-200,-200,-200
1526452902520,-69,-200,-82,-200,-200,-83,-90,-82,-200,-76,-200,-200,-92,-65,-200,-200,-200,-200
1526452903630,-76,-79,-91,-200,-77,-200,-81,-87,-200,-70,-90,-88,-200,-200,-200,-200,-200,-200
1526452903736,-72,-200,-86,-200,-75,-200,-76,-78,-67,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526452905955,-74,-200,-200,-200,-78,-200,-200,-200,-71,-77,-90,-200,-200,-200,-200,-200,-200,-200
1526452907009,-70,-200,-200,-75,-75,-200,-200,-200,-69,-70,-200,-88,-200,-73,-92,-200,-200,-200
1526452908111,-70,-200,-86,-77,-74,-200,-200,-200,-70,-68,-200,-200,-200,-65,-200,-200,-200,-200
1526452909210,-74,-83,-200,-77,-200,-89,-78,-75,-68,-200,-200,-84,-200,-67,-200,-92,-200,-200
1526452910388,-71,-86,-200,-200,-75,-200,-200,-200,-68,-69,-200,-200,-95,-200,-92,-200,-200,-200
1526452911423,-67,-79,-200,-73,-200,-200,-82,-76,-68,-200,-200,-83,-200,-64,-200,-200,-200,-200
1526452912579,-77,-200,-82,-200,-75,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526452913633,-71,-96,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200
1526452913744,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200
1526452914728,-68,-79,-85,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452915832,-75,-85,-82,-77,-78,-200,-200,-200,-67,-200,-200,-85,-200,-66,-200,-200,-200,-200
1526452916913,-72,-200,-80,-79,-73,-200,-200,-74,-70,-70,-200,-200,-200,-83,-200,-200,-200,-200
1526452918068,-75,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-70,-94,-200,-200,-200
1526452919103,-72,-83,-80,-79,-200,-82,-81,-78,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452920211,-200,-79,-84,-74,-200,-200,-76,-200,-68,-68,-97,-200,-200,-66,-200,-200,-200,-200
1526452921369,-72,-85,-200,-200,-200,-200,-80,-74,-200,-200,-200,-200,-200,-66,-92,-200,-200,-200
1526452923519,-74,-200,-86,-75,-78,-200,-77,-74,-200,-85,-200,-84,-200,-200,-92,-90,-200,-200
1526452924616,-200,-94,-200,-200,-75,-200,-76,-200,-67,-200,-200,-89,-200,-69,-93,-200,-200,-200
1526452924721,-200,-200,-200,-200,-74,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452925824,-72,-200,-200,-74,-79,-83,-77,-76,-70,-71,-91,-200,-200,-68,-90,-92,-200,-200
1526452926923,-71,-200,-200,-200,-74,-200,-76,-200,-67,-72,-200,-87,-200,-200,-200,-200,-200,-200
1526452928009,-200,-200,-200,-200,-200,-80,-79,-79,-200,-200,-200,-78,-200,-66,-200,-200,-200,-200
