,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011a.0012-vlucci.com A1.4.0.1,null,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,0125.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:E7:98,78:A5:04:41:EB:98,F4:B8:5E:AA:7A:38,78:A5:04:41:E7:A2,78:A5:04:41:EE:15,78:A5:04:41:E7:88,78:A5:04:41:E9:EB,F4:B8:5E:AA:77:7E,BC:6A:29:BE:2F:12,7C:66:9D:7B:2B:CB,78:A5:04:41:E7:EF,78:A5:04:41:EB:CE,78:A5:04:41:E7:D5,78:A5:04:41:E5:70,78:A5:04:41:EE:1D,78:A5:04:41:E9:92,7C:66:9D:7B:46:8C,78:A5:04:41:E5:62,7C:66:9D:7B:47:3D,78:A5:04:41:E7:93,BC:6A:29:BE:31:61,F4:B8:5E:AA:79:21,78:A5:04:41:EB:FB,7C:66:9D:7B:2B:BA,78:A5:04:41:E9:D7,78:A5:04:41:E9:8A,78:A5:04:41:E5:34,7C:66:9D:7B:47:FC
1526452154318,-70,-72,-77,-84,-77,-72,-86,-78,-92,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452155477,-70,-200,-85,-200,-76,-74,-200,-85,-200,-86,-61,-90,-85,-88,-66,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452155596,-66,-78,-84,-200,-72,-200,-200,-86,-200,-92,-69,-91,-200,-200,-71,-200,-91,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452157733,-72,-200,-80,-200,-200,-73,-86,-78,-200,-86,-60,-200,-85,-90,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452158082,-200,-74,-200,-82,-200,-70,-83,-200,-200,-93,-65,-200,-82,-200,-70,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452159130,-200,-200,-79,-94,-200,-77,-200,-200,-200,-200,-62,-90,-200,-84,-200,-200,-94,-200,-94,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526452160225,-71,-74,-83,-200,-80,-72,-200,-200,-200,-200,-61,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452161301,-200,-200,-200,-81,-74,-200,-200,-87,-200,-91,-64,-200,-200,-200,-200,-200,-98,-200,-94,-200,-88,-92,-200,-200,-200,-200,-200,-200
1526452162422,-200,-200,-85,-200,-200,-75,-89,-200,-99,-200,-63,-200,-200,-200,-72,-200,-94,-80,-200,-200,-200,-97,-95,-200,-200,-200,-200,-200
1526452163527,-70,-200,-200,-80,-200,-200,-200,-87,-96,-200,-200,-92,-200,-90,-70,-95,-96,-200,-94,-200,-96,-200,-94,-90,-79,-200,-200,-200
1526452164712,-68,-75,-200,-200,-82,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-93,-200,-200,-200,-92,-200,-94,-200,-200,-200,-200,-200
1526452165811,-200,-73,-86,-200,-200,-72,-200,-88,-97,-200,-62,-88,-200,-200,-70,-200,-95,-200,-200,-90,-93,-200,-94,-90,-83,-200,-200,-200
1526452166939,-200,-73,-200,-200,-75,-72,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526452168035,-200,-74,-200,-82,-200,-200,-200,-200,-200,-89,-66,-88,-200,-200,-68,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526452169108,-200,-200,-200,-200,-200,-200,-90,-200,-200,-91,-200,-89,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-81,-96,-200,-200
1526452170209,-200,-73,-81,-200,-79,-200,-83,-82,-100,-200,-62,-200,-200,-200,-68,-200,-200,-200,-97,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526452171370,-68,-74,-200,-200,-74,-72,-200,-200,-94,-200,-200,-200,-84,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452172427,-71,-200,-200,-200,-81,-200,-200,-200,-96,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
