,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:56:a1,74:da:da:98:85:1c,0c:73:eb:d0:7f:08,0c:73:eb:d0:7f:10,0c:73:eb:d0:13:b8,0c:73:eb:d0:11:c0,74:da:da:98:85:00,74:da:da:c1:3b:29,74:da:da:98:74:80,74:da:da:c1:3c:85,74:da:da:98:85:60,74:da:da:98:ea:5c,0c:73:eb:d0:13:90,74:da:da:c0:d8:3d,0c:73:eb:d0:11:e0,74:da:da:98:85:4c,0c:73:eb:d0:13:a8,0c:73:eb:d0:11:f8,74:da:da:98:92:14,74:da:da:98:91:d4,0c:73:eb:d0:19:88,74:da:da:c0:d7:b9,74:da:da:c1:3c:51,74:da:da:c0:d7:19,0c:73:eb:d0:13:d8,74:da:da:c1:3a:81,74:da:da:c1:3a:8d,0c:73:eb:d0:13:98,74:da:da:c0:f4:69,0c:73:eb:d0:7e:e0,0c:73:eb:d0:19:a0,74:da:da:c0:e0:69,74:da:da:c0:d7:9d,0c:73:eb:d0:7c:40,0c:73:eb:d0:19:90,0c:73:eb:d0:7c:28,0c:73:eb:d0:7e:f0,0c:73:eb:d0:7c:38,74:da:da:c0:f3:01,74:da:da:98:74:74,0c:73:eb:d0:7e:f8,74:da:da:c0:e0:71,0c:73:eb:d0:13:c0,74:da:da:c1:3c:e1,0c:73:eb:d0:76:30,0c:73:eb:d0:7e:e8,74:da:da:c1:3d:2d,74:da:da:c0:e0:81,74:da:da:c1:3b:19,74:da:da:c0:f6:15,74:da:da:98:74:34,74:da:da:c1:48:bd,74:da:da:98:7a:50,74:da:da:c1:3c:4d,0c:73:eb:d0:7c:08,74:da:da:c1:3c:55
1526463663585,-47,-49,-49,-52,-53,-56,-60,-62,-65,-65,-66,-66,-66,-67,-68,-71,-71,-72,-75,-76,-77,-78,-78,-79,-80,-80,-81,-82,-83,-83,-83,-85,-85,-87,-87,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463666632,-47,-49,-49,-60,-65,-54,-69,-62,-65,-65,-66,-66,-66,-67,-65,-71,-76,-69,-200,-76,-77,-78,-78,-79,-79,-76,-200,-82,-83,-79,-83,-81,-85,-87,-87,-200,-91,-63,-75,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463669672,-47,-49,-49,-60,-65,-54,-69,-62,-65,-65,-66,-66,-66,-67,-65,-71,-76,-69,-200,-76,-77,-78,-78,-79,-79,-76,-200,-82,-83,-79,-83,-81,-85,-87,-87,-200,-91,-63,-75,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463672703,-47,-49,-49,-60,-65,-54,-69,-62,-65,-65,-66,-66,-66,-67,-65,-71,-76,-69,-200,-76,-77,-78,-78,-79,-79,-76,-200,-82,-83,-79,-83,-81,-85,-87,-87,-200,-91,-63,-75,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463675746,-56,-44,-73,-61,-64,-63,-70,-66,-69,-78,-57,-70,-75,-68,-58,-66,-71,-70,-75,-73,-86,-73,-200,-86,-80,-75,-82,-200,-76,-79,-200,-81,-200,-200,-200,-200,-200,-71,-80,-86,-71,-74,-84,-85,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463678785,-56,-44,-67,-61,-64,-59,-75,-66,-69,-84,-59,-70,-75,-75,-58,-65,-67,-70,-75,-73,-86,-73,-89,-86,-78,-79,-82,-200,-77,-79,-200,-81,-200,-200,-200,-200,-200,-66,-80,-86,-67,-74,-84,-85,-86,-86,-84,-86,-91,-200,-200,-200,-200,-200,-200,-200
1526463681826,-56,-44,-67,-61,-64,-59,-75,-66,-69,-84,-59,-70,-75,-75,-58,-65,-67,-70,-75,-73,-86,-73,-89,-86,-78,-79,-82,-200,-77,-79,-200,-81,-200,-200,-200,-200,-200,-66,-80,-86,-67,-74,-84,-85,-86,-86,-84,-86,-91,-200,-200,-200,-200,-200,-200,-200
1526463684872,-56,-44,-67,-61,-64,-59,-75,-66,-69,-84,-59,-70,-75,-75,-58,-65,-67,-70,-75,-73,-86,-73,-89,-86,-78,-79,-82,-200,-77,-79,-200,-81,-200,-200,-200,-200,-200,-66,-80,-86,-67,-74,-84,-85,-86,-86,-84,-86,-91,-200,-200,-200,-200,-200,-200,-200
1526463687914,-59,-51,-70,-66,-70,-58,-76,-67,-200,-76,-58,-70,-74,-78,-60,-63,-67,-69,-75,-75,-85,-73,-89,-200,-81,-84,-83,-78,-74,-200,-85,-200,-90,-91,-200,-200,-200,-66,-200,-200,-69,-71,-85,-200,-200,-86,-84,-86,-91,-74,-86,-87,-88,-89,-200,-200
