,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:85:1c,0c:73:eb:d0:11:c0,74:da:da:c1:56:a1,74:da:da:98:85:60,0c:73:eb:d0:7f:08,0c:73:eb:d0:7c:38,0c:73:eb:d0:7e:f8,74:da:da:98:85:4c,0c:73:eb:d0:7f:10,74:da:da:98:85:00,74:da:da:c1:3b:29,0c:73:eb:d0:11:e0,0c:73:eb:d0:13:b8,0c:73:eb:d0:13:a8,74:da:da:c0:d8:3d,74:da:da:98:91:d4,74:da:da:c1:3c:85,0c:73:eb:d0:11:f8,74:da:da:98:92:14,74:da:da:c1:3a:81,74:da:da:c0:e0:71,74:da:da:98:74:80,74:da:da:c0:f6:15,74:da:da:c0:d7:b9,74:da:da:c1:3a:8d,74:da:da:c0:e0:69,74:da:da:98:ea:5c,74:da:da:c0:d7:19,0c:73:eb:d0:13:d8,74:da:da:c0:f3:01,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7c:08,74:da:da:c1:3c:4d,0c:73:eb:d0:19:a0,74:da:da:c1:48:bd,74:da:da:98:74:74,0c:73:eb:d0:13:98,0c:73:eb:d0:13:c0,74:da:da:c1:3c:55,74:da:da:c0:d7:9d,74:da:da:c1:56:ed,74:da:da:c0:f4:69,0c:73:eb:d0:19:90,74:da:da:c1:3c:51,74:da:da:c0:d7:c5,74:da:da:c0:e2:d9,0c:73:eb:d0:76:30,74:da:da:c1:3c:e1,0c:73:eb:d0:13:90,74:da:da:98:7a:60,0c:73:eb:d0:7e:e0,0c:73:eb:d0:13:d0,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:00,74:da:da:98:7a:68,74:da:da:98:7a:50
1526463737826,-42,-56,-58,-63,-63,-64,-64,-65,-66,-67,-67,-67,-68,-68,-69,-70,-74,-74,-75,-76,-76,-76,-76,-77,-79,-79,-80,-80,-82,-82,-83,-84,-84,-85,-85,-85,-88,-89,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463740858,-63,-60,-47,-63,-63,-60,-66,-65,-50,-77,-67,-56,-68,-66,-69,-70,-74,-54,-200,-67,-200,-84,-200,-68,-86,-79,-70,-200,-200,-74,-200,-200,-200,-78,-85,-85,-88,-200,-200,-200,-84,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463743887,-63,-60,-47,-63,-63,-60,-66,-65,-50,-77,-67,-56,-68,-66,-69,-70,-74,-54,-200,-67,-200,-84,-200,-68,-86,-79,-70,-200,-200,-74,-200,-200,-200,-78,-85,-85,-88,-200,-200,-200,-84,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463746917,-63,-60,-47,-63,-63,-60,-66,-65,-50,-77,-67,-56,-68,-66,-69,-70,-74,-54,-200,-67,-200,-84,-200,-68,-86,-79,-70,-200,-200,-74,-200,-200,-200,-78,-85,-85,-88,-200,-200,-200,-84,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463749953,-61,-62,-48,-64,-61,-61,-66,-70,-53,-76,-200,-61,-71,-64,-88,-69,-88,-55,-200,-65,-77,-84,-200,-66,-89,-200,-66,-77,-200,-75,-84,-84,-200,-78,-80,-200,-200,-200,-200,-200,-84,-83,-90,-80,-86,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526463753001,-61,-62,-48,-64,-68,-60,-71,-70,-57,-75,-200,-57,-75,-68,-88,-68,-88,-55,-200,-65,-77,-87,-200,-66,-89,-200,-66,-77,-200,-75,-84,-84,-200,-78,-81,-200,-200,-90,-200,-200,-84,-83,-89,-80,-86,-89,-88,-89,-80,-86,-87,-92,-200,-200,-200,-200
1526463756031,-61,-62,-48,-64,-68,-60,-71,-70,-57,-75,-200,-57,-75,-68,-88,-68,-88,-55,-200,-65,-77,-87,-200,-66,-89,-200,-66,-77,-200,-75,-84,-84,-200,-78,-81,-200,-200,-90,-200,-200,-84,-83,-89,-80,-86,-89,-88,-89,-80,-86,-87,-92,-200,-200,-200,-200
1526463759077,-61,-62,-48,-64,-68,-60,-71,-70,-57,-75,-200,-57,-75,-68,-88,-68,-88,-55,-200,-65,-77,-87,-200,-66,-89,-200,-66,-77,-200,-75,-84,-84,-200,-78,-81,-200,-200,-90,-200,-200,-84,-83,-89,-80,-86,-89,-88,-89,-80,-86,-87,-92,-200,-200,-200,-200
1526463762116,-61,-59,-48,-66,-61,-62,-67,-68,-57,-71,-200,-60,-77,-68,-200,-71,-200,-56,-200,-64,-74,-87,-200,-71,-90,-79,-67,-200,-200,-69,-200,-200,-200,-200,-80,-200,-200,-90,-200,-200,-86,-79,-88,-200,-200,-89,-200,-200,-80,-86,-87,-92,-86,-87,-91,-200
