,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:56:a1,0c:73:eb:d0:7e:f8,0c:73:eb:d0:11:f8,0c:73:eb:d0:7f:10,0c:73:eb:d0:7f:08,0c:73:eb:d0:7c:38,74:da:da:98:85:1c,0c:73:eb:d0:11:e0,74:da:da:98:85:00,0c:73:eb:d0:13:a8,74:da:da:c0:d7:b9,74:da:da:98:85:60,0c:73:eb:d0:13:b8,74:da:da:98:91:d4,0c:73:eb:d0:11:c0,74:da:da:c0:f3:01,74:da:da:98:85:4c,74:da:da:c0:e0:71,0c:73:eb:d0:7f:18,74:da:da:c0:d7:19,74:da:da:c1:3c:51,74:da:da:c1:3a:81,74:da:da:c1:48:bd,74:da:da:98:ea:5c,74:da:da:c0:f4:69,0c:73:eb:d0:7c:08,0c:73:eb:d0:13:90,0c:73:eb:d0:7e:e8,0c:73:eb:d0:76:30,74:da:da:98:74:80,74:da:da:c1:56:ed,0c:73:eb:d0:13:c0,c0:61:18:93:3e:54,74:da:da:c1:3c:85,74:da:da:c0:d8:3d,0c:73:eb:d0:19:90,0c:73:eb:d0:7a:68,0c:73:eb:d0:76:38,74:da:da:98:7a:60,0c:73:eb:d0:7e:e0,74:da:da:c0:e2:d9,74:da:da:c1:3c:4d,74:da:da:98:7a:50,74:da:da:c0:d7:81,74:da:da:c0:d7:c5,74:da:da:98:92:14,74:da:da:c0:d7:0d,0c:73:eb:d0:19:88,74:da:da:c0:e0:69,74:da:da:c0:e0:81,0c:73:eb:d0:7c:00,74:da:da:c1:3a:dd,74:da:da:98:7a:6c,0c:73:eb:d0:7e:f0
1526463812016,-47,-51,-55,-59,-60,-61,-62,-62,-63,-63,-63,-65,-70,-70,-71,-72,-72,-73,-75,-76,-76,-77,-77,-78,-78,-79,-79,-81,-82,-84,-84,-85,-86,-88,-88,-88,-88,-88,-89,-90,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463815052,-45,-49,-55,-57,-60,-61,-62,-64,-63,-63,-59,-60,-70,-66,-79,-63,-72,-200,-75,-76,-76,-81,-77,-77,-78,-71,-79,-79,-82,-200,-84,-85,-86,-200,-88,-88,-88,-88,-200,-200,-83,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463818080,-45,-49,-55,-57,-60,-61,-62,-64,-63,-63,-59,-60,-70,-66,-79,-63,-72,-200,-75,-76,-76,-81,-77,-77,-78,-71,-79,-79,-82,-200,-84,-85,-86,-200,-88,-88,-88,-88,-200,-200,-83,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463821117,-45,-49,-55,-57,-60,-61,-62,-64,-63,-63,-59,-60,-70,-66,-79,-63,-72,-200,-75,-76,-76,-81,-77,-77,-78,-71,-79,-79,-82,-200,-84,-85,-86,-200,-88,-88,-88,-88,-200,-200,-83,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463824153,-49,-51,-78,-53,-65,-59,-200,-64,-63,-74,-59,-63,-83,-66,-73,-63,-200,-200,-75,-76,-200,-81,-77,-69,-78,-81,-200,-81,-85,-200,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-88,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463827183,-49,-51,-78,-53,-65,-59,-200,-64,-63,-74,-59,-63,-83,-66,-73,-63,-200,-200,-75,-76,-200,-81,-77,-69,-78,-81,-200,-81,-85,-200,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-88,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463830223,-49,-51,-78,-53,-65,-59,-200,-64,-63,-74,-59,-63,-83,-66,-73,-63,-200,-200,-75,-76,-200,-81,-77,-69,-78,-81,-200,-81,-85,-200,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-88,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463833264,-49,-51,-78,-53,-65,-59,-200,-64,-63,-74,-59,-63,-83,-66,-73,-63,-200,-200,-75,-76,-200,-81,-77,-69,-78,-81,-200,-81,-85,-200,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-88,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463836304,-47,-47,-75,-56,-61,-59,-83,-59,-65,-73,-59,-57,-79,-57,-71,-60,-71,-200,-75,-200,-78,-76,-74,-69,-200,-73,-200,-81,-200,-200,-79,-85,-200,-200,-200,-200,-200,-200,-200,-77,-86,-200,-200,-90,-82,-69,-92,-200,-200,-200,-200,-200,-200,-200
