,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:19:80,74:da:da:c0:d6:f5,0c:73:eb:d0:19:c0,74:da:da:c0:d6:ee,74:da:da:c0:d7:01,74:da:da:c0:d9:3a,74:da:da:c0:d6:ed,0c:73:eb:d0:13:b0,74:da:da:c0:d6:f6,74:da:da:c0:d9:39,74:da:da:c0:d7:11,74:da:da:98:ea:54,74:da:da:98:90:2c,74:da:da:c0:d7:12,0c:73:eb:d0:19:c8,0c:73:eb:d0:2a:50,74:da:da:98:ea:64,74:da:da:c1:3c:45,74:da:da:c1:3c:11,74:da:da:98:66:cc,0c:73:eb:d0:76:10,0c:73:eb:d0:13:c8,74:da:da:98:90:94,74:da:da:c0:d7:9d,74:da:da:c1:4a:69,74:da:da:98:74:74,0c:73:eb:d0:0e:c8,74:da:da:98:ea:55,74:da:da:c0:d7:02,74:da:da:c1:25:a1,74:da:da:c0:e0:6d,74:da:da:98:90:2d,0c:73:eb:d0:2a:90,0c:73:eb:d0:76:18,74:da:da:c1:4a:85,0c:73:eb:d0:2a:40,0c:73:eb:d0:7e:d0,74:da:da:c1:25:d9,74:da:da:c0:d8:1d,74:da:da:c1:3d:2d,74:da:da:c1:3b:19,0c:73:eb:d0:76:28,0c:73:eb:d0:0e:a0,74:da:da:c0:d8:3d,74:da:da:98:74:80,74:da:da:c1:3b:29,74:da:da:c1:3c:51,74:da:da:c1:03:21,74:da:da:c0:d7:c5,74:da:da:c1:3c:55,74:da:da:c1:02:91,74:da:da:c1:03:1d,74:da:da:98:74:34,0c:73:eb:d0:76:50
1526448310061,-48,-57,-67,-59,-77,-72,-52,-76,-74,-69,-53,-62,-52,-78,-62,-78,-83,-88,-71,-79,-94,-89,-96,-91,-86,-80,-83,-87,-89,-96,-200,-80,-95,-200,-91,-200,-94,-200,-200,-98,-99,-92,-200,-200,-95,-200,-200,-200,-200,-97,-200,-97,-97,-200
1526448313108,-50,-61,-62,-59,-77,-68,-52,-77,-74,-65,-55,-62,-53,-85,-72,-75,-81,-88,-74,-78,-89,-89,-93,-90,-86,-80,-85,-87,-87,-96,-94,-79,-95,-200,-91,-200,-200,-200,-200,-94,-99,-92,-200,-200,-95,-200,-200,-200,-200,-96,-200,-97,-200,-200
1526448316146,-49,-61,-65,-58,-76,-69,-49,-78,-71,-68,-58,-65,-56,-83,-66,-83,-87,-90,-73,-79,-90,-93,-90,-91,-93,-81,-85,-91,-87,-94,-94,-80,-95,-200,-74,-97,-95,-200,-200,-94,-200,-92,-200,-200,-94,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526448319189,-49,-60,-63,-60,-75,-69,-53,-78,-70,-67,-56,-65,-55,-80,-66,-77,-87,-91,-73,-81,-90,-91,-90,-91,-93,-82,-87,-91,-86,-94,-94,-80,-200,-200,-74,-99,-95,-200,-200,-90,-96,-200,-200,-200,-94,-200,-200,-200,-200,-98,-200,-200,-97,-97
1526448322231,-47,-51,-67,-59,-75,-70,-47,-77,-71,-68,-56,-65,-59,-82,-71,-76,-89,-92,-75,-82,-90,-91,-91,-91,-91,-84,-85,-90,-88,-97,-83,-79,-200,-200,-93,-99,-95,-200,-200,-93,-95,-95,-200,-200,-94,-200,-98,-200,-200,-98,-200,-200,-97,-97
1526448325274,-47,-59,-64,-59,-74,-73,-51,-76,-73,-69,-55,-66,-59,-85,-68,-77,-86,-89,-75,-85,-90,-96,-91,-94,-87,-73,-87,-86,-90,-96,-83,-79,-94,-200,-93,-99,-95,-200,-200,-91,-95,-95,-200,-200,-94,-200,-98,-200,-200,-98,-200,-200,-95,-97
1526448328315,-50,-49,-64,-60,-76,-74,-49,-74,-73,-69,-56,-64,-58,-84,-69,-81,-88,-90,-75,-81,-96,-95,-93,-92,-87,-82,-84,-86,-89,-96,-83,-78,-94,-200,-96,-200,-200,-200,-200,-91,-95,-95,-200,-200,-94,-200,-98,-200,-100,-98,-200,-200,-95,-200
1526448331353,-49,-55,-63,-59,-75,-74,-51,-79,-72,-69,-55,-63,-56,-83,-68,-85,-90,-91,-77,-77,-89,-95,-93,-92,-89,-82,-83,-86,-88,-96,-200,-78,-94,-200,-96,-200,-200,-98,-200,-91,-96,-97,-200,-200,-95,-200,-200,-200,-100,-200,-200,-99,-95,-200
1526448334394,-50,-60,-64,-59,-78,-71,-49,-78,-72,-69,-58,-66,-58,-81,-66,-89,-83,-91,-72,-79,-87,-94,-93,-92,-91,-81,-86,-90,-86,-95,-200,-80,-91,-200,-92,-200,-200,-98,-200,-90,-96,-97,-97,-200,-95,-200,-200,-200,-100,-97,-200,-99,-96,-200
1526448337434,-48,-59,-64,-59,-73,-71,-52,-78,-72,-68,-57,-64,-61,-83,-69,-85,-88,-91,-72,-83,-95,-95,-93,-91,-92,-83,-84,-88,-87,-95,-200,-79,-91,-200,-94,-200,-200,-98,-200,-90,-96,-96,-95,-200,-95,-200,-200,-200,-200,-97,-97,-99,-96,-200
1526448340471,-51,-53,-63,-60,-75,-72,-49,-77,-74,-70,-52,-62,-59,-80,-64,-84,-84,-91,-76,-83,-88,-95,-94,-91,-90,-82,-84,-88,-87,-96,-97,-78,-95,-200,-94,-200,-92,-200,-200,-94,-96,-96,-95,-200,-94,-200,-200,-200,-200,-97,-97,-200,-96,-200
