,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:47:FC,78:A5:04:41:E5:34,7C:66:9D:7B:2E:21,78:A5:04:41:EB:D1,78:A5:04:41:E9:82,BC:6A:29:BE:31:7F,78:A5:04:41:E9:8A,BC:6A:29:BE:31:17,78:A5:04:41:EB:FB,78:A5:04:41:EE:08,78:A5:04:41:E9:F3,78:A5:04:41:E9:EB,78:A5:04:41:EB:E8,78:A5:04:41:E5:59,78:A5:04:41:E9:A0,78:A5:04:41:E9:D2,78:A5:04:41:E9:92,78:A5:04:41:E9:BE,78:A5:04:41:E9:8E,BC:6A:29:BE:2F:54,78:A5:04:41:E9:D7
1526448845979,-90,-77,-96,-92,-85,-98,-88,-98,-62,-64,-83,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526448846155,-94,-77,-96,-93,-200,-200,-90,-200,-200,-65,-84,-87,-200,-83,-89,-200,-200,-200,-200,-200,-200
1526448846275,-200,-200,-95,-93,-200,-200,-89,-200,-76,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200
1526448850907,-200,-200,-200,-200,-200,-200,-200,-95,-68,-77,-86,-200,-200,-200,-88,-75,-69,-84,-200,-200,-200
1526448851013,-200,-200,-200,-200,-200,-93,-82,-200,-66,-77,-200,-200,-200,-87,-200,-76,-70,-200,-82,-200,-200
1526448851114,-200,-88,-200,-200,-200,-95,-200,-200,-67,-75,-200,-89,-200,-200,-200,-78,-69,-84,-200,-200,-200
1526448851215,-99,-200,-200,-200,-200,-200,-82,-94,-67,-61,-200,-200,-200,-200,-200,-77,-70,-84,-200,-200,-200
1526448855902,-200,-76,-200,-200,-200,-86,-85,-97,-88,-200,-200,-200,-200,-83,-200,-88,-76,-200,-200,-200,-200
1526448855992,-200,-77,-200,-200,-200,-200,-85,-200,-86,-200,-89,-200,-90,-200,-200,-200,-76,-200,-200,-200,-200
