,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:E9:92,78:A5:04:41:E9:82,78:A5:04:41:E9:D2,BC:6A:29:BE:31:17,78:A5:04:41:EB:E8,7C:66:9D:7B:2E:21,78:A5:04:41:E5:34,78:A5:04:41:EE:08,78:A5:04:41:E9:F3,78:A5:04:41:E9:D7,78:A5:04:41:EB:FB,78:A5:04:41:E9:8A,78:A5:04:41:E9:8E,78:A5:04:41:E5:59,BC:6A:29:BE:31:7F,7C:66:9D:7B:47:FC,78:A5:04:41:EB:D1,78:A5:04:41:E9:BE,78:A5:04:41:E9:BB,BC:6A:29:BE:2F:54
1526448920777,-85,-90,-69,-96,-92,-93,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448920890,-88,-91,-68,-97,-200,-96,-68,-66,-82,-87,-78,-89,-88,-200,-200,-200,-200,-200,-200,-200
1526448920986,-200,-91,-68,-200,-200,-200,-68,-67,-83,-86,-200,-90,-200,-75,-200,-200,-200,-200,-200,-200
1526448921096,-200,-89,-68,-95,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-88,-200,-200,-200,-200,-200
1526448925794,-200,-200,-63,-92,-200,-87,-200,-62,-200,-88,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526448925882,-200,-200,-64,-200,-200,-87,-68,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526448925985,-78,-88,-64,-200,-200,-88,-200,-63,-200,-200,-76,-200,-85,-81,-200,-200,-82,-89,-200,-200
1526448930769,-200,-88,-72,-200,-92,-200,-75,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-89,-200,-200
1526448930868,-85,-200,-71,-95,-200,-95,-200,-75,-200,-200,-76,-200,-83,-78,-200,-200,-83,-200,-200,-200
1526448930972,-85,-200,-71,-200,-200,-200,-200,-74,-200,-200,-76,-200,-200,-78,-90,-200,-200,-200,-200,-200
1526448931078,-79,-88,-72,-200,-200,-93,-75,-73,-200,-200,-76,-200,-200,-78,-200,-200,-200,-89,-200,-200
1526448935744,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448935853,-200,-200,-200,-93,-92,-200,-200,-200,-200,-200,-75,-92,-200,-200,-98,-200,-200,-200,-200,-200
1526448936086,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200
1526448936199,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526448940712,-77,-200,-64,-92,-200,-86,-200,-62,-200,-200,-200,-200,-200,-79,-200,-97,-92,-200,-92,-200
1526448940872,-200,-200,-64,-92,-200,-87,-69,-63,-81,-200,-76,-200,-86,-79,-200,-97,-200,-200,-200,-200
1526448940968,-78,-200,-64,-200,-200,-200,-69,-62,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448941072,-200,-200,-64,-95,-200,-94,-200,-62,-200,-200,-76,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526448945961,-84,-200,-200,-200,-200,-96,-79,-200,-200,-200,-200,-200,-200,-80,-89,-200,-200,-200,-200,-200
1526448946088,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-88,-79,-89,-200,-200,-200,-200,-200
1526448950731,-200,-200,-64,-83,-200,-200,-69,-63,-80,-200,-77,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526448950842,-78,-200,-200,-88,-92,-200,-69,-62,-80,-200,-77,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526448950940,-78,-86,-64,-200,-200,-200,-70,-62,-200,-200,-200,-88,-88,-78,-200,-200,-200,-200,-200,-200
1526448951047,-200,-200,-64,-92,-90,-94,-70,-63,-80,-200,-200,-88,-200,-79,-200,-200,-200,-200,-200,-99
1526448955784,-77,-200,-64,-200,-200,-86,-69,-200,-80,-200,-75,-200,-200,-80,-200,-98,-200,-200,-92,-200
1526448955971,-200,-84,-64,-91,-200,-87,-69,-62,-200,-200,-76,-200,-86,-80,-200,-98,-200,-200,-200,-200
1526448956067,-200,-85,-200,-200,-200,-86,-69,-80,-200,-200,-86,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526448960794,-84,-200,-200,-200,-200,-200,-81,-82,-200,-200,-200,-200,-200,-84,-200,-200,-88,-200,-200,-200
1526448960895,-85,-200,-76,-200,-200,-200,-80,-80,-200,-200,-200,-200,-200,-85,-200,-200,-89,-200,-200,-200
1526448960996,-85,-200,-75,-200,-200,-200,-80,-80,-200,-200,-86,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526448965713,-84,-200,-83,-100,-200,-200,-78,-80,-200,-200,-86,-200,-200,-200,-100,-103,-200,-200,-200,-200
1526448965870,-84,-200,-83,-200,-200,-97,-79,-80,-200,-200,-86,-200,-200,-200,-101,-100,-200,-200,-200,-200
1526448966078,-200,-200,-82,-100,-200,-92,-200,-79,-200,-200,-200,-200,-200,-200,-100,-200,-200,-200,-200,-200
1526448971100,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200
1526448971280,-200,-200,-200,-200,-200,-90,-200,-79,-200,-200,-88,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526448975721,-86,-91,-73,-200,-200,-200,-200,-79,-200,-200,-84,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526448975819,-86,-200,-72,-200,-200,-200,-80,-79,-200,-200,-84,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526448975999,-200,-92,-73,-200,-200,-200,-79,-79,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526448976103,-85,-200,-74,-200,-200,-100,-200,-80,-200,-200,-85,-200,-200,-84,-200,-200,-89,-200,-200,-200
1526448980715,-85,-200,-80,-200,-200,-96,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448980815,-84,-200,-81,-200,-200,-98,-78,-79,-200,-200,-86,-200,-200,-200,-97,-101,-200,-200,-200,-200
1526448980922,-84,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448981030,-84,-200,-81,-200,-200,-200,-79,-79,-200,-200,-87,-200,-200,-200,-100,-200,-200,-200,-200,-200
1526448981127,-86,-200,-81,-200,-94,-200,-78,-78,-200,-200,-85,-200,-200,-200,-99,-200,-200,-200,-200,-200
1526448985809,-86,-200,-200,-200,-200,-89,-200,-75,-200,-200,-85,-200,-200,-200,-100,-200,-200,-200,-200,-200
1526448985986,-200,-200,-76,-200,-200,-90,-79,-200,-200,-200,-86,-200,-200,-200,-100,-200,-200,-200,-200,-200
1526448986152,-86,-200,-75,-200,-200,-90,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
