,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:FE,78:A5:04:41:EB:D8
1526462739718,-76,-200
1526462739927,-76,-200
1526462741239,-75,-200
1526462741292,-75,-200
1526462741621,-75,-93
1526462746307,-80,-93
1526462746433,-79,-200
1526462746543,-81,-200
1526462746651,-81,-200
1526462751176,-75,-200
1526462751277,-75,-200
1526462751380,-76,-200
1526462751479,-76,-200
1526462756211,-75,-200
1526462756508,-74,-200
1526462756613,-76,-200
1526462761135,-81,-94
1526462761239,-81,-200
1526462761353,-80,-94
1526462761539,-81,-200
1526462761648,-81,-200
1526462766191,-75,-200
1526462766265,-75,-200
1526462766364,-75,-200
1526462766491,-75,-200
1526462766580,-75,-200
1526462771122,-75,-200
1526462776289,-76,-200
1526462776291,-79,-93
1526462776376,-81,-200
1526462776504,-82,-200
1526462776601,-76,-200
1526462781117,-75,-200
1526462781254,-76,-200
1526462781331,-75,-200
1526462781564,-75,-200
1526462791240,-76,-200
1526462791341,-79,-200
1526462796168,-75,-200
1526462796277,-75,-200
1526462796373,-75,-200
1526462796516,-76,-200
1526462796569,-70,-200
1526462801135,-76,-200
1526462801243,-74,-200
1526462801539,-75,-200
