,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:FE,78:A5:04:41:EB:D8
1526463186609,-84,-89
1526463191215,-93,-91
1526463196199,-200,-92
1526463196361,-91,-89
1526463196475,-93,-91
1526463206311,-94,-90
1526463206500,-200,-89
1526463206599,-200,-89
1526463211212,-94,-91
1526463221147,-92,-89
1526463221260,-93,-90
1526463221359,-93,-89
1526463221491,-200,-91
1526463221595,-93,-90
1526463236127,-200,-89
1526463236252,-200,-89
1526463236377,-91,-89
1526463236488,-93,-89
1526463246244,-79,-200
1526463246567,-84,-200
