,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:D9,78:A5:04:41:EE:01,78:A5:04:41:EB:B1,78:A5:04:41:E9:E8
1526447518902,-79,-200,-200,-200
1526447519052,-79,-200,-200,-200
1526447521745,-78,-92,-200,-200
1526447526599,-85,-200,-200,-200
1526447526707,-84,-93,-200,-200
1526447531363,-79,-200,-200,-200
1526447531467,-79,-200,-200,-200
1526447531553,-79,-200,-89,-91
1526447531758,-79,-200,-90,-200
1526447536360,-80,-200,-200,-200
1526447536468,-79,-200,-200,-200
1526447536573,-79,-200,-200,-200
1526447541375,-83,-94,-200,-200
1526447541480,-83,-200,-200,-200
1526447541579,-83,-200,-200,-200
1526447541684,-83,-94,-200,-200
1526447541785,-83,-200,-200,-200
1526447546306,-79,-200,-200,-92
1526447546433,-79,-200,-200,-92
1526447546623,-80,-200,-200,-200
1526447546737,-80,-200,-200,-200
1526447546846,-79,-200,-200,-200
1526447551505,-79,-200,-200,-200
1526447551677,-80,-200,-200,-200
1526447551809,-79,-94,-200,-200
1526447556313,-84,-92,-200,-200
1526447556424,-83,-200,-200,-200
1526447556582,-83,-200,-200,-200
1526447556740,-84,-200,-200,-92
1526447561372,-78,-200,-200,-200
1526447561475,-80,-200,-89,-200
1526447561678,-80,-200,-200,-200
1526447561787,-79,-200,-90,-200
1526447566403,-78,-200,-200,-200
1526447566786,-79,-200,-200,-200
1526447571357,-79,-94,-200,-200
1526447571453,-83,-92,-200,-200
1526447571546,-84,-200,-200,-200
1526447571656,-83,-200,-200,-200
1526447571774,-83,-93,-200,-200
1526447576374,-78,-200,-200,-91
1526447576585,-78,-200,-200,-91
1526447576751,-78,-200,-200,-91
1526447581536,-81,-200,-200,-200
1526447581639,-80,-200,-200,-200
