,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:E8,78:A5:04:41:EB:D9,78:A5:04:41:EB:B1,78:A5:04:41:EB:E1
1526447606413,-80,-200,-200,-200
1526447606630,-84,-89,-200,-200
1526447606765,-200,-88,-200,-200
1526447606881,-200,-87,-90,-200
1526447611626,-200,-200,-91,-200
1526447611729,-75,-78,-89,-200
1526447616403,-75,-79,-200,-200
1526447616515,-76,-80,-200,-200
1526447616623,-75,-79,-200,-200
1526447616757,-74,-79,-93,-200
1526447621359,-77,-200,-200,-200
1526447621418,-77,-79,-200,-200
1526447621637,-77,-84,-93,-200
1526447621739,-76,-84,-200,-200
1526447626397,-79,-78,-200,-200
1526447626500,-79,-78,-200,-200
1526447626604,-79,-79,-200,-200
1526447626733,-78,-79,-200,-200
1526447631378,-75,-79,-200,-200
1526447631449,-75,-78,-200,-200
1526447631553,-75,-78,-95,-200
1526447631663,-76,-79,-95,-200
1526447631768,-75,-79,-200,-200
1526447636487,-78,-84,-200,-200
1526447636597,-77,-85,-200,-200
1526447636732,-78,-200,-90,-200
1526447641367,-78,-200,-200,-200
1526447641474,-77,-200,-89,-200
1526447641580,-78,-78,-200,-200
1526447641690,-78,-78,-89,-200
1526447641769,-77,-79,-200,-200
1526447646407,-76,-79,-200,-200
1526447646498,-76,-79,-94,-200
1526447646663,-76,-79,-94,-200
1526447646806,-75,-79,-200,-200
1526447651345,-77,-84,-200,-200
1526447651407,-77,-200,-200,-200
1526447651511,-77,-84,-200,-200
1526447651614,-77,-84,-94,-200
1526447651836,-77,-77,-82,-200
1526447656676,-78,-200,-200,-200
1526447656795,-79,-200,-200,-200
1526447661315,-75,-200,-200,-200
1526447661434,-75,-200,-200,-200
1526447661513,-76,-200,-200,-200
1526447661622,-75,-200,-200,-200
1526447661741,-75,-83,-200,-96
1526447666417,-77,-200,-200,-200
1526447666463,-77,-84,-200,-200
1526447666564,-76,-83,-94,-200
1526447671448,-76,-80,-200,-200
1526447671462,-75,-78,-200,-200
1526447671564,-75,-78,-89,-200
1526447671817,-76,-200,-87,-200
