,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:84,78:A5:04:41:E7:A3,78:A5:04:41:E9:9B,78:A5:04:41:EB:EC,78:A5:04:41:E9:8C
1526447229986,-79,-93,-200,-200,-200
1526447230094,-79,-200,-200,-200,-200
1526447230195,-80,-200,-200,-200,-200
1526447230305,-83,-200,-94,-200,-200
1526447231574,-85,-84,-200,-200,-200
1526447231674,-84,-84,-200,-200,-200
1526447231789,-200,-84,-200,-200,-200
1526447236319,-90,-83,-200,-93,-200
1526447236415,-91,-84,-200,-93,-200
1526447236512,-200,-82,-200,-200,-200
1526447236624,-200,-83,-200,-94,-200
1526447236784,-90,-83,-200,-200,-200
1526447236829,-200,-82,-200,-200,-200
1526447241351,-84,-79,-200,-200,-94
1526447241453,-84,-80,-200,-200,-200
1526447241559,-87,-79,-200,-200,-200
1526447241664,-85,-79,-200,-200,-94
1526447246415,-200,-78,-200,-200,-200
1526447246694,-200,-79,-200,-200,-200
1526447246816,-89,-78,-200,-200,-200
1526447251421,-90,-82,-200,-200,-200
1526447251523,-90,-82,-200,-200,-200
1526447251625,-90,-81,-200,-200,-200
1526447251732,-84,-83,-200,-200,-94
1526447256356,-84,-80,-200,-200,-200
1526447256553,-85,-80,-200,-200,-200
1526447256779,-85,-79,-200,-200,-200
1526447261319,-88,-78,-200,-200,-200
1526447266504,-90,-83,-200,-200,-200
1526447266710,-88,-83,-200,-200,-200
1526447266842,-89,-83,-200,-200,-200
1526447271355,-84,-79,-200,-200,-95
1526447271416,-84,-80,-200,-200,-200
1526447271516,-84,-200,-200,-200,-200
1526447271624,-84,-77,-200,-200,-200
1526447276347,-200,-76,-200,-200,-200
1526447276687,-200,-78,-200,-200,-200
1526447276828,-200,-79,-200,-200,-200
1526447281316,-89,-83,-200,-200,-200
1526447281426,-200,-82,-200,-92,-200
1526447281634,-200,-84,-200,-200,-200
1526447281873,-85,-83,-200,-200,-200
1526447286399,-79,-79,-200,-200,-94
1526447286485,-83,-79,-200,-200,-200
1526447286689,-83,-80,-200,-200,-200
1526447286833,-200,-79,-200,-200,-200
1526447291393,-200,-79,-200,-200,-200
1526447291493,-200,-78,-200,-200,-200
1526447291585,-200,-77,-200,-200,-200
