,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:FE,78:A5:04:41:EB:D8
1526462642883,-82,-200
1526462642977,-83,-200
1526462643085,-84,-96
1526462646427,-86,-200
1526462651161,-90,-90
1526462651253,-89,-200
1526462651366,-90,-93
1526462651460,-90,-92
1526462651575,-90,-92
1526462666235,-90,-200
1526462666347,-88,-91
1526462666548,-90,-90
1526462671236,-84,-200
1526462671473,-83,-200
1526462671578,-83,-200
1526462681182,-90,-90
1526462681279,-200,-90
1526462681394,-200,-91
1526462681508,-90,-92
1526462681609,-200,-90
1526462696159,-89,-91
1526462696291,-90,-90
1526462696392,-88,-91
1526462696487,-90,-90
1526462696599,-89,-91
1526462701202,-83,-200
1526462701306,-84,-200
1526462701603,-83,-200
