,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:D8,78:A5:04:41:EB:94,78:A5:04:41:EB:FE
1526463091801,-81,-200,-200
1526463091881,-84,-93,-200
1526463096198,-81,-200,-200
1526463096481,-79,-200,-200
1526463096606,-81,-200,-200
1526463101319,-84,-200,-200
1526463101376,-84,-200,-200
1526463101479,-85,-90,-200
1526463101620,-83,-91,-200
1526463106518,-82,-200,-200
1526463111176,-79,-200,-200
1526463116124,-85,-92,-200
1526463116237,-84,-91,-200
1526463116352,-86,-200,-200
1526463116440,-85,-200,-200
1526463116538,-86,-93,-200
1526463116655,-85,-200,-200
1526463121166,-82,-89,-200
1526463121297,-88,-90,-200
1526463131169,-85,-91,-200
1526463136262,-83,-90,-200
1526463136409,-83,-80,-200
1526463136572,-83,-200,-200
1526463146139,-83,-200,-99
1526463146248,-81,-91,-200
1526463146485,-83,-92,-200
1526463146607,-83,-91,-200
1526463151239,-83,-89,-200
1526463151520,-83,-200,-200
1526463151624,-83,-200,-200
