,null,null,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:46:8C,7C:66:9D:7B:47:3D,BC:6A:29:BE:2F:12,78:A5:04:41:E7:EF,BC:6A:29:BE:31:61,78:A5:04:41:E7:88,7C:66:9D:7B:2B:CB,7C:66:9D:7B:2B:BA,78:A5:04:41:EB:98
1526461555087,-85,-83,-87,-200,-200,-200,-200,-200,-200
1526461555188,-86,-83,-86,-200,-200,-200,-200,-200,-200
1526461555326,-84,-84,-88,-200,-200,-200,-200,-200,-200
1526461555427,-72,-83,-200,-87,-92,-91,-200,-200,-200
1526461560033,-72,-94,-87,-87,-91,-92,-90,-200,-200
1526461560146,-72,-92,-87,-88,-90,-200,-200,-200,-200
1526461560246,-72,-94,-88,-86,-91,-200,-200,-200,-200
1526461560396,-72,-86,-87,-200,-87,-200,-200,-200,-200
1526461564995,-80,-85,-89,-200,-87,-200,-88,-200,-200
1526461565187,-80,-85,-200,-200,-88,-200,-200,-200,-200
1526461565295,-200,-85,-200,-200,-88,-200,-89,-200,-200
1526461565406,-200,-85,-89,-200,-95,-200,-200,-200,-200
1526461570018,-78,-86,-90,-200,-200,-200,-200,-200,-200
1526461570126,-78,-85,-200,-200,-99,-200,-200,-200,-200
1526461570279,-77,-85,-200,-200,-96,-200,-200,-200,-200
1526461570386,-77,-200,-92,-200,-200,-200,-200,-200,-200
1526461575016,-77,-83,-95,-200,-93,-200,-90,-200,-200
1526461575125,-78,-83,-95,-200,-200,-200,-90,-200,-200
1526461575225,-78,-83,-98,-200,-94,-200,-200,-200,-200
1526461575328,-77,-83,-99,-200,-200,-200,-200,-200,-200
1526461579987,-87,-84,-200,-88,-200,-200,-89,-200,-200
1526461580076,-86,-83,-99,-200,-87,-200,-89,-200,-200
1526461580291,-86,-83,-99,-88,-200,-200,-200,-200,-200
1526461580393,-76,-83,-95,-200,-200,-200,-200,-90,-200
1526461585022,-76,-92,-94,-200,-200,-200,-200,-90,-200
1526461585133,-200,-92,-94,-200,-93,-200,-200,-90,-200
1526461585271,-77,-94,-96,-200,-92,-200,-92,-91,-200
1526461585378,-77,-94,-96,-200,-92,-200,-200,-90,-200
1526461589977,-76,-83,-94,-200,-94,-200,-200,-200,-200
1526461590267,-77,-84,-98,-200,-96,-200,-200,-200,-200
1526461590382,-77,-84,-200,-200,-200,-200,-200,-200,-200
1526461590498,-77,-83,-200,-92,-95,-200,-200,-200,-200
1526461590587,-77,-200,-200,-91,-94,-200,-200,-200,-200
1526461590697,-76,-82,-89,-88,-93,-200,-200,-200,-200
1526461595011,-87,-200,-88,-89,-200,-200,-200,-200,-200
1526461595098,-87,-200,-87,-200,-88,-200,-200,-200,-200
1526461595211,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526461595331,-81,-90,-86,-90,-89,-200,-200,-200,-200
1526461595430,-200,-200,-95,-200,-90,-200,-200,-200,-200
1526461600023,-83,-88,-94,-200,-92,-200,-200,-200,-200
1526461600134,-84,-87,-93,-200,-92,-200,-200,-200,-200
1526461600237,-84,-88,-92,-200,-92,-200,-200,-200,-200
1526461600452,-82,-86,-89,-200,-200,-200,-200,-200,-200
1526461600547,-200,-85,-89,-200,-92,-200,-200,-200,-200
1526461600649,-200,-87,-89,-200,-200,-200,-200,-200,-200
1526461605017,-78,-200,-90,-200,-89,-200,-200,-200,-200
1526461605118,-78,-200,-90,-200,-89,-200,-200,-200,-200
1526461605217,-77,-200,-91,-200,-91,-200,-200,-200,-200
1526461605326,-200,-91,-89,-200,-89,-200,-200,-200,-88
1526461610010,-78,-91,-94,-200,-96,-200,-91,-90,-200
1526461610108,-78,-91,-95,-200,-97,-200,-200,-200,-200
1526461610215,-78,-90,-95,-200,-200,-200,-200,-91,-200
1526461610316,-78,-91,-95,-200,-200,-200,-200,-200,-200
1526461610422,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526461615044,-84,-86,-200,-200,-200,-200,-200,-200,-200
1526461615134,-84,-88,-200,-92,-200,-200,-200,-200,-92
1526461615235,-85,-88,-96,-90,-200,-200,-200,-200,-200
1526461615352,-83,-200,-96,-200,-200,-200,-200,-200,-200
