,null,null,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:47:FC,7C:66:9D:7B:2E:21,78:A5:04:41:EB:D1
1526460640822,-85,-200,-200
1526460640893,-84,-93,-92
1526460645733,-92,-200,-200
1526460655495,-84,-200,-200
1526460655601,-68,-200,-91
1526460655816,-84,-200,-200
1526460655898,-84,-200,-91
1526460660751,-85,-200,-93
1526460670636,-87,-96,-90
1526460670744,-85,-93,-200
1526460670891,-86,-200,-200
1526460671002,-87,-77,-200
1526460685491,-86,-95,-200
1526460685598,-84,-200,-89
1526460685704,-87,-96,-89
1526460685877,-86,-200,-92
1526460690571,-95,-200,-92
1526460690675,-95,-200,-200
1526460695712,-72,-200,-200
1526460700514,-84,-88,-200
1526460700618,-81,-200,-88
1526460700727,-84,-94,-200
1526460700830,-83,-200,-200
