,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,78:A5:04:41:EB:E8,7C:66:9D:7B:47:FC,78:A5:04:41:EB:D1
1526460721064,-88,-95,-200,-200
1526460721284,-95,-200,-200,-200
1526460725513,-83,-200,-200,-200
1526460725768,-81,-95,-97,-200
1526460730568,-86,-200,-200,-200
1526460730677,-88,-200,-200,-200
1526460730798,-87,-200,-200,-200
1526460730966,-89,-200,-89,-200
1526460735600,-92,-200,-200,-200
1526460735703,-91,-200,-89,-200
1526460735917,-79,-200,-92,-200
1526460745567,-87,-200,-200,-200
1526460745667,-87,-200,-200,-200
1526460745870,-88,-200,-200,-200
1526460745975,-87,-200,-200,-200
1526460750540,-90,-200,-90,-200
1526460750638,-91,-200,-89,-200
1526460750759,-200,-200,-89,-200
1526460755648,-82,-200,-75,-200
1526460760524,-86,-200,-200,-89
1526460760725,-84,-200,-200,-88
1526460760930,-84,-200,-89,-92
1526460770524,-82,-200,-200,-200
1526460770928,-84,-200,-200,-200
1526460775546,-88,-200,-200,-200
1526460775632,-87,-200,-200,-200
1526460775734,-88,-200,-200,-200
1526460775857,-88,-200,-200,-200
1526460775939,-89,-200,-88,-200
1526460780677,-90,-200,-200,-200
1526460780776,-88,-200,-85,-200
1526460780901,-200,-200,-88,-200
