,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:47:FC,78:A5:04:41:EB:E8,78:A5:04:41:EB:AA,78:A5:04:41:EB:D1
1526460405835,-72,-200,-200,-200
1526460410996,-87,-94,-200,-200
1526460415925,-89,-93,-97,-200
1526460425618,-90,-200,-200,-200
1526460425719,-70,-200,-200,-200
1526460425839,-71,-200,-92,-200
1526460430946,-90,-200,-94,-200
1526460440759,-89,-200,-200,-200
1526460440901,-88,-93,-200,-200
1526460455485,-92,-97,-200,-200
1526460455584,-90,-200,-200,-99
1526460455934,-92,-200,-96,-200
1526460456003,-91,-92,-200,-200
1526460460719,-200,-93,-200,-200
1526460460940,-200,-92,-200,-200
