,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,7C:66:9D:7B:47:FC,78:A5:04:41:EB:D1,78:A5:04:41:EB:E8
1526459680621,-95,-200,-200,-200
1526459680957,-95,-93,-200,-200
1526459685534,-94,-200,-200,-200
1526459690474,-96,-96,-200,-200
1526459695697,-200,-96,-200,-200
1526459695898,-75,-95,-200,-200
1526459710614,-98,-200,-96,-200
1526459715534,-94,-200,-200,-200
1526459715644,-93,-200,-200,-92
1526459715986,-200,-200,-200,-94
