,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:FD,78:A5:04:41:E7:D4,78:A5:04:41:EB:AD,78:A5:04:41:E5:4E,78:A5:04:41:E5:6B,78:A5:04:41:E9:D5,78:A5:04:41:EB:97,78:A5:04:41:E9:BF,78:A5:04:41:E9:CD,78:A5:04:41:E9:B4,78:A5:04:41:EB:91,78:A5:04:41:EB:9C,78:A5:04:41:E7:80
1526454553840,-65,-89,-85,-76,-67,-63,-86,-200,-200,-200,-200,-200,-200
1526454553951,-66,-200,-84,-77,-57,-200,-86,-86,-80,-89,-88,-200,-200
1526454558747,-66,-200,-200,-90,-58,-75,-64,-200,-83,-90,-88,-66,-65
1526454558855,-66,-200,-200,-200,-58,-74,-62,-200,-82,-90,-89,-64,-65
1526454558979,-66,-200,-200,-200,-58,-200,-62,-200,-200,-90,-88,-200,-65
1526454563682,-81,-200,-200,-78,-64,-69,-75,-200,-78,-200,-82,-200,-200
1526454563812,-80,-200,-200,-78,-66,-200,-76,-200,-78,-200,-200,-63,-200
1526454563923,-80,-200,-88,-78,-65,-67,-75,-200,-78,-200,-82,-63,-78
1526454564018,-69,-200,-86,-79,-59,-66,-76,-89,-78,-200,-82,-63,-79
1526454568760,-69,-200,-200,-84,-60,-66,-200,-88,-80,-200,-82,-68,-77
1526454568937,-200,-200,-200,-84,-60,-67,-82,-200,-80,-200,-82,-68,-77
1526454569064,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-68,-77
1526454573694,-200,-200,-200,-200,-200,-74,-200,-87,-200,-200,-86,-66,-75
1526454573789,-200,-200,-200,-200,-200,-70,-65,-200,-88,-200,-200,-66,-69
1526454573900,-81,-200,-200,-82,-80,-200,-200,-200,-88,-200,-87,-66,-69
1526454573997,-200,-200,-91,-200,-200,-69,-65,-86,-87,-200,-200,-66,-68
1526454574099,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-66,-200
1526454578829,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200
1526454578925,-200,-200,-88,-200,-200,-68,-74,-200,-82,-200,-83,-73,-200
1526454583719,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-82,-200,-76
1526454583849,-200,-200,-88,-82,-200,-200,-200,-200,-200,-200,-82,-200,-76
1526454583939,-86,-200,-88,-82,-63,-75,-73,-95,-85,-200,-82,-200,-76
1526454588663,-77,-200,-200,-80,-69,-200,-64,-200,-83,-200,-200,-70,-80
1526454588795,-77,-200,-200,-200,-69,-66,-64,-200,-83,-200,-82,-70,-79
1526454588924,-68,-200,-200,-200,-68,-66,-64,-200,-200,-92,-82,-81,-79
1526454593677,-200,-200,-200,-78,-200,-92,-200,-200,-77,-200,-76,-60,-200
1526454593816,-68,-200,-200,-77,-67,-200,-67,-200,-200,-200,-78,-60,-77
1526454593943,-68,-200,-200,-78,-67,-200,-68,-200,-200,-200,-78,-60,-77
1526454594047,-200,-200,-200,-78,-67,-200,-67,-200,-200,-200,-79,-60,-200
1526454598684,-78,-200,-200,-200,-60,-74,-72,-200,-200,-200,-200,-69,-74
1526454598915,-200,-200,-200,-200,-59,-200,-200,-200,-86,-200,-82,-200,-74
1526454599080,-77,-200,-200,-79,-59,-200,-65,-200,-86,-200,-200,-78,-200
1526454603867,-200,-200,-200,-200,-64,-200,-200,-87,-79,-200,-200,-78,-76
1526454604012,-200,-200,-200,-79,-64,-66,-64,-87,-79,-200,-200,-78,-76
1526454604108,-200,-200,-200,-79,-64,-66,-64,-87,-79,-200,-200,-78,-200
1526454604224,-200,-200,-200,-200,-66,-67,-200,-200,-200,-200,-200,-78,-75
1526454608679,-74,-200,-200,-200,-67,-200,-68,-200,-200,-200,-200,-62,-77
1526454608782,-200,-200,-200,-80,-67,-200,-68,-200,-77,-200,-80,-62,-77
1526454608891,-200,-200,-200,-80,-67,-200,-68,-200,-200,-200,-76,-62,-200
1526454608985,-73,-200,-200,-80,-67,-73,-68,-200,-77,-200,-75,-200,-200
1526454609147,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-80,-200,-200
1526454613900,-200,-200,-200,-82,-200,-74,-200,-200,-200,-200,-200,-200,-200
1526454614000,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
