,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:03:2d,74:da:da:c1:3a:8d,0c:73:eb:d0:7e:d0,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:d8,74:da:da:c1:02:8d,0c:73:eb:d0:11:d8,74:da:da:c1:03:1d,74:da:da:c1:03:21,74:da:da:c1:03:2e,74:da:da:c1:02:91,0c:73:eb:d0:7c:40,74:da:da:c1:3a:dd,74:da:da:98:74:80,d8:15:0d:6c:13:98,0c:73:eb:d0:13:90,74:da:da:98:74:34,74:da:da:c1:3a:8e,74:da:da:c1:03:22,0c:73:eb:d0:13:98,0c:73:eb:d0:11:f8,74:da:da:c1:6b:4d,0c:73:eb:d0:11:c8,74:da:da:c1:02:92,74:da:da:c1:03:1e,74:da:da:c1:02:8e,74:da:da:c1:3c:f5,74:da:da:98:85:4c,0c:73:eb:d0:11:c0,74:da:da:c1:3a:82,0c:73:eb:d0:7e:f8,0c:73:eb:d0:13:c8,74:da:da:c0:f3:01,74:da:da:c1:3a:81,74:da:da:98:90:2c,74:da:da:98:74:74
1526452721503,-37,-38,-41,-44,-47,-48,-49,-49,-51,-60,-60,-63,-65,-66,-71,-71,-72,-73,-73,-73,-74,-75,-75,-80,-81,-83,-83,-83,-84,-85,-90,-91,-200,-200,-200,-200
1526452724528,-32,-44,-41,-34,-49,-48,-55,-49,-39,-52,-49,-64,-65,-67,-71,-71,-75,-72,-69,-73,-74,-75,-75,-84,-80,-86,-200,-83,-84,-81,-90,-200,-200,-200,-200,-200
1526452727547,-32,-44,-41,-34,-49,-48,-55,-49,-39,-52,-49,-65,-65,-67,-71,-71,-75,-72,-69,-200,-74,-75,-75,-84,-80,-86,-200,-200,-84,-81,-200,-200,-200,-200,-200,-200
1526452730573,-31,-45,-43,-33,-50,-58,-55,-48,-34,-51,-47,-66,-82,-67,-71,-71,-76,-71,-66,-200,-74,-78,-71,-81,-81,-90,-85,-200,-84,-82,-200,-200,-82,-200,-200,-200
1526452733590,-31,-45,-43,-33,-50,-58,-55,-48,-34,-51,-47,-65,-82,-67,-71,-71,-76,-71,-66,-200,-74,-78,-71,-81,-81,-90,-85,-200,-84,-82,-200,-200,-82,-200,-200,-200
1526452736613,-30,-45,-41,-33,-54,-58,-56,-45,-35,-55,-47,-66,-82,-66,-71,-71,-76,-70,-66,-78,-72,-78,-70,-79,-82,-90,-85,-200,-84,-82,-200,-200,-82,-200,-200,-200
1526452739628,-30,-45,-41,-33,-54,-58,-56,-45,-35,-55,-47,-67,-82,-66,-71,-71,-76,-70,-66,-78,-72,-78,-70,-79,-82,-90,-85,-200,-84,-82,-200,-200,-82,-200,-200,-200
1526452742654,-32,-45,-41,-33,-54,-61,-53,-51,-38,-55,-48,-64,-82,-69,-200,-73,-72,-68,-67,-74,-72,-78,-70,-84,-85,-87,-85,-200,-84,-82,-200,-200,-82,-68,-87,-200
1526452745676,-32,-45,-41,-33,-54,-61,-53,-51,-38,-55,-48,-69,-82,-69,-200,-73,-72,-68,-67,-74,-72,-78,-70,-84,-85,-87,-85,-200,-84,-82,-200,-200,-82,-68,-87,-200
