,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7f:10,0c:73:eb:d0:11:e0,74:da:da:98:85:00,74:da:da:98:92:14,74:da:da:c1:56:a1,0c:73:eb:d0:7c:38,0c:73:eb:d0:13:a8,0c:73:eb:d0:7f:08,74:da:da:c0:d7:19,74:da:da:c1:56:ed,74:da:da:c0:e0:71,0c:73:eb:d0:7e:f8,74:da:da:c0:f3:01,74:da:da:c0:d7:b9,c0:61:18:93:3e:54,0c:73:eb:d0:7f:18,74:da:da:c1:48:bd,0c:73:eb:d0:7e:e0,74:da:da:98:85:60,0c:73:eb:d0:7c:08,74:da:da:c0:e0:69,74:da:da:98:85:4c,74:da:da:c0:e2:d9,0c:73:eb:d0:7e:e8,0c:73:eb:d0:76:30,0c:73:eb:d0:76:38,74:da:da:c1:3c:51,0c:73:eb:d0:7a:68,0c:73:eb:d0:7e:f0,0c:73:eb:d0:13:d0,74:da:da:c0:f4:69,74:da:da:c0:d7:0d,ec:26:ca:0b:d4:1e,0c:73:eb:d0:7c:00,74:da:da:c0:d7:c5,74:da:da:c1:3a:dd,74:da:da:c1:3b:c9,74:da:da:c1:3b:69,74:da:da:98:ea:5c,74:da:da:c1:3c:f5,74:da:da:c1:3c:cd,0c:73:eb:d0:11:f8,74:da:da:c1:6b:4d,74:da:da:98:ea:50,74:da:da:c1:3b:cd,74:da:da:c1:3a:81,0c:73:eb:d0:13:b8,0c:73:eb:d0:19:b8,74:da:da:98:91:d4,74:da:da:c0:e0:81,0c:73:eb:d0:13:c0,0c:73:eb:d0:11:b8,74:da:da:98:85:1c,74:da:da:c0:f6:15,0c:73:eb:d0:19:88,0c:73:eb:d0:11:e8,74:da:da:98:7a:50,0c:73:eb:d0:11:c0,74:da:da:98:7a:60,74:da:da:98:8f:30
1526465549272,-26,-38,-53,-53,-54,-56,-57,-57,-57,-57,-57,-58,-58,-58,-59,-60,-65,-67,-67,-68,-68,-68,-68,-69,-69,-70,-70,-71,-71,-72,-72,-73,-75,-77,-78,-79,-80,-82,-82,-83,-84,-86,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465552308,-26,-45,-57,-54,-55,-55,-58,-59,-62,-66,-57,-55,-55,-53,-62,-65,-68,-73,-67,-69,-81,-200,-77,-69,-75,-70,-71,-200,-200,-75,-77,-71,-80,-77,-82,-79,-80,-82,-82,-200,-200,-86,-87,-88,-75,-80,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465555338,-26,-45,-57,-54,-55,-55,-58,-59,-62,-66,-57,-55,-55,-53,-62,-65,-68,-73,-67,-69,-81,-200,-77,-69,-75,-70,-71,-200,-200,-75,-77,-71,-80,-77,-82,-79,-80,-82,-82,-200,-200,-86,-87,-88,-75,-80,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465558379,-26,-45,-57,-54,-55,-55,-58,-59,-62,-66,-57,-55,-55,-53,-62,-65,-68,-73,-67,-69,-81,-200,-77,-69,-75,-70,-71,-200,-200,-75,-77,-71,-80,-77,-82,-79,-80,-82,-82,-200,-200,-86,-87,-88,-75,-80,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465561427,-33,-45,-53,-54,-51,-53,-57,-57,-62,-66,-57,-61,-65,-47,-67,-65,-71,-73,-200,-64,-74,-200,-75,-68,-73,-86,-69,-200,-200,-71,-70,-79,-89,-80,-79,-83,-200,-84,-200,-84,-200,-200,-200,-200,-75,-76,-200,-200,-61,-81,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465564472,-27,-44,-53,-57,-49,-53,-58,-60,-62,-66,-57,-60,-66,-51,-67,-71,-70,-71,-200,-69,-74,-200,-75,-68,-71,-78,-69,-200,-200,-71,-70,-79,-89,-84,-80,-83,-200,-84,-200,-84,-200,-80,-200,-88,-75,-77,-200,-200,-61,-81,-83,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526465567502,-27,-44,-53,-57,-49,-53,-58,-60,-62,-66,-57,-60,-66,-51,-67,-71,-70,-71,-200,-69,-74,-200,-75,-68,-71,-78,-69,-200,-200,-71,-70,-79,-89,-84,-80,-83,-200,-84,-200,-84,-200,-80,-200,-88,-75,-77,-200,-200,-61,-81,-83,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526465570553,-27,-44,-53,-57,-49,-53,-58,-60,-62,-66,-57,-60,-66,-51,-67,-71,-70,-71,-200,-69,-74,-200,-75,-68,-71,-78,-69,-200,-200,-71,-70,-79,-89,-84,-80,-83,-200,-84,-200,-84,-200,-80,-200,-88,-75,-77,-200,-200,-61,-81,-83,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526465573579,-26,-48,-58,-58,-54,-50,-58,-57,-200,-200,-57,-57,-54,-53,-200,-61,-75,-75,-70,-72,-67,-200,-66,-72,-75,-77,-66,-71,-83,-78,-72,-73,-71,-73,-80,-200,-76,-83,-87,-200,-200,-80,-200,-88,-69,-73,-79,-84,-59,-200,-83,-94,-86,-200,-200,-200,-200,-200,-200,-200
