,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:11:d8,74:da:da:c1:03:1d,74:da:da:c1:02:8d,74:da:da:c1:03:2d,0c:73:eb:d0:7c:40,74:da:da:c1:3a:8d,0c:73:eb:d0:11:f8,0c:73:eb:d0:7e:d0,d8:15:0d:6c:13:98,74:da:da:c1:3a:81,0c:73:eb:d0:13:d8,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:90,74:da:da:c1:03:21,0c:73:eb:d0:7c:28,74:da:da:c1:6b:4d,74:da:da:c1:3c:f5,74:da:da:98:85:4c,74:da:da:c1:02:91,74:da:da:c0:d7:0d,0c:73:eb:d0:7f:18,74:da:da:c1:3a:dd,74:da:da:98:74:80,74:da:da:c1:3d:2d,74:da:da:c0:f3:01,0c:73:eb:d0:7c:08,0c:73:eb:d0:11:c8,74:da:da:98:85:60,74:da:da:98:74:34,74:da:da:98:90:94,0c:73:eb:d0:7a:68,0c:73:eb:d0:7f:08,74:da:da:c0:d7:19,74:da:da:c0:f4:69,74:da:da:c1:3c:55,0c:73:eb:d0:7c:00,0c:73:eb:d0:13:b8,74:da:da:c1:48:bd
1526443604945,-48,-56,-57,-58,-61,-61,-65,-70,-71,-74,-76,-77,-78,-78,-80,-80,-80,-81,-82,-86,-87,-88,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443607964,-36,-62,-47,-54,-51,-60,-61,-70,-67,-61,-68,-66,-78,-71,-68,-67,-80,-81,-78,-74,-81,-200,-200,-90,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443610988,-36,-62,-47,-54,-51,-60,-61,-70,-67,-61,-68,-66,-78,-71,-68,-67,-80,-81,-78,-74,-81,-200,-200,-90,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443614000,-36,-62,-47,-54,-51,-60,-61,-70,-67,-61,-68,-66,-78,-71,-68,-67,-80,-81,-78,-74,-81,-200,-200,-90,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443617027,-37,-69,-38,-39,-48,-61,-60,-73,-63,-57,-65,-68,-200,-67,-66,-67,-88,-80,-73,-74,-81,-77,-80,-200,-83,-84,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443620054,-33,-65,-38,-40,-51,-66,-63,-71,-64,-54,-65,-68,-200,-67,-69,-66,-88,-80,-75,-74,-81,-77,-81,-200,-83,-84,-77,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443623089,-33,-65,-38,-40,-51,-66,-63,-71,-64,-54,-65,-68,-200,-67,-69,-66,-88,-80,-75,-74,-81,-77,-81,-200,-83,-84,-77,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443626122,-33,-65,-38,-40,-51,-66,-63,-71,-64,-54,-65,-68,-200,-67,-69,-66,-88,-80,-75,-74,-81,-77,-81,-200,-83,-84,-77,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443629146,-35,-62,-41,-42,-51,-69,-59,-69,-68,-56,-68,-65,-72,-65,-65,-66,-200,-80,-79,-75,-200,-77,-81,-200,-83,-200,-77,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443632156,-35,-62,-41,-42,-51,-67,-59,-71,-64,-56,-68,-66,-72,-64,-65,-67,-200,-80,-81,-75,-90,-77,-81,-200,-83,-200,-77,-89,-89,-83,-90,-92,-200,-200,-200,-200,-200,-200
1526443635188,-35,-62,-41,-42,-51,-67,-59,-71,-64,-56,-68,-66,-72,-64,-65,-67,-200,-80,-81,-75,-90,-77,-81,-200,-83,-200,-77,-89,-89,-83,-90,-92,-200,-200,-200,-200,-200,-200
1526443638231,-35,-62,-41,-42,-51,-67,-59,-71,-64,-56,-68,-66,-72,-64,-65,-67,-200,-80,-81,-75,-90,-77,-81,-200,-83,-200,-77,-89,-89,-83,-90,-92,-200,-200,-200,-200,-200,-200
1526443641271,-34,-69,-42,-44,-46,-65,-56,-65,-65,-54,-64,-70,-77,-71,-67,-64,-200,-200,-74,-74,-90,-76,-83,-87,-83,-200,-200,-200,-93,-87,-90,-92,-83,-88,-92,-200,-200,-200
1526443644315,-34,-67,-42,-44,-50,-65,-58,-65,-66,-56,-67,-70,-77,-71,-68,-64,-200,-81,-74,-77,-90,-76,-80,-86,-85,-200,-200,-200,-93,-87,-90,-90,-83,-88,-92,-83,-200,-200
1526443647337,-34,-67,-42,-44,-50,-65,-58,-65,-66,-56,-67,-70,-77,-71,-68,-64,-200,-81,-74,-77,-90,-76,-80,-86,-85,-200,-200,-200,-93,-87,-90,-90,-83,-88,-92,-83,-200,-200
1526443650368,-34,-67,-42,-44,-50,-65,-58,-65,-66,-56,-67,-70,-77,-71,-68,-64,-200,-81,-74,-77,-90,-76,-80,-86,-85,-200,-200,-200,-93,-87,-90,-90,-83,-88,-92,-83,-200,-200
1526443653403,-36,-67,-42,-44,-46,-64,-59,-65,-69,-55,-66,-66,-65,-69,-69,-69,-200,-81,-80,-77,-90,-77,-79,-86,-84,-200,-77,-200,-200,-200,-200,-89,-200,-200,-200,-83,-83,-88
1526443656442,-36,-67,-42,-44,-46,-66,-61,-65,-69,-55,-65,-70,-77,-69,-69,-69,-200,-81,-80,-77,-90,-77,-79,-86,-84,-200,-77,-200,-200,-200,-200,-89,-200,-200,-200,-83,-83,-88
1526443659486,-36,-67,-42,-44,-46,-66,-61,-65,-69,-55,-65,-70,-77,-69,-69,-69,-200,-81,-80,-77,-90,-77,-79,-86,-84,-200,-77,-200,-200,-200,-200,-89,-200,-200,-200,-83,-83,-88
1526443662522,-36,-67,-42,-44,-46,-66,-61,-65,-69,-55,-65,-70,-77,-69,-69,-69,-200,-81,-80,-77,-90,-77,-79,-86,-84,-200,-77,-200,-200,-200,-200,-89,-200,-200,-200,-83,-83,-88
1526443665561,-33,-72,-41,-41,-52,-62,-59,-70,-63,-54,-67,-73,-69,-200,-67,-67,-200,-79,-78,-78,-200,-72,-86,-85,-200,-200,-75,-200,-90,-85,-200,-200,-200,-200,-200,-200,-200,-200
