,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:11:d8,74:da:da:c1:02:8d,74:da:da:c1:03:2d,74:da:da:c1:3a:8d,0c:73:eb:d0:7c:40,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:90,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c1:3a:81,74:da:da:98:85:4c,d8:15:0d:6c:13:98,74:da:da:c1:03:21,0c:73:eb:d0:11:f8,74:da:da:c1:02:91,0c:73:eb:d0:13:d8,74:da:da:c1:3c:f5,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:c8,0c:73:eb:d0:7c:28,74:da:da:c1:6b:4d,74:da:da:98:74:80,0c:73:eb:d0:13:b8,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:00,74:da:da:c0:d7:19,0c:73:eb:d0:13:c8,74:da:da:c0:f3:01,74:da:da:98:74:34,74:da:da:c1:3d:2d,0c:73:eb:d0:13:98,74:da:da:98:90:94,74:da:da:98:85:1c
1526443909185,-33,-40,-50,-57,-58,-63,-65,-66,-68,-68,-70,-70,-71,-72,-74,-75,-75,-75,-78,-79,-80,-81,-81,-82,-84,-84,-86,-86,-87,-88,-200,-200,-200
1526443912214,-38,-44,-46,-61,-70,-61,-65,-62,-66,-68,-80,-73,-70,-71,-74,-74,-74,-75,-78,-77,-200,-77,-200,-200,-73,-84,-86,-86,-87,-200,-200,-200,-200
1526443915241,-30,-41,-48,-58,-64,-65,-68,-72,-66,-71,-73,-69,-66,-75,-71,-76,-79,-76,-81,-79,-78,-77,-200,-200,-73,-84,-86,-86,-87,-200,-200,-200,-200
1526443918272,-30,-41,-48,-58,-64,-65,-68,-72,-66,-71,-73,-69,-66,-75,-71,-76,-79,-76,-81,-79,-78,-77,-200,-200,-73,-84,-86,-86,-87,-200,-200,-200,-200
1526443921311,-31,-44,-48,-59,-62,-60,-62,-72,-67,-71,-75,-71,-60,-76,-72,-71,-75,-76,-78,-82,-78,-77,-200,-200,-77,-200,-200,-88,-87,-93,-91,-200,-200
1526443924347,-31,-43,-47,-58,-62,-61,-69,-69,-67,-73,-73,-71,-64,-76,-73,-72,-75,-200,-81,-82,-78,-77,-200,-200,-78,-200,-200,-88,-87,-93,-91,-94,-200
1526443927374,-31,-43,-47,-58,-62,-61,-69,-69,-67,-73,-73,-71,-64,-76,-73,-72,-75,-200,-81,-82,-78,-77,-200,-200,-78,-200,-200,-88,-87,-93,-91,-94,-200
1526443930409,-31,-43,-47,-58,-62,-61,-69,-69,-67,-73,-73,-71,-64,-76,-73,-72,-75,-200,-81,-82,-78,-77,-200,-200,-78,-200,-200,-88,-87,-93,-91,-94,-200
1526443933443,-28,-42,-48,-60,-62,-65,-77,-66,-66,-75,-73,-70,-64,-200,-72,-72,-76,-78,-79,-85,-81,-75,-200,-200,-79,-200,-200,-200,-200,-200,-200,-94,-200
1526443936478,-28,-42,-48,-59,-61,-61,-66,-66,-67,-72,-74,-72,-64,-200,-73,-72,-76,-78,-77,-85,-81,-75,-200,-200,-79,-200,-200,-200,-200,-200,-200,-94,-200
1526443939503,-28,-42,-48,-59,-61,-61,-66,-66,-67,-72,-74,-72,-64,-200,-73,-72,-76,-78,-77,-85,-81,-75,-200,-200,-79,-200,-200,-200,-200,-200,-200,-94,-200
1526443942533,-28,-42,-48,-59,-61,-61,-66,-66,-67,-72,-74,-72,-64,-200,-73,-72,-76,-78,-77,-85,-81,-75,-200,-200,-79,-200,-200,-200,-200,-200,-200,-94,-200
1526443945575,-32,-46,-50,-57,-63,-63,-70,-65,-67,-80,-74,-73,-64,-80,-72,-71,-75,-200,-77,-85,-77,-75,-79,-200,-200,-200,-200,-88,-90,-92,-200,-200,-92
1526443948615,-29,-45,-50,-57,-62,-59,-67,-69,-70,-80,-74,-72,-64,-80,-72,-69,-75,-77,-77,-81,-77,-77,-79,-200,-81,-200,-200,-88,-90,-92,-200,-91,-92
1526443951647,-29,-45,-50,-57,-62,-59,-67,-69,-70,-80,-74,-72,-64,-80,-72,-69,-75,-77,-77,-81,-77,-77,-79,-200,-81,-200,-200,-88,-90,-92,-200,-91,-92
1526443954684,-29,-45,-50,-57,-62,-59,-67,-69,-70,-80,-74,-72,-64,-80,-72,-69,-75,-77,-77,-81,-77,-77,-79,-200,-81,-200,-200,-88,-90,-92,-200,-91,-92
1526443957722,-30,-46,-49,-57,-62,-61,-67,-66,-67,-72,-72,-74,-64,-78,-73,-70,-75,-76,-75,-81,-80,-77,-80,-200,-78,-200,-200,-200,-200,-90,-200,-91,-200
1526443960755,-31,-47,-49,-57,-64,-60,-67,-69,-67,-72,-72,-72,-64,-78,-73,-69,-76,-76,-75,-83,-79,-77,-82,-200,-82,-200,-86,-200,-200,-90,-200,-91,-200
1526443963786,-31,-47,-49,-57,-64,-60,-67,-69,-67,-72,-72,-72,-64,-78,-73,-69,-76,-76,-75,-83,-79,-77,-82,-200,-82,-200,-86,-200,-200,-90,-200,-91,-200
1526443966829,-31,-47,-49,-57,-64,-60,-67,-69,-67,-72,-72,-72,-64,-78,-73,-69,-76,-76,-75,-83,-79,-77,-82,-200,-82,-200,-86,-200,-200,-90,-200,-91,-200
1526443969859,-33,-53,-47,-59,-69,-61,-70,-69,-67,-72,-72,-72,-66,-78,-73,-63,-75,-200,-82,-83,-79,-77,-75,-200,-82,-200,-86,-200,-200,-200,-200,-200,-200
