,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:11:d8,74:da:da:c1:02:8d,74:da:da:c1:03:2d,0c:73:eb:d0:13:90,0c:73:eb:d0:7c:40,74:da:da:c1:3a:8d,0c:73:eb:d0:7f:00,0c:73:eb:d0:7e:d0,d8:15:0d:6c:13:98,0c:73:eb:d0:13:d8,74:da:da:c1:03:21,0c:73:eb:d0:11:f8,74:da:da:c1:6b:4d,0c:73:eb:d0:13:b8,74:da:da:c1:03:1d,74:da:da:98:85:4c,74:da:da:c1:3a:81,0c:73:eb:d0:7c:00,74:da:da:c1:02:91,74:da:da:98:74:80,0c:73:eb:d0:11:c8,74:da:da:98:74:34,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:28,0c:73:eb:d0:7f:18,74:da:da:98:90:94,74:da:da:c1:3d:2d,74:da:da:c1:3c:f5,0c:73:eb:d0:7f:08,0c:73:eb:d0:76:18,0c:73:eb:d0:13:c8,74:da:da:98:ea:54,0c:73:eb:d0:7a:68,74:da:da:98:85:60
1526443754632,-42,-42,-49,-59,-60,-60,-65,-65,-65,-70,-71,-73,-73,-74,-75,-75,-78,-78,-80,-80,-83,-84,-84,-85,-85,-85,-86,-89,-90,-91,-200,-200,-200,-200
1526443757668,-38,-42,-49,-65,-60,-61,-61,-65,-73,-80,-78,-73,-73,-74,-68,-75,-78,-78,-80,-80,-83,-84,-79,-81,-85,-85,-86,-77,-90,-91,-85,-87,-200,-200
1526443760692,-38,-42,-49,-65,-60,-61,-61,-65,-73,-80,-78,-73,-73,-74,-68,-75,-78,-78,-80,-80,-83,-84,-79,-81,-85,-85,-86,-77,-90,-91,-85,-87,-200,-200
1526443763724,-38,-42,-49,-65,-60,-61,-61,-65,-73,-80,-78,-73,-73,-74,-68,-75,-78,-78,-80,-80,-83,-84,-79,-81,-85,-85,-86,-77,-90,-91,-85,-87,-200,-200
1526443766738,-44,-49,-48,-64,-66,-64,-64,-66,-71,-72,-73,-73,-200,-200,-70,-89,-72,-200,-75,-77,-82,-200,-79,-86,-200,-80,-200,-77,-89,-200,-85,-87,-89,-200
1526443769767,-43,-47,-46,-68,-61,-60,-64,-66,-67,-72,-73,-70,-200,-200,-60,-78,-73,-200,-75,-77,-82,-85,-79,-86,-200,-80,-200,-77,-89,-200,-85,-88,-89,-200
1526443772805,-43,-47,-46,-68,-61,-60,-64,-66,-67,-72,-73,-70,-200,-200,-60,-78,-73,-200,-75,-77,-82,-85,-79,-86,-200,-80,-200,-77,-89,-200,-85,-88,-89,-200
1526443775840,-43,-47,-46,-68,-61,-60,-64,-66,-67,-72,-73,-70,-200,-200,-60,-78,-73,-200,-75,-77,-82,-85,-79,-86,-200,-80,-200,-77,-89,-200,-85,-88,-89,-200
1526443778874,-43,-47,-46,-68,-61,-65,-65,-64,-66,-69,-73,-73,-80,-200,-58,-75,-75,-200,-73,-78,-86,-83,-83,-200,-200,-85,-200,-86,-200,-200,-200,-88,-200,-200
1526443781904,-42,-47,-46,-69,-63,-63,-68,-64,-66,-69,-73,-73,-80,-78,-58,-75,-73,-200,-73,-78,-86,-83,-83,-200,-200,-84,-200,-86,-200,-200,-200,-89,-200,-200
1526443784936,-42,-47,-46,-69,-63,-63,-68,-64,-66,-69,-73,-73,-80,-78,-58,-75,-73,-200,-73,-78,-86,-83,-83,-200,-200,-84,-200,-86,-200,-200,-200,-89,-200,-200
1526443787967,-42,-47,-46,-69,-63,-63,-68,-64,-66,-69,-73,-73,-80,-78,-58,-75,-73,-200,-73,-78,-86,-83,-83,-200,-200,-84,-200,-86,-200,-200,-200,-89,-200,-200
1526443791013,-40,-52,-50,-65,-67,-58,-70,-66,-65,-75,-72,-73,-80,-82,-63,-84,-75,-200,-200,-77,-80,-89,-83,-200,-200,-83,-200,-200,-200,-200,-200,-89,-200,-91
1526443794044,-40,-53,-51,-62,-56,-59,-66,-66,-64,-78,-70,-73,-80,-82,-63,-84,-76,-200,-200,-80,-80,-89,-83,-200,-200,-83,-200,-200,-200,-89,-200,-89,-200,-91
1526443797069,-40,-53,-51,-62,-56,-59,-66,-66,-64,-78,-70,-73,-80,-82,-63,-84,-76,-200,-200,-80,-80,-89,-83,-200,-200,-83,-200,-200,-200,-89,-200,-89,-200,-91
1526443800076,-40,-53,-51,-62,-56,-59,-66,-66,-64,-78,-70,-73,-80,-82,-63,-84,-76,-200,-200,-80,-80,-89,-83,-200,-200,-83,-200,-200,-200,-89,-200,-89,-200,-91
1526443803110,-41,-52,-52,-62,-63,-57,-72,-66,-64,-78,-74,-200,-83,-83,-63,-82,-81,-200,-87,-79,-79,-85,-83,-200,-200,-200,-200,-200,-200,-87,-200,-86,-200,-200
1526443806139,-41,-53,-52,-62,-59,-58,-76,-66,-64,-75,-81,-200,-83,-83,-63,-82,-79,-200,-87,-79,-79,-85,-83,-200,-200,-200,-200,-200,-200,-87,-200,-86,-200,-200
1526443809170,-41,-53,-52,-62,-59,-58,-76,-66,-64,-75,-81,-200,-83,-83,-63,-82,-79,-200,-87,-79,-79,-85,-83,-200,-200,-200,-200,-200,-200,-87,-200,-86,-200,-200
1526443812197,-41,-53,-52,-62,-59,-58,-76,-66,-64,-75,-81,-200,-83,-83,-63,-82,-79,-200,-87,-79,-79,-85,-83,-200,-200,-200,-200,-200,-200,-87,-200,-86,-200,-200
