,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10
,0c:73:eb:d0:13:d0,0c:73:eb:d0:11:e8,74:da:da:c0:e2:d9,74:da:da:c1:3c:f5,74:da:da:c1:3c:99,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:00,74:da:da:c0:d7:19,74:da:da:c0:f4:69,0c:73:eb:d0:7c:08,74:da:da:c1:56:a1,0c:73:eb:d0:11:f0,74:da:da:c0:f3:01,74:da:da:c0:d7:b9,0c:73:eb:d0:7f:10,0c:73:eb:d0:7c:18,74:da:da:98:85:00,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7f:08,0c:73:eb:d0:13:a8,74:da:da:c1:3c:f9,0c:73:eb:d0:7a:68,0c:73:eb:d0:11:e0,0c:73:eb:d0:7c:30,74:da:da:c0:e0:69,74:da:da:98:91:d4,74:da:da:98:85:60,74:da:da:c1:3c:dd,74:da:da:c0:d7:0d,74:da:da:c1:3a:81,0c:73:eb:d0:11:f8,74:da:da:c1:56:ed,74:da:da:c1:3c:51,0c:73:eb:d0:7c:10,74:da:da:c1:3a:dd,ec:26:ca:0b:d4:1e,74:da:da:c1:3c:8d,74:da:da:c1:48:bd,0c:73:eb:d0:7e:e0,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:38,74:da:da:c0:d7:dd,74:da:da:98:92:14,0c:73:eb:d0:76:48,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7c:28,74:da:da:c0:d8:59,0c:73:eb:d0:19:b8,0c:73:eb:d0:7e:f0,0c:73:eb:d0:2a:10
1526458165260,-38,-38,-52,-52,-52,-53,-54,-60,-61,-66,-66,-67,-67,-68,-69,-74,-75,-76,-76,-76,-76,-77,-78,-78,-78,-79,-80,-80,-80,-83,-83,-83,-85,-85,-87,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458168296,-30,-51,-40,-70,-81,-56,-49,-63,-69,-72,-67,-76,-58,-65,-67,-83,-75,-200,-63,-76,-200,-73,-56,-78,-200,-79,-65,-80,-73,-71,-80,-83,-200,-200,-79,-81,-90,-74,-79,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458171327,-30,-51,-40,-70,-81,-56,-49,-63,-69,-72,-67,-76,-58,-65,-67,-83,-75,-200,-63,-76,-200,-73,-56,-78,-200,-79,-65,-80,-73,-71,-80,-83,-200,-200,-79,-81,-90,-74,-79,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458174352,-30,-51,-40,-70,-81,-56,-49,-63,-69,-72,-67,-76,-58,-65,-67,-83,-75,-200,-63,-76,-200,-73,-56,-78,-200,-79,-65,-80,-73,-71,-80,-83,-200,-200,-79,-81,-90,-74,-79,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458177397,-26,-52,-39,-65,-70,-56,-46,-61,-66,-76,-68,-74,-58,-63,-67,-80,-76,-77,-62,-76,-200,-71,-52,-200,-200,-66,-67,-82,-75,-74,-78,-79,-200,-200,-77,-81,-84,-74,-76,-83,-81,-87,-87,-89,-200,-200,-200,-200,-200,-200
1526458180442,-24,-52,-39,-65,-70,-58,-46,-60,-66,-80,-68,-74,-58,-63,-66,-81,-74,-77,-62,-76,-200,-75,-50,-200,-200,-67,-67,-82,-73,-74,-72,-79,-200,-90,-80,-86,-84,-75,-76,-83,-75,-92,-87,-89,-200,-200,-200,-200,-200,-200
1526458183473,-24,-52,-39,-65,-70,-58,-46,-60,-66,-80,-68,-74,-58,-63,-66,-81,-74,-77,-62,-76,-200,-75,-50,-200,-200,-67,-67,-82,-73,-74,-72,-79,-200,-90,-80,-86,-84,-75,-76,-83,-75,-92,-87,-89,-200,-200,-200,-200,-200,-200
1526458186520,-24,-52,-39,-65,-70,-58,-46,-60,-66,-80,-68,-74,-58,-63,-66,-81,-74,-77,-62,-76,-200,-75,-50,-200,-200,-67,-67,-82,-73,-74,-72,-79,-200,-90,-80,-86,-84,-75,-76,-83,-75,-92,-87,-89,-200,-200,-200,-200,-200,-200
1526458189543,-24,-56,-39,-66,-77,-56,-49,-59,-65,-74,-67,-77,-58,-68,-65,-81,-71,-74,-64,-67,-81,-77,-57,-200,-200,-67,-66,-200,-73,-79,-69,-75,-200,-90,-78,-86,-200,-73,-79,-83,-72,-92,-200,-200,-81,-200,-200,-200,-200,-200
