,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DQKJ,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:13:d0,74:da:da:c0:e2:d9,0c:73:eb:d0:11:e8,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:e0,0c:73:eb:d0:7c:00,74:da:da:c0:f3:01,74:da:da:c0:d7:19,74:da:da:c1:3c:f5,0c:73:eb:d0:7f:10,74:da:da:c1:3c:99,74:da:da:c0:d7:b9,0c:73:eb:d0:11:f0,74:da:da:c1:48:bd,0c:73:eb:d0:13:a8,0c:73:eb:d0:7a:68,74:da:da:c1:56:a1,0c:73:eb:d0:7c:08,74:da:da:98:85:00,0c:73:eb:d0:7e:e8,74:da:da:98:91:d4,0c:73:eb:d0:7c:18,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:38,74:da:da:c0:d7:0d,74:da:da:98:85:60,74:da:da:c1:56:ed,74:da:da:c0:f4:69,0c:73:eb:d0:7f:08,0c:73:eb:d0:76:48,74:da:da:c1:3c:8d,0c:73:eb:d0:7c:30,74:da:da:c1:3a:81,0c:73:eb:d0:11:f8,74:da:da:c0:d8:59,74:da:da:c1:6b:4d,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:51,0c:73:eb:d0:19:b8,0c:73:eb:d0:7e:f8,ec:26:ca:0b:d4:1e,74:da:da:c1:3c:dd,0c:73:eb:d0:13:b8,0c:73:eb:d0:7c:10,74:da:da:98:92:14,74:da:da:c0:e0:69,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:28,74:da:da:c0:f6:15
1526458396629,-34,-40,-48,-53,-53,-58,-59,-62,-62,-62,-64,-65,-67,-67,-68,-68,-68,-68,-68,-69,-70,-72,-74,-75,-75,-76,-76,-77,-77,-78,-78,-78,-78,-80,-82,-82,-87,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458399667,-34,-40,-48,-53,-53,-58,-59,-62,-62,-62,-64,-65,-67,-67,-68,-68,-68,-68,-68,-69,-70,-72,-74,-75,-75,-76,-76,-77,-77,-78,-78,-78,-78,-80,-82,-82,-87,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458402708,-39,-42,-46,-51,-53,-53,-60,-52,-62,-63,-72,-70,-67,-64,-67,-75,-69,-68,-71,-69,-70,-75,-74,-78,-73,-71,-76,-68,-67,-200,-200,-75,-78,-80,-200,-82,-87,-200,-91,-68,-86,-86,-88,-200,-200,-200,-200,-200,-200
1526458405754,-49,-42,-50,-59,-56,-50,-60,-52,-60,-61,-64,-68,-67,-64,-67,-75,-69,-68,-71,-68,-70,-75,-75,-80,-75,-68,-76,-63,-72,-200,-200,-75,-74,-80,-200,-82,-77,-200,-84,-71,-81,-86,-88,-86,-200,-200,-200,-200,-200
1526458408793,-49,-42,-50,-59,-56,-50,-60,-52,-60,-61,-64,-68,-67,-64,-67,-75,-69,-68,-71,-68,-70,-75,-75,-80,-75,-68,-76,-63,-72,-200,-200,-75,-74,-80,-200,-82,-77,-200,-84,-71,-81,-86,-88,-86,-200,-200,-200,-200,-200
1526458411822,-49,-42,-50,-59,-56,-50,-60,-52,-60,-61,-64,-68,-67,-64,-67,-75,-69,-68,-71,-68,-70,-75,-75,-80,-75,-68,-76,-63,-72,-200,-200,-75,-74,-80,-200,-82,-77,-200,-84,-71,-81,-86,-88,-86,-200,-200,-200,-200,-200
1526458414853,-49,-39,-48,-57,-55,-53,-67,-56,-58,-63,-63,-66,-71,-200,-71,-72,-68,-69,-68,-70,-200,-82,-74,-69,-73,-68,-200,-63,-67,-200,-200,-200,-72,-77,-200,-200,-84,-200,-88,-67,-81,-200,-200,-86,-200,-200,-200,-200,-200
1526458417895,-40,-43,-52,-72,-62,-52,-67,-58,-63,-63,-64,-67,-73,-70,-71,-76,-68,-75,-68,-70,-77,-84,-80,-73,-80,-70,-75,-63,-78,-200,-200,-200,-72,-77,-200,-200,-84,-85,-88,-67,-83,-200,-200,-85,-83,-200,-200,-200,-200
1526458420939,-40,-43,-52,-72,-62,-52,-67,-58,-63,-63,-64,-67,-73,-70,-71,-76,-68,-75,-68,-70,-77,-84,-80,-73,-80,-70,-75,-63,-78,-200,-200,-200,-72,-77,-200,-200,-84,-85,-88,-67,-83,-200,-200,-85,-83,-200,-200,-200,-200
