,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:11:d8,74:da:da:c1:02:8d,74:da:da:c1:03:2d,0c:73:eb:d0:7c:40,74:da:da:c1:3a:8d,d8:15:0d:6c:13:98,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:90,74:da:da:c1:3a:81,74:da:da:c1:03:21,74:da:da:c1:03:1d,0c:73:eb:d0:13:d8,74:da:da:c1:6b:4d,0c:73:eb:d0:11:f8,0c:73:eb:d0:11:c8,0c:73:eb:d0:7e:d0,0c:73:eb:d0:7c:00,74:da:da:c1:3a:dd,74:da:da:98:85:4c,0c:73:eb:d0:7c:28,0c:73:eb:d0:13:b8,0c:73:eb:d0:7f:18,74:da:da:c0:d7:0d,74:da:da:98:74:80,74:da:da:c1:3c:f5,74:da:da:c0:f3:01,74:da:da:c1:02:91,74:da:da:98:74:34,74:da:da:98:90:94,0c:73:eb:d0:13:c8,74:da:da:98:85:60,74:da:da:98:91:d4,0c:73:eb:d0:7f:08,74:da:da:98:ea:54,74:da:da:c0:d7:11
1526444207979,-43,-43,-51,-57,-62,-65,-67,-67,-68,-72,-73,-74,-74,-74,-74,-75,-75,-75,-76,-77,-77,-78,-78,-79,-85,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526444211006,-46,-45,-53,-60,-62,-62,-69,-67,-67,-70,-79,-72,-78,-71,-73,-75,-75,-77,-72,-81,-77,-78,-78,-79,-80,-86,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526444214038,-46,-45,-53,-60,-62,-62,-69,-67,-67,-70,-79,-72,-78,-71,-73,-75,-75,-77,-72,-81,-77,-78,-78,-79,-80,-86,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526444217070,-46,-45,-53,-60,-62,-62,-69,-67,-67,-70,-79,-72,-78,-71,-73,-75,-75,-77,-72,-81,-77,-78,-78,-79,-80,-86,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526444220088,-43,-55,-52,-64,-60,-65,-73,-70,-68,-69,-74,-73,-78,-73,-73,-79,-200,-77,-72,-80,-200,-200,-200,-80,-80,-87,-87,-82,-200,-200,-200,-200,-200,-200,-200
1526444223119,-42,-55,-51,-65,-60,-65,-74,-70,-68,-71,-72,-72,-78,-69,-73,-77,-200,-77,-72,-80,-85,-200,-200,-80,-80,-87,-85,-81,-200,-200,-200,-200,-200,-200,-200
1526444226151,-42,-55,-51,-65,-60,-65,-74,-70,-68,-71,-72,-72,-78,-69,-73,-77,-200,-77,-72,-80,-85,-200,-200,-80,-80,-87,-85,-81,-200,-200,-200,-200,-200,-200,-200
1526444229182,-42,-55,-51,-65,-60,-65,-74,-70,-68,-71,-72,-72,-78,-69,-73,-77,-200,-77,-72,-80,-85,-200,-200,-80,-80,-87,-85,-81,-200,-200,-200,-200,-200,-200,-200
1526444232213,-43,-50,-52,-63,-61,-64,-71,-70,-64,-69,-72,-72,-82,-69,-73,-81,-83,-75,-75,-80,-85,-200,-200,-80,-81,-200,-85,-79,-80,-86,-200,-200,-200,-200,-200
