,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:11:d8,74:da:da:c1:02:8d,74:da:da:c1:3a:8d,0c:73:eb:d0:7c:40,74:da:da:c1:03:2d,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:90,d8:15:0d:6c:13:98,74:da:da:c1:02:91,74:da:da:c1:03:1d,74:da:da:c1:03:21,0c:73:eb:d0:11:f8,0c:73:eb:d0:7c:00,74:da:da:c1:3a:81,74:da:da:98:74:80,74:da:da:c1:3c:f5,74:da:da:c1:6b:4d,0c:73:eb:d0:13:b8,0c:73:eb:d0:7e:d0,0c:73:eb:d0:13:d8,0c:73:eb:d0:11:c8,0c:73:eb:d0:7c:28,0c:73:eb:d0:7f:18,74:da:da:98:90:94,0c:73:eb:d0:13:c8,74:da:da:98:85:4c,ec:26:ca:0b:d4:1e,74:da:da:c0:f3:01,74:da:da:98:74:34,74:da:da:c1:3a:dd,74:da:da:98:85:60,74:da:da:98:91:d4
1526443983668,-29,-42,-59,-62,-63,-64,-68,-68,-68,-69,-69,-71,-71,-72,-75,-75,-75,-75,-76,-78,-79,-81,-81,-84,-86,-88,-91,-200,-200,-200,-200,-200
1526443986698,-29,-46,-57,-65,-53,-64,-65,-71,-78,-71,-80,-69,-71,-66,-78,-200,-75,-84,-63,-72,-79,-81,-85,-87,-200,-75,-91,-88,-88,-200,-200,-200
1526443989731,-29,-46,-57,-65,-53,-64,-65,-71,-78,-71,-80,-69,-71,-66,-78,-200,-75,-84,-63,-72,-79,-81,-85,-87,-200,-75,-91,-88,-88,-200,-200,-200
1526443992765,-29,-46,-57,-65,-53,-64,-65,-71,-78,-71,-80,-69,-71,-66,-78,-200,-75,-84,-63,-72,-79,-81,-85,-87,-200,-75,-91,-88,-88,-200,-200,-200
1526443995808,-36,-46,-56,-67,-50,-64,-66,-77,-78,-73,-75,-68,-200,-67,-79,-86,-77,-84,-59,-75,-200,-85,-85,-88,-200,-73,-200,-88,-88,-82,-200,-200
1526443998843,-32,-46,-55,-67,-51,-60,-64,-74,-78,-73,-76,-70,-200,-67,-79,-86,-77,-81,-65,-71,-81,-86,-85,-88,-200,-73,-200,-88,-88,-82,-200,-200
1526444001879,-32,-46,-55,-67,-51,-60,-64,-74,-78,-73,-76,-70,-200,-67,-79,-86,-77,-81,-65,-71,-81,-86,-85,-88,-200,-73,-200,-88,-88,-82,-200,-200
1526444004916,-32,-46,-55,-67,-51,-60,-64,-74,-78,-73,-76,-70,-200,-67,-79,-86,-77,-81,-65,-71,-81,-86,-85,-88,-200,-73,-200,-88,-88,-82,-200,-200
1526444007946,-31,-46,-56,-67,-51,-62,-65,-74,-80,-72,-79,-68,-200,-67,-80,-88,-77,-81,-61,-72,-81,-86,-89,-90,-200,-74,-200,-200,-200,-200,-200,-200
1526444010979,-31,-46,-56,-69,-52,-62,-67,-74,-82,-71,-80,-70,-200,-69,-79,-88,-74,-81,-64,-77,-81,-86,-89,-90,-200,-74,-200,-88,-200,-79,-200,-200
1526444014008,-31,-46,-56,-69,-52,-62,-67,-74,-82,-71,-80,-70,-200,-69,-79,-88,-74,-81,-64,-77,-81,-86,-89,-90,-200,-74,-200,-88,-200,-79,-200,-200
