,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:11:d8,74:da:da:c1:02:8d,74:da:da:c1:03:2d,0c:73:eb:d0:7c:40,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,0c:73:eb:d0:13:90,74:da:da:c1:3a:8d,d8:15:0d:6c:13:98,0c:73:eb:d0:11:f8,74:da:da:98:85:4c,74:da:da:c1:03:21,0c:73:eb:d0:11:c8,0c:73:eb:d0:13:d8,0c:73:eb:d0:7f:00,74:da:da:c1:3a:81,0c:73:eb:d0:13:b8,74:da:da:98:74:80,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:28,74:da:da:c1:02:91,74:da:da:98:90:94,0c:73:eb:d0:13:c8,74:da:da:98:74:34,0c:73:eb:d0:7f:18,74:da:da:c1:3c:f5,74:da:da:c0:f3:01,74:da:da:98:91:d4,74:da:da:c0:d7:0d,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:08,74:da:da:c1:3a:dd,74:da:da:c1:3d:2d
1526443834558,-40,-47,-50,-61,-64,-65,-65,-70,-70,-73,-74,-74,-75,-77,-77,-80,-81,-82,-83,-83,-85,-85,-88,-88,-88,-92,-200,-200,-200,-200,-200,-200,-200
1526443837571,-38,-40,-45,-61,-73,-66,-66,-74,-71,-73,-74,-74,-75,-73,-64,-80,-81,-86,-83,-83,-72,-200,-200,-88,-89,-80,-87,-92,-200,-200,-200,-200,-200
1526443840602,-38,-40,-45,-61,-73,-66,-66,-74,-71,-73,-74,-74,-75,-73,-64,-80,-81,-86,-83,-83,-72,-200,-200,-88,-89,-80,-87,-92,-200,-200,-200,-200,-200
1526443843616,-38,-40,-45,-61,-73,-66,-66,-74,-71,-73,-74,-74,-75,-73,-64,-80,-81,-86,-83,-83,-72,-200,-200,-88,-89,-80,-87,-92,-200,-200,-200,-200,-200
1526443846662,-38,-44,-45,-53,-68,-62,-66,-76,-76,-73,-72,-71,-85,-69,-64,-72,-200,-86,-80,-85,-68,-86,-200,-90,-89,-80,-87,-92,-88,-200,-200,-200,-200
1526443849692,-37,-43,-46,-68,-72,-62,-63,-74,-69,-73,-73,-73,-85,-69,-65,-72,-200,-82,-80,-85,-71,-86,-200,-90,-90,-80,-87,-92,-88,-200,-200,-200,-200
1526443852726,-37,-43,-46,-68,-72,-62,-63,-74,-69,-73,-73,-73,-85,-69,-65,-72,-200,-82,-80,-85,-71,-86,-200,-90,-90,-80,-87,-92,-88,-200,-200,-200,-200
1526443855766,-37,-43,-46,-68,-72,-62,-63,-74,-69,-73,-73,-73,-85,-69,-65,-72,-200,-82,-80,-85,-71,-86,-200,-90,-90,-80,-87,-92,-88,-200,-200,-200,-200
1526443858808,-43,-44,-49,-67,-72,-60,-73,-77,-72,-200,-72,-78,-200,-69,-66,-75,-200,-78,-77,-200,-69,-200,-200,-200,-90,-86,-87,-200,-200,-200,-200,-200,-200
1526443861837,-36,-45,-45,-59,-71,-59,-67,-58,-76,-75,-70,-72,-79,-69,-64,-74,-86,-79,-78,-86,-68,-200,-200,-200,-90,-86,-87,-200,-200,-200,-200,-200,-200
1526443864869,-36,-45,-45,-59,-71,-59,-67,-58,-76,-75,-70,-72,-79,-69,-64,-74,-86,-79,-78,-86,-68,-200,-200,-200,-90,-86,-87,-200,-200,-200,-200,-200,-200
