,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:13:90,0c:73:eb:d0:11:c8,74:da:da:98:74:34,74:da:da:98:74:35,0c:73:eb:d0:13:c8,74:da:da:98:90:94,74:da:da:98:85:4c,74:da:da:98:74:80,74:da:da:98:74:74,74:da:da:c1:3d:2d,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:98,74:da:da:c1:3c:11,74:da:da:c1:02:8d,74:da:da:c1:03:21,74:da:da:c1:3c:45,0c:73:eb:d0:19:c0,74:da:da:98:85:1c,74:da:da:98:74:75,74:da:da:98:90:2c,0c:73:eb:d0:13:b8,0c:73:eb:d0:11:e0,74:da:da:98:85:00,0c:73:eb:d0:76:18,74:da:da:c1:02:91,74:da:da:c1:3c:4d,74:da:da:98:ea:54,74:da:da:98:74:81,0c:73:eb:d0:11:d8,0c:73:eb:d0:11:c0,74:da:da:98:85:60,0c:73:eb:d0:7f:10,74:da:da:c1:03:2d,74:da:da:c1:3c:55,74:da:da:c0:d6:f5,74:da:da:c1:56:a1,0c:73:eb:d0:19:c8,50:3a:a0:ea:01:66,74:da:da:98:66:cc,74:da:da:c0:d7:11,74:da:da:98:85:1d,0c:73:eb:d0:7f:08,0c:73:eb:d0:7e:d0,0c:73:eb:d0:13:b0,74:da:da:98:ea:64,0c:73:eb:d0:7c:38,74:da:da:c1:3a:8d,74:da:da:c1:3a:81,74:da:da:c0:d6:ed,74:da:da:98:92:14,0c:73:eb:d0:19:90,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:40,74:da:da:c0:d7:9d,0c:73:eb:d0:13:d8
1526460542524,-41,-42,-47,-48,-52,-56,-57,-59,-60,-61,-61,-63,-64,-65,-69,-70,-72,-72,-73,-73,-75,-75,-76,-77,-77,-77,-77,-79,-79,-80,-80,-80,-81,-81,-81,-81,-82,-82,-84,-84,-84,-84,-85,-86,-88,-88,-90,-90,-91,-91,-91,-200,-200,-200,-200
1526460545555,-46,-28,-57,-49,-58,-67,-88,-70,-71,-71,-70,-72,-71,-72,-75,-88,-76,-72,-200,-74,-79,-200,-76,-81,-89,-93,-80,-78,-78,-80,-200,-87,-85,-90,-81,-89,-87,-75,-200,-80,-200,-84,-200,-88,-88,-200,-91,-200,-91,-200,-200,-91,-92,-200,-200
1526460548585,-48,-28,-48,-50,-59,-69,-88,-61,-71,-64,-63,-75,-69,-69,-68,-80,-83,-73,-83,-75,-85,-200,-87,-86,-89,-93,-80,-78,-77,-77,-88,-86,-86,-83,-87,-89,-87,-76,-200,-80,-200,-84,-200,-88,-88,-200,-91,-200,-91,-200,-200,-91,-92,-200,-200
1526460551610,-48,-32,-53,-49,-57,-66,-88,-59,-71,-64,-64,-74,-69,-68,-67,-78,-75,-73,-83,-75,-74,-200,-84,-82,-89,-93,-80,-78,-80,-78,-88,-86,-84,-82,-86,-89,-84,-74,-200,-82,-200,-91,-88,-88,-200,-200,-91,-200,-90,-200,-200,-91,-86,-200,-200
1526460554633,-49,-15,-48,-19,-58,-67,-83,-61,-70,-64,-63,-72,-71,-70,-73,-79,-83,-69,-82,-81,-82,-200,-87,-84,-88,-93,-80,-78,-80,-82,-88,-86,-88,-81,-85,-89,-84,-74,-200,-81,-200,-91,-88,-88,-200,-200,-91,-200,-90,-200,-200,-91,-86,-93,-200
1526460557658,-45,-29,-49,-49,-57,-68,-76,-62,-69,-64,-62,-73,-69,-69,-71,-78,-70,-61,-82,-81,-77,-200,-87,-85,-89,-200,-200,-78,-72,-80,-88,-86,-88,-81,-86,-88,-82,-74,-200,-81,-200,-91,-85,-86,-200,-200,-90,-200,-90,-200,-200,-200,-91,-93,-200
1526460560684,-45,-30,-51,-49,-59,-69,-76,-71,-70,-62,-63,-74,-68,-69,-82,-80,-83,-68,-83,-81,-81,-200,-87,-83,-92,-200,-80,-79,-81,-81,-87,-200,-86,-82,-85,-88,-87,-74,-200,-81,-200,-90,-91,-85,-200,-200,-90,-200,-91,-200,-200,-200,-91,-93,-200
1526460563709,-48,-29,-48,-50,-56,-66,-76,-62,-66,-61,-77,-73,-70,-70,-82,-81,-82,-69,-82,-75,-78,-200,-87,-83,-88,-200,-80,-79,-76,-78,-88,-88,-82,-83,-84,-88,-84,-74,-200,-84,-200,-90,-85,-87,-200,-200,-90,-200,-91,-200,-200,-200,-91,-93,-200
1526460566742,-46,-30,-48,-49,-56,-70,-74,-63,-70,-64,-70,-75,-70,-68,-82,-77,-74,-70,-83,-76,-78,-91,-87,-82,-88,-200,-80,-78,-71,-78,-86,-88,-82,-81,-85,-88,-84,-75,-200,-81,-200,-89,-85,-87,-200,-200,-90,-200,-91,-200,-200,-91,-91,-200,-91
