,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,null,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:46:8C,78:A5:04:41:EE:1D,78:A5:04:41:EB:DD,7C:66:9D:7B:47:3D,7C:66:9D:7B:2B:BA,BC:6A:29:BE:2F:12,7C:66:9D:7B:2B:CB,BC:6A:29:BE:31:61,78:A5:04:41:E7:A2,78:A5:04:41:E7:93,78:A5:04:41:EE:15,7C:66:9D:7B:2B:E4
1526442956082,-78,-81,-87,-82,-64,-200,-200,-200,-200,-200,-200,-200
1526442956177,-78,-81,-200,-200,-64,-71,-80,-75,-200,-200,-200,-200
1526442956292,-78,-81,-200,-82,-64,-70,-200,-75,-200,-200,-200,-200
1526442956390,-78,-200,-200,-200,-200,-71,-81,-74,-93,-91,-200,-200
1526442961016,-80,-200,-84,-200,-64,-71,-80,-59,-88,-200,-200,-200
1526442961125,-78,-200,-200,-200,-200,-200,-200,-200,-89,-91,-200,-200
1526442961236,-77,-83,-84,-200,-200,-71,-80,-59,-87,-200,-86,-200
1526442961358,-77,-83,-200,-200,-200,-77,-80,-59,-87,-200,-86,-200
1526442966341,-200,-200,-200,-200,-200,-77,-200,-60,-200,-200,-200,-200
1526442966440,-200,-200,-200,-200,-200,-200,-200,-60,-200,-200,-200,-200
1526442970979,-81,-83,-88,-79,-64,-73,-77,-80,-200,-200,-200,-200
1526442971070,-82,-200,-200,-81,-64,-73,-77,-81,-200,-200,-200,-200
1526442971174,-81,-83,-88,-81,-64,-200,-200,-79,-200,-200,-200,-200
1526442971285,-82,-200,-88,-81,-200,-72,-77,-79,-200,-200,-200,-200
1526442971428,-80,-82,-88,-81,-64,-72,-77,-200,-200,-200,-200,-200
1526442976010,-84,-83,-200,-82,-83,-200,-200,-57,-200,-92,-200,-200
1526442976133,-83,-83,-200,-200,-200,-200,-200,-57,-200,-200,-200,-200
1526442976231,-200,-82,-200,-82,-200,-79,-200,-57,-200,-91,-200,-200
1526442976340,-82,-200,-200,-83,-200,-200,-200,-56,-200,-200,-86,-93
1526442980993,-200,-200,-200,-89,-200,-85,-200,-59,-200,-200,-200,-200
1526442981089,-83,-81,-200,-200,-200,-84,-200,-60,-200,-200,-200,-200
1526442981195,-200,-81,-90,-200,-200,-82,-200,-59,-88,-200,-200,-200
1526442981295,-200,-81,-200,-200,-66,-82,-200,-58,-200,-200,-200,-200
1526442981400,-78,-200,-200,-90,-63,-200,-200,-60,-200,-200,-200,-200
1526442986021,-79,-82,-87,-80,-200,-74,-78,-77,-200,-200,-200,-200
1526442986136,-78,-82,-87,-82,-64,-72,-200,-76,-200,-200,-200,-200
1526442986238,-79,-82,-87,-200,-64,-73,-77,-75,-200,-200,-200,-200
1526442986351,-80,-200,-87,-81,-80,-74,-77,-55,-87,-200,-87,-200
1526442991085,-80,-82,-86,-200,-80,-72,-88,-56,-87,-90,-200,-200
1526442991186,-81,-200,-87,-200,-80,-79,-200,-56,-87,-200,-200,-200
1526442991286,-81,-200,-200,-82,-200,-87,-200,-200,-200,-200,-200,-200
1526442991401,-80,-200,-200,-200,-200,-79,-200,-61,-200,-200,-200,-200
1526442991618,-200,-83,-200,-81,-79,-79,-200,-200,-200,-200,-200,-200
1526442996032,-200,-82,-200,-89,-200,-82,-78,-64,-200,-200,-200,-200
1526442996130,-200,-200,-200,-200,-200,-83,-200,-68,-200,-200,-200,-200
1526442996239,-200,-200,-200,-89,-200,-82,-78,-68,-200,-200,-200,-200
1526442996343,-76,-200,-85,-89,-77,-86,-200,-63,-82,-200,-200,-200
1526443000992,-76,-89,-87,-200,-67,-68,-200,-63,-200,-200,-200,-200
1526443001101,-74,-200,-90,-89,-68,-69,-200,-67,-200,-200,-200,-200
1526443001206,-75,-200,-200,-200,-69,-70,-200,-68,-200,-200,-200,-200
1526443001311,-74,-200,-200,-88,-200,-69,-200,-70,-200,-200,-200,-200
1526443001417,-77,-200,-200,-81,-65,-85,-200,-79,-200,-200,-200,-200
1526443006081,-76,-85,-200,-81,-200,-200,-200,-67,-86,-200,-200,-200
1526443006178,-200,-200,-200,-81,-65,-200,-200,-66,-200,-200,-200,-200
1526443006295,-77,-200,-200,-200,-65,-83,-200,-66,-88,-200,-93,-200
1526443006390,-75,-200,-200,-81,-200,-80,-200,-66,-200,-200,-93,-200
1526443010982,-77,-200,-200,-200,-66,-72,-200,-200,-83,-200,-200,-200
1526443011111,-77,-200,-85,-83,-66,-76,-200,-63,-84,-88,-200,-200
1526443011202,-77,-200,-200,-83,-66,-75,-200,-63,-83,-88,-200,-200
1526443011312,-77,-200,-200,-81,-65,-75,-85,-66,-83,-200,-200,-200
1526443011411,-76,-86,-200,-88,-65,-67,-200,-62,-200,-200,-200,-200
1526443016072,-94,-200,-88,-81,-200,-67,-89,-78,-87,-87,-200,-200
1526443016225,-200,-200,-88,-200,-66,-200,-86,-78,-87,-87,-200,-200
1526443016370,-200,-200,-200,-79,-67,-67,-85,-78,-87,-200,-200,-200
1526443016478,-200,-200,-200,-79,-67,-200,-200,-77,-200,-200,-200,-200
