,null,null,null,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:46:8C,BC:6A:29:BE:31:61,BC:6A:29:BE:2F:12,7C:66:9D:7B:47:3D,78:A5:04:41:E7:A2,7C:66:9D:7B:2B:CB,7C:66:9D:7B:2B:BA,78:A5:04:41:E7:EF,78:A5:04:41:E7:98,78:A5:04:41:EE:1D,78:A5:04:41:EE:15,78:A5:04:41:E7:93,78:A5:04:41:EB:DD,F4:B8:5E:AA:77:73
1526442401088,-71,-76,-75,-68,-91,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526442401208,-72,-77,-74,-68,-200,-200,-76,-83,-94,-200,-200,-200,-200,-200
1526442401308,-72,-79,-75,-68,-94,-64,-76,-83,-200,-200,-200,-200,-200,-200
1526442405999,-72,-200,-72,-70,-200,-65,-69,-85,-200,-88,-200,-200,-200,-200
1526442406104,-72,-200,-72,-200,-200,-64,-70,-87,-89,-200,-200,-200,-200,-200
1526442406209,-72,-200,-72,-70,-200,-64,-70,-88,-90,-88,-200,-200,-200,-200
1526442406315,-72,-200,-72,-69,-200,-64,-200,-88,-200,-87,-200,-200,-200,-200
1526442411047,-73,-200,-70,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442411150,-74,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442411254,-74,-92,-71,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526442411361,-74,-81,-70,-72,-200,-65,-200,-89,-89,-200,-200,-200,-200,-200
1526442411450,-73,-200,-69,-67,-200,-65,-200,-90,-200,-200,-200,-200,-200,-200
1526442411567,-72,-82,-200,-73,-200,-64,-68,-88,-200,-87,-200,-200,-200,-200
1526442415978,-80,-83,-74,-62,-200,-200,-200,-200,-92,-200,-200,-90,-200,-200
1526442416082,-79,-84,-200,-200,-200,-85,-78,-88,-200,-200,-200,-200,-200,-200
1526442416187,-79,-80,-75,-66,-200,-200,-78,-88,-200,-83,-200,-200,-91,-200
1526442416329,-79,-78,-200,-62,-200,-200,-78,-86,-200,-83,-200,-200,-200,-200
1526442421048,-74,-82,-75,-68,-200,-200,-73,-200,-200,-81,-200,-200,-200,-200
1526442421142,-74,-82,-75,-68,-200,-200,-73,-84,-91,-82,-200,-200,-200,-200
1526442421286,-74,-82,-75,-68,-200,-200,-73,-84,-92,-82,-200,-200,-200,-200
1526442421394,-74,-90,-200,-69,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200
1526442426014,-72,-200,-200,-72,-200,-65,-68,-86,-90,-89,-200,-200,-200,-200
1526442426160,-66,-92,-200,-200,-200,-64,-68,-86,-90,-200,-200,-200,-200,-200
1526442426255,-72,-89,-66,-72,-200,-64,-68,-86,-90,-89,-200,-200,-200,-200
1526442426388,-72,-200,-66,-71,-200,-200,-68,-200,-200,-90,-200,-200,-200,-200
1526442430978,-76,-85,-80,-200,-200,-200,-79,-200,-200,-83,-200,-200,-200,-200
1526442431076,-76,-84,-76,-200,-200,-200,-80,-200,-200,-83,-200,-200,-200,-200
1526442431210,-200,-80,-200,-66,-200,-200,-200,-88,-200,-200,-89,-200,-200,-200
1526442431312,-75,-87,-75,-200,-200,-200,-79,-87,-200,-200,-200,-200,-200,-200
1526442431411,-200,-86,-76,-73,-200,-76,-77,-200,-200,-88,-200,-200,-200,-89
1526442436096,-66,-200,-200,-74,-200,-77,-75,-200,-200,-88,-200,-200,-200,-200
1526442436184,-66,-200,-200,-72,-200,-200,-73,-86,-200,-86,-200,-200,-200,-92
1526442436307,-66,-200,-74,-72,-200,-200,-75,-200,-200,-85,-200,-200,-200,-200
1526442436426,-66,-200,-74,-70,-200,-70,-64,-200,-200,-82,-87,-200,-200,-200
