,null,0113.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:46:8C,7C:66:9D:7B:2B:BA,BC:6A:29:BE:2F:12,78:A5:04:41:E7:A2,7C:66:9D:7B:2B:CB,7C:66:9D:7B:47:3D,78:A5:04:41:EE:1D,BC:6A:29:BE:31:61,78:A5:04:41:EB:DD,78:A5:04:41:E7:93
1526442166135,-74,-72,-67,-86,-84,-80,-83,-75,-88,-200
1526442166256,-200,-200,-67,-85,-82,-81,-200,-74,-88,-200
1526442166450,-200,-200,-68,-85,-84,-200,-200,-200,-200,-200
1526442171026,-200,-200,-78,-86,-84,-80,-80,-82,-200,-200
1526442171134,-200,-200,-77,-86,-82,-81,-80,-80,-88,-200
1526442171238,-86,-200,-77,-86,-83,-81,-79,-200,-200,-200
1526442171343,-200,-76,-77,-200,-200,-82,-200,-70,-200,-200
1526442171455,-200,-200,-78,-200,-81,-73,-80,-81,-200,-200
1526442176035,-76,-84,-76,-200,-200,-200,-80,-200,-83,-85
1526442176179,-76,-200,-76,-200,-200,-200,-81,-200,-200,-200
1526442176283,-76,-200,-200,-200,-200,-200,-81,-200,-200,-200
1526442176389,-76,-200,-69,-200,-81,-200,-80,-200,-200,-85
1526442180998,-76,-200,-200,-83,-85,-83,-83,-75,-200,-200
1526442181105,-77,-81,-200,-84,-84,-83,-83,-76,-200,-200
1526442181215,-76,-70,-73,-200,-85,-200,-84,-75,-88,-200
1526442181316,-76,-200,-69,-200,-85,-83,-84,-75,-88,-200
1526442185988,-200,-82,-83,-87,-200,-80,-79,-88,-200,-200
1526442186077,-200,-200,-83,-86,-200,-80,-78,-86,-200,-200
1526442186188,-200,-70,-84,-87,-200,-81,-79,-86,-200,-200
1526442186291,-200,-200,-82,-86,-89,-81,-79,-86,-200,-200
1526442186395,-200,-70,-200,-200,-200,-82,-200,-87,-200,-200
1526442191014,-78,-200,-72,-200,-200,-81,-83,-76,-200,-200
1526442191108,-78,-70,-68,-85,-85,-81,-83,-73,-200,-200
1526442191223,-78,-200,-200,-85,-85,-81,-200,-74,-88,-200
1526442191340,-77,-71,-69,-84,-85,-80,-84,-74,-88,-200
1526442196003,-94,-200,-79,-86,-86,-200,-77,-79,-200,-200
1526442196105,-93,-200,-200,-85,-200,-84,-77,-79,-200,-200
1526442196219,-93,-74,-80,-86,-200,-83,-78,-80,-200,-200
1526442196425,-94,-200,-69,-200,-200,-82,-200,-200,-84,-85
1526442201019,-77,-200,-69,-200,-80,-81,-82,-200,-200,-85
1526442201137,-77,-84,-70,-200,-80,-80,-82,-77,-83,-200
1526442201257,-200,-84,-70,-200,-200,-80,-82,-77,-83,-85
1526442201354,-78,-84,-70,-86,-87,-200,-200,-200,-200,-200
1526442206097,-200,-72,-68,-86,-200,-80,-84,-72,-88,-200
1526442206228,-200,-200,-69,-200,-86,-200,-83,-72,-88,-200
1526442206329,-79,-72,-69,-85,-88,-200,-200,-72,-87,-200
1526442206437,-200,-76,-88,-200,-86,-82,-79,-200,-88,-200
1526442211111,-200,-76,-88,-88,-87,-200,-79,-74,-200,-200
1526442211208,-200,-76,-88,-200,-88,-82,-79,-80,-200,-200
1526442211316,-200,-76,-88,-88,-87,-82,-79,-80,-200,-200
1526442211428,-200,-76,-87,-200,-200,-81,-79,-200,-200,-200
1526442216006,-74,-200,-200,-200,-78,-79,-200,-200,-200,-84
1526442216090,-74,-200,-200,-200,-200,-80,-83,-71,-86,-200
1526442216220,-78,-200,-74,-200,-200,-81,-200,-76,-200,-200
1526442216407,-200,-200,-73,-200,-200,-83,-200,-78,-200,-200
1526442216506,-77,-200,-73,-200,-200,-81,-85,-200,-200,-200
1526442216603,-200,-200,-69,-200,-85,-83,-80,-200,-200,-200
1526442221018,-200,-76,-89,-88,-86,-81,-80,-78,-200,-200
1526442221136,-200,-76,-88,-88,-200,-80,-80,-80,-200,-200
1526442221231,-200,-200,-200,-88,-86,-74,-200,-79,-200,-200
1526442221384,-75,-79,-75,-88,-87,-73,-81,-81,-83,-200
1526442226042,-75,-200,-74,-200,-200,-76,-200,-75,-82,-200
1526442226179,-75,-200,-74,-200,-200,-200,-200,-74,-82,-200
1526442226276,-75,-200,-200,-200,-200,-76,-200,-78,-200,-200
1526442226388,-200,-200,-75,-200,-200,-200,-200,-79,-200,-200
1526442226496,-75,-200,-75,-200,-200,-200,-200,-82,-85,-200
