,0113.0012-vlucci.com A1.4.0.1,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2B:BA,7C:66:9D:7B:2B:CB,BC:6A:29:BE:2F:12,78:A5:04:41:EE:1D,78:A5:04:41:E7:A2,7C:66:9D:7B:46:8C,7C:66:9D:7B:47:3D,BC:6A:29:BE:31:61,78:A5:04:41:E7:93,78:A5:04:41:E7:EF,78:A5:04:41:EB:DD,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:79:4E
1526443036084,-68,-84,-72,-84,-87,-87,-200,-200,-200,-200,-200,-200,-200
1526443036180,-69,-84,-72,-200,-85,-200,-86,-72,-200,-200,-200,-200,-200
1526443036285,-69,-84,-70,-84,-200,-85,-84,-200,-200,-200,-200,-200,-200
1526443036399,-69,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443040990,-69,-200,-76,-84,-200,-77,-200,-200,-90,-200,-200,-200,-200
1526443041111,-200,-200,-76,-200,-200,-78,-92,-66,-91,-200,-200,-200,-200
1526443041207,-81,-200,-76,-200,-200,-77,-90,-65,-90,-93,-200,-200,-200
1526443041368,-200,-200,-200,-200,-200,-78,-90,-60,-200,-200,-200,-200,-200
1526443046024,-200,-200,-200,-200,-200,-200,-90,-66,-200,-200,-200,-200,-200
1526443046122,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200
1526443046221,-69,-78,-66,-200,-200,-200,-90,-66,-200,-200,-200,-200,-200
1526443046337,-71,-75,-60,-200,-200,-77,-200,-69,-200,-200,-88,-200,-200
1526443046425,-66,-200,-62,-88,-200,-200,-90,-62,-200,-200,-88,-200,-200
1526443046533,-66,-200,-61,-88,-88,-76,-89,-61,-200,-86,-200,-200,-200
1526443050979,-200,-85,-200,-85,-88,-84,-82,-79,-200,-200,-200,-200,-200
1526443051073,-69,-85,-200,-87,-89,-88,-81,-78,-200,-88,-200,-200,-200
1526443051200,-68,-85,-75,-88,-200,-200,-200,-200,-90,-88,-200,-200,-200
1526443051298,-68,-86,-200,-89,-200,-200,-80,-75,-88,-88,-200,-200,-200
1526443055993,-200,-200,-74,-85,-200,-78,-96,-60,-200,-200,-200,-200,-200
1526443056094,-200,-200,-75,-200,-200,-79,-97,-60,-93,-200,-200,-200,-200
1526443056226,-200,-200,-75,-85,-200,-78,-96,-65,-200,-200,-200,-200,-200
1526443056314,-75,-78,-75,-200,-200,-73,-100,-60,-90,-92,-200,-200,-200
1526443061114,-66,-78,-200,-200,-89,-200,-82,-66,-90,-86,-200,-92,-200
1526443061223,-65,-78,-60,-200,-200,-200,-81,-200,-200,-86,-200,-200,-200
1526443061314,-65,-200,-61,-200,-89,-75,-77,-70,-89,-86,-200,-200,-200
1526443061430,-65,-200,-200,-200,-200,-200,-77,-70,-200,-86,-200,-200,-200
1526443065986,-76,-200,-71,-85,-200,-87,-80,-76,-200,-200,-200,-200,-200
1526443066083,-200,-200,-70,-200,-200,-87,-81,-76,-200,-200,-200,-200,-200
1526443066181,-76,-200,-71,-200,-200,-86,-200,-76,-200,-200,-200,-200,-200
1526443066294,-75,-200,-70,-200,-200,-88,-80,-76,-200,-200,-200,-200,-200
1526443066404,-200,-200,-71,-85,-200,-200,-200,-77,-200,-90,-200,-200,-92
1526443070986,-200,-200,-75,-85,-200,-200,-96,-60,-200,-92,-200,-200,-93
1526443071100,-200,-200,-75,-84,-200,-200,-200,-59,-200,-200,-200,-200,-200
1526443071201,-200,-200,-75,-200,-200,-200,-97,-200,-200,-92,-200,-200,-200
1526443071301,-200,-200,-75,-85,-200,-200,-97,-59,-200,-92,-200,-200,-200
1526443071409,-200,-200,-75,-85,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526443075979,-200,-200,-61,-88,-91,-200,-83,-200,-200,-86,-200,-89,-200
1526443076099,-66,-78,-60,-88,-200,-76,-83,-66,-200,-87,-200,-200,-200
1526443076192,-200,-200,-61,-88,-200,-77,-82,-200,-200,-88,-200,-200,-200
1526443076308,-200,-200,-61,-200,-90,-200,-84,-200,-200,-88,-200,-200,-200
1526443080978,-77,-85,-70,-200,-87,-85,-80,-77,-200,-200,-200,-200,-200
1526443081076,-77,-85,-200,-84,-87,-85,-81,-77,-200,-200,-200,-200,-200
1526443081179,-77,-86,-69,-85,-86,-83,-80,-200,-200,-90,-200,-200,-200
1526443081282,-77,-86,-200,-84,-86,-84,-80,-78,-200,-91,-200,-200,-200
1526443081396,-200,-200,-71,-85,-200,-79,-81,-59,-200,-200,-200,-200,-200
1526443086106,-200,-200,-71,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443086219,-76,-200,-70,-85,-200,-80,-200,-59,-200,-200,-200,-200,-200
1526443086311,-77,-200,-72,-85,-200,-76,-96,-59,-90,-200,-200,-200,-200
1526443091002,-65,-78,-61,-200,-200,-200,-83,-69,-89,-86,-200,-200,-200
1526443091103,-65,-78,-61,-200,-90,-76,-78,-68,-90,-200,-200,-200,-200
1526443091224,-65,-200,-61,-200,-91,-75,-83,-69,-89,-86,-200,-200,-200
1526443091308,-200,-78,-200,-200,-200,-200,-84,-67,-200,-86,-200,-200,-200
1526443096053,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200
1526443096159,-200,-200,-200,-85,-200,-79,-200,-72,-200,-200,-200,-200,-200
1526443096363,-77,-200,-86,-85,-200,-73,-200,-64,-200,-200,-200,-200,-200
1526443096468,-77,-200,-77,-85,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526443096578,-200,-200,-78,-85,-200,-79,-200,-58,-200,-200,-200,-200,-200
