,vlucci.com AC-V1.4.0.0,null,null,null,null,0114.0012-vlucci.com A1.4.0.1,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:15,BC:6A:29:BE:31:61,7C:66:9D:7B:46:8C,7C:66:9D:7B:47:3D,BC:6A:29:BE:2F:12,7C:66:9D:7B:2B:CB,7C:66:9D:7B:2B:BA,78:A5:04:41:EB:98,78:A5:04:41:E7:A2,78:A5:04:41:EE:1D,78:A5:04:41:E5:70,78:A5:04:41:E7:93,78:A5:04:41:E7:EF,78:A5:04:41:E7:D5
1526442796423,-84,-80,-66,-66,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442801061,-82,-82,-66,-66,-200,-78,-68,-200,-200,-200,-200,-200,-200,-200
1526442801190,-83,-82,-200,-66,-71,-79,-68,-87,-200,-200,-200,-200,-200,-200
1526442801311,-83,-82,-66,-66,-70,-200,-68,-200,-90,-200,-200,-200,-200,-200
1526442801412,-86,-72,-72,-69,-71,-200,-68,-200,-200,-200,-200,-200,-200,-200
1526442806023,-86,-74,-73,-200,-73,-200,-76,-200,-91,-80,-200,-200,-200,-200
1526442806138,-87,-72,-72,-69,-73,-200,-75,-200,-200,-80,-200,-200,-200,-200
1526442806301,-87,-73,-72,-68,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442806401,-200,-72,-72,-200,-71,-200,-78,-200,-200,-200,-90,-200,-200,-200
1526442811017,-200,-200,-71,-65,-72,-82,-78,-88,-200,-200,-200,-200,-200,-200
1526442811160,-200,-83,-71,-200,-72,-84,-78,-88,-200,-200,-90,-200,-200,-200
1526442811288,-200,-83,-200,-200,-72,-86,-78,-87,-89,-86,-90,-200,-200,-200
1526442811390,-200,-83,-200,-200,-69,-200,-200,-87,-88,-75,-200,-200,-200,-200
1526442816011,-80,-79,-68,-63,-65,-200,-200,-200,-200,-75,-92,-200,-200,-200
1526442816109,-80,-80,-68,-200,-200,-75,-67,-88,-89,-200,-200,-200,-200,-200
1526442816225,-81,-81,-68,-68,-64,-76,-67,-200,-89,-76,-200,-200,-200,-200
1526442816327,-81,-80,-68,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442820973,-200,-73,-74,-200,-74,-75,-75,-200,-200,-80,-200,-91,-200,-200
1526442821081,-200,-200,-73,-69,-74,-75,-74,-200,-200,-79,-200,-92,-200,-200
1526442821195,-200,-73,-73,-200,-74,-75,-200,-200,-200,-79,-200,-200,-200,-200
1526442821300,-89,-72,-200,-69,-74,-75,-74,-200,-200,-79,-200,-92,-200,-200
1526442825978,-83,-88,-72,-69,-71,-78,-200,-86,-200,-86,-89,-200,-89,-91
1526442826068,-83,-92,-200,-69,-66,-78,-200,-88,-200,-87,-90,-200,-89,-200
1526442826182,-200,-89,-200,-70,-71,-200,-200,-89,-200,-88,-200,-200,-88,-200
1526442826314,-83,-200,-200,-200,-71,-200,-200,-88,-200,-87,-89,-200,-89,-200
1526442830986,-200,-200,-200,-64,-69,-74,-66,-200,-200,-80,-92,-200,-200,-200
1526442831086,-81,-200,-68,-64,-64,-200,-67,-89,-200,-80,-200,-200,-200,-90
1526442831182,-200,-77,-200,-68,-68,-74,-66,-200,-200,-79,-200,-200,-200,-200
1526442831327,-82,-200,-68,-64,-68,-74,-67,-200,-200,-200,-200,-200,-200,-90
1526442835977,-200,-84,-74,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442836068,-84,-84,-72,-70,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442836177,-200,-84,-72,-200,-74,-200,-70,-200,-200,-200,-89,-200,-200,-200
1526442836264,-82,-200,-72,-200,-72,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526442836381,-82,-84,-71,-70,-72,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526442836489,-82,-83,-71,-200,-72,-200,-66,-88,-200,-82,-200,-200,-200,-200
1526442841015,-82,-81,-67,-68,-68,-200,-200,-200,-200,-81,-200,-90,-200,-200
1526442841116,-82,-81,-67,-200,-68,-200,-66,-200,-200,-200,-92,-200,-200,-200
1526442841211,-200,-81,-200,-68,-64,-200,-66,-89,-90,-82,-92,-200,-200,-200
1526442841324,-81,-80,-68,-69,-68,-76,-200,-200,-200,-200,-200,-90,-200,-200
1526442846035,-85,-87,-200,-72,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442846129,-200,-86,-72,-75,-80,-200,-81,-200,-200,-200,-89,-200,-88,-90
1526442846279,-200,-88,-200,-73,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442846378,-200,-200,-72,-73,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442846544,-200,-200,-72,-73,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442846650,-200,-87,-72,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442846764,-80,-86,-63,-72,-72,-200,-200,-88,-88,-200,-92,-91,-200,-200
1526442851116,-81,-200,-68,-67,-67,-200,-66,-200,-200,-79,-200,-200,-200,-91
1526442851206,-80,-81,-64,-200,-68,-200,-66,-200,-89,-79,-90,-200,-200,-200
1526442851363,-80,-200,-64,-68,-68,-75,-66,-200,-200,-81,-200,-200,-200,-200
1526442855992,-90,-72,-74,-70,-200,-77,-75,-200,-200,-78,-200,-200,-200,-200
1526442856072,-200,-72,-74,-70,-74,-76,-75,-200,-200,-80,-200,-200,-200,-200
1526442856270,-200,-200,-74,-70,-200,-76,-200,-200,-200,-78,-200,-200,-200,-200
1526442856369,-82,-72,-200,-70,-74,-76,-75,-200,-200,-200,-200,-200,-200,-200
1526442860986,-200,-85,-72,-72,-71,-200,-200,-89,-200,-200,-89,-200,-200,-200
1526442861087,-82,-200,-72,-70,-200,-76,-200,-200,-200,-200,-90,-200,-92,-200
1526442861196,-82,-84,-200,-71,-72,-76,-200,-88,-200,-200,-89,-200,-200,-200
1526442861295,-200,-200,-200,-70,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442861404,-200,-200,-200,-70,-200,-200,-200,-88,-200,-200,-89,-200,-200,-200
