,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:47:3D,78:A5:04:41:EB:98,78:A5:04:41:EB:CE,BC:6A:29:BE:31:61,78:A5:04:41:EE:1D,7C:66:9D:7B:2B:CB,7C:66:9D:7B:46:8C,78:A5:04:41:E7:88,78:A5:04:41:E7:D5,78:A5:04:41:EE:15,7C:66:9D:7B:2B:BA,BC:6A:29:BE:2F:12,78:A5:04:41:E5:70,78:A5:04:41:E7:A2,78:A5:04:41:E7:93,78:A5:04:41:E7:EF
1526441941155,-72,-89,-86,-83,-78,-82,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441941255,-200,-200,-86,-90,-200,-200,-69,-89,-86,-84,-83,-200,-200,-200,-200,-200
1526441941370,-200,-200,-200,-89,-77,-87,-68,-200,-88,-84,-200,-78,-89,-200,-200,-200
1526441945996,-67,-200,-200,-77,-83,-200,-67,-200,-200,-80,-84,-74,-92,-200,-200,-200
1526441946077,-67,-200,-200,-200,-200,-200,-200,-200,-200,-80,-84,-200,-200,-200,-200,-200
1526441946190,-68,-200,-200,-77,-83,-67,-67,-200,-86,-80,-85,-74,-200,-200,-200,-200
1526441946302,-67,-200,-200,-77,-83,-200,-67,-200,-86,-200,-83,-74,-200,-200,-200,-200
1526441946412,-67,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200
1526441951027,-85,-200,-200,-200,-82,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
1526441951108,-84,-200,-200,-73,-82,-63,-70,-200,-83,-86,-200,-72,-85,-91,-200,-200
1526441951198,-84,-200,-200,-73,-200,-200,-200,-200,-82,-200,-200,-78,-84,-90,-200,-200
1526441951309,-86,-200,-200,-74,-200,-63,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526441951427,-200,-200,-200,-73,-76,-200,-68,-200,-87,-200,-200,-84,-87,-200,-90,-200
1526441956073,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526441956225,-68,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526441956326,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526441956430,-70,-200,-200,-85,-200,-200,-69,-200,-200,-200,-200,-84,-200,-200,-200,-200
1526441956540,-68,-200,-200,-86,-200,-64,-66,-200,-200,-82,-200,-85,-90,-200,-200,-200
1526441961066,-200,-200,-200,-81,-200,-200,-66,-200,-200,-200,-200,-75,-90,-200,-200,-200
1526441961150,-200,-200,-200,-81,-89,-74,-66,-200,-88,-83,-85,-74,-200,-200,-200,-200
1526441961288,-200,-200,-200,-82,-200,-200,-67,-200,-88,-200,-86,-75,-200,-200,-200,-200
1526441961383,-70,-200,-200,-81,-200,-63,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526441966004,-84,-200,-90,-74,-82,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526441966092,-86,-200,-200,-75,-200,-200,-200,-200,-200,-96,-200,-85,-200,-200,-200,-200
1526441966207,-84,-200,-200,-82,-200,-200,-71,-200,-200,-200,-90,-85,-200,-200,-200,-200
1526441966317,-84,-200,-200,-75,-200,-70,-70,-200,-200,-200,-92,-79,-200,-200,-200,-200
1526441966478,-200,-91,-200,-200,-81,-200,-64,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526441971020,-68,-200,-86,-86,-200,-67,-64,-200,-200,-200,-200,-83,-86,-200,-200,-200
1526441971124,-68,-200,-88,-86,-77,-67,-64,-200,-200,-200,-84,-82,-200,-200,-200,-200
