,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:2F:12,78:A5:04:41:EE:1D,78:A5:04:41:E5:70,7C:66:9D:7B:2B:CB,7C:66:9D:7B:2B:BA,78:A5:04:41:E7:EF,7C:66:9D:7B:46:8C,78:A5:04:41:EE:15,BC:6A:29:BE:31:61,78:A5:04:41:EB:CE,7C:66:9D:7B:47:3D,78:A5:04:41:E7:88,78:A5:04:41:E7:D5
1526442641088,-80,-83,-90,-67,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526442641203,-81,-83,-200,-200,-82,-86,-67,-89,-200,-200,-200,-200,-200
1526442641297,-81,-200,-200,-200,-200,-200,-67,-200,-88,-200,-200,-200,-200
1526442641393,-80,-83,-200,-66,-83,-200,-200,-200,-200,-89,-200,-200,-200
1526442646018,-82,-200,-90,-200,-200,-200,-58,-200,-200,-89,-200,-200,-200
1526442646099,-82,-200,-200,-200,-83,-87,-58,-200,-86,-90,-200,-200,-200
1526442646203,-82,-200,-200,-77,-200,-200,-200,-200,-200,-200,-77,-200,-200
1526442646319,-81,-90,-90,-78,-200,-88,-58,-200,-200,-90,-77,-200,-200
1526442646406,-81,-200,-90,-200,-200,-200,-200,-85,-86,-200,-200,-200,-200
1526442650975,-95,-200,-200,-65,-200,-86,-80,-88,-86,-200,-200,-89,-200
1526442651080,-200,-200,-90,-65,-200,-200,-82,-88,-86,-200,-80,-89,-200
1526442651210,-200,-88,-200,-65,-78,-86,-81,-88,-85,-200,-80,-200,-94
1526442651292,-92,-200,-200,-200,-200,-86,-81,-200,-84,-200,-80,-200,-200
1526442651441,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442655977,-84,-200,-200,-70,-81,-200,-200,-200,-88,-200,-83,-200,-200
1526442656085,-84,-200,-200,-71,-80,-200,-61,-200,-88,-200,-83,-200,-200
1526442656187,-83,-200,-200,-81,-81,-88,-62,-200,-87,-200,-83,-200,-200
1526442656320,-84,-200,-200,-69,-81,-89,-200,-85,-86,-200,-200,-200,-200
1526442660994,-81,-200,-200,-78,-82,-87,-57,-84,-88,-90,-90,-200,-200
1526442661135,-82,-200,-87,-78,-82,-200,-57,-85,-88,-200,-200,-200,-200
1526442661247,-81,-89,-87,-78,-81,-200,-57,-84,-87,-200,-200,-200,-200
1526442661360,-200,-200,-200,-200,-200,-87,-200,-85,-88,-200,-200,-200,-200
1526442665996,-95,-87,-200,-200,-80,-200,-72,-200,-88,-200,-78,-200,-200
1526442666100,-200,-200,-200,-67,-80,-87,-74,-200,-86,-200,-77,-200,-200
1526442666204,-95,-87,-89,-200,-80,-200,-75,-200,-87,-200,-78,-200,-200
1526442666301,-93,-87,-89,-66,-80,-86,-76,-90,-200,-200,-200,-200,-200
1526442670976,-85,-200,-200,-67,-200,-200,-62,-200,-89,-200,-79,-200,-200
1526442671069,-200,-200,-93,-67,-200,-200,-62,-200,-90,-200,-200,-200,-200
1526442671179,-85,-92,-200,-67,-80,-88,-62,-200,-91,-200,-81,-200,-200
1526442671273,-84,-200,-200,-68,-80,-200,-62,-200,-200,-200,-200,-200,-200
1526442671406,-86,-200,-200,-68,-200,-87,-200,-200,-200,-90,-200,-200,-200
1526442676019,-80,-200,-200,-200,-85,-200,-59,-200,-93,-89,-84,-200,-200
1526442676129,-79,-200,-200,-75,-85,-87,-58,-87,-92,-200,-84,-200,-200
1526442676231,-80,-200,-88,-200,-86,-87,-58,-200,-90,-89,-200,-200,-200
1526442676341,-80,-90,-88,-200,-200,-88,-200,-86,-91,-89,-85,-200,-200
1526442681001,-200,-200,-88,-200,-80,-87,-71,-90,-86,-200,-80,-200,-200
1526442681110,-94,-86,-200,-200,-80,-86,-71,-200,-87,-200,-200,-200,-200
1526442681227,-200,-200,-88,-66,-80,-86,-70,-200,-86,-200,-200,-200,-200
1526442681324,-200,-86,-200,-67,-200,-87,-72,-200,-87,-200,-79,-200,-200
1526442686009,-88,-200,-200,-67,-79,-88,-200,-200,-93,-200,-83,-200,-200
1526442686119,-86,-200,-91,-200,-79,-86,-200,-200,-91,-200,-83,-200,-200
1526442686228,-87,-200,-92,-200,-200,-200,-200,-200,-93,-200,-83,-200,-200
1526442686332,-200,-200,-91,-67,-200,-200,-200,-200,-91,-200,-82,-200,-200
1526442686430,-200,-200,-200,-200,-200,-200,-63,-200,-91,-200,-96,-200,-200
1526442691038,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-89,-200,-200
1526442691139,-81,-200,-200,-200,-200,-90,-63,-200,-97,-200,-200,-200,-200
1526442691248,-80,-200,-92,-200,-200,-88,-63,-89,-91,-200,-85,-200,-200
1526442691442,-79,-200,-89,-76,-89,-200,-57,-87,-89,-89,-83,-200,-200
1526442691550,-80,-200,-89,-200,-200,-88,-58,-88,-90,-200,-200,-200,-200
1526442695976,-95,-200,-89,-200,-200,-200,-60,-200,-82,-200,-63,-200,-200
1526442696099,-94,-200,-89,-66,-200,-200,-200,-200,-200,-200,-69,-200,-200
1526442696276,-94,-200,-89,-65,-200,-200,-58,-90,-94,-200,-69,-200,-200
1526442696411,-90,-200,-200,-200,-200,-200,-58,-200,-80,-200,-70,-200,-200
1526442701058,-88,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200
1526442701173,-88,-200,-200,-68,-200,-200,-64,-200,-81,-200,-72,-200,-200
1526442701266,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442701375,-92,-200,-89,-67,-200,-200,-64,-200,-82,-200,-72,-200,-200
1526442701474,-87,-200,-200,-200,-200,-200,-63,-200,-82,-200,-72,-200,-200
1526442701580,-86,-200,-200,-200,-200,-200,-64,-200,-82,-200,-200,-200,-200
1526442701839,-200,-200,-200,-200,-200,-200,-64,-200,-82,-200,-72,-200,-200
