,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,74:da:da:c1:4b:01,74:da:da:c1:4b:05,74:da:da:98:74:94,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:48,bc:d1:77:5f:6a:b4,0c:73:eb:d0:11:f0,74:da:da:c1:4a:ed,74:da:da:98:8d:78,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:18,74:da:da:c1:4b:59,74:da:da:c1:3c:99,74:da:da:c1:3c:f5,74:da:da:98:7a:60,0c:73:eb:d0:13:c0,0c:73:eb:d0:11:e8,74:da:da:c0:e0:81,74:da:da:98:7a:68,74:da:da:98:7a:50,74:da:da:c1:3a:81,0c:73:eb:d0:7c:00,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:10,74:da:da:c0:e2:d9,74:da:da:c0:f3:01,0c:73:eb:d0:13:a8,74:da:da:c0:e0:71,0c:73:eb:d0:11:f8,0c:73:eb:d0:7e:f0,0c:73:eb:d0:11:b0,74:da:da:c1:3b:4d,74:da:da:c1:3c:d1,74:da:da:c0:d8:59,0c:73:eb:d0:13:d0,0c:73:eb:d0:7c:08,74:da:da:c0:e0:69
1526455447884,-34,-50,-55,-56,-58,-60,-62,-63,-66,-67,-67,-67,-69,-70,-72,-74,-77,-78,-78,-80,-84,-84,-87,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455450917,-31,-38,-44,-56,-52,-59,-65,-62,-66,-67,-55,-62,-71,-78,-72,-58,-67,-73,-69,-80,-71,-84,-73,-89,-80,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455453945,-30,-35,-50,-61,-47,-59,-60,-63,-58,-63,-56,-62,-70,-78,-61,-58,-69,-65,-69,-79,-70,-75,-73,-69,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455456974,-30,-35,-50,-61,-47,-59,-60,-63,-58,-63,-56,-62,-70,-78,-61,-58,-69,-65,-69,-79,-70,-75,-73,-69,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455460026,-34,-33,-54,-58,-46,-59,-60,-62,-58,-57,-57,-65,-70,-86,-61,-59,-65,-65,-72,-80,-72,-75,-75,-71,-74,-75,-82,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455463063,-35,-33,-54,-58,-46,-59,-58,-62,-58,-61,-57,-65,-69,-82,-61,-59,-70,-65,-73,-80,-75,-75,-75,-72,-74,-75,-82,-84,-88,-76,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526455466103,-35,-33,-54,-58,-46,-59,-58,-62,-58,-61,-57,-65,-69,-82,-61,-59,-70,-65,-73,-80,-75,-75,-75,-72,-74,-75,-82,-84,-88,-76,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526455469142,-35,-33,-54,-58,-46,-59,-58,-62,-58,-61,-57,-65,-69,-82,-61,-59,-70,-65,-73,-80,-75,-75,-75,-72,-74,-75,-82,-84,-88,-76,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526455472175,-28,-34,-54,-67,-50,-200,-60,-65,-53,-63,-66,-61,-65,-72,-68,-52,-69,-66,-70,-76,-78,-200,-76,-74,-79,-75,-200,-89,-200,-82,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526455475184,-28,-34,-54,-67,-50,-200,-60,-65,-53,-63,-66,-61,-65,-72,-68,-52,-69,-66,-70,-76,-78,-200,-76,-74,-79,-75,-200,-89,-200,-82,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526455478219,-28,-34,-54,-67,-50,-200,-60,-65,-53,-63,-66,-61,-65,-72,-68,-52,-69,-66,-70,-76,-78,-200,-76,-74,-79,-75,-200,-89,-200,-82,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526455481239,-28,-34,-54,-67,-50,-200,-60,-65,-53,-63,-66,-61,-65,-72,-68,-52,-69,-66,-70,-76,-78,-200,-76,-74,-79,-75,-200,-89,-200,-82,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526455484276,-30,-39,-55,-60,-49,-200,-62,-66,-53,-78,-70,-61,-67,-69,-64,-56,-70,-200,-70,-73,-200,-89,-200,-72,-81,-200,-200,-89,-200,-200,-200,-82,-88,-89,-200,-200,-200,-200,-200
1526455487309,-32,-35,-52,-62,-50,-200,-62,-67,-52,-65,-67,-61,-67,-70,-60,-56,-68,-200,-69,-73,-78,-89,-200,-72,-81,-200,-200,-89,-200,-80,-200,-82,-88,-89,-88,-91,-200,-200,-200
1526455490320,-32,-35,-52,-62,-50,-200,-62,-67,-52,-65,-67,-61,-67,-70,-60,-56,-68,-200,-69,-73,-78,-89,-200,-72,-81,-200,-200,-89,-200,-80,-200,-82,-88,-89,-88,-91,-200,-200,-200
1526455493350,-32,-35,-52,-62,-50,-200,-62,-67,-52,-65,-67,-61,-67,-70,-60,-56,-68,-200,-69,-73,-78,-89,-200,-72,-81,-200,-200,-89,-200,-80,-200,-82,-88,-89,-88,-91,-200,-200,-200
1526455496385,-33,-36,-51,-61,-52,-200,-59,-68,-54,-64,-67,-61,-69,-70,-59,-55,-68,-66,-68,-75,-76,-200,-200,-76,-81,-75,-200,-89,-200,-80,-200,-200,-200,-200,-86,-91,-200,-200,-200
1526455499431,-36,-36,-51,-61,-52,-62,-59,-68,-53,-64,-67,-61,-67,-70,-60,-56,-68,-66,-67,-75,-78,-200,-200,-72,-81,-76,-200,-89,-200,-80,-200,-200,-200,-200,-85,-91,-84,-91,-91
1526455502466,-36,-36,-51,-61,-52,-62,-59,-68,-53,-64,-67,-61,-67,-70,-60,-56,-68,-66,-67,-75,-78,-200,-200,-72,-81,-76,-200,-89,-200,-80,-200,-200,-200,-200,-85,-91,-84,-91,-91
1526455505479,-36,-36,-51,-61,-52,-62,-59,-68,-53,-64,-67,-61,-67,-70,-60,-56,-68,-66,-67,-75,-78,-200,-200,-72,-81,-76,-200,-89,-200,-80,-200,-200,-200,-200,-85,-91,-84,-91,-91
1526455508517,-34,-36,-51,-62,-52,-62,-53,-68,-53,-63,-200,-62,-68,-69,-57,-55,-69,-66,-69,-78,-78,-200,-200,-72,-82,-76,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-84,-91,-91
