,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,NETWORK,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,74:da:da:c1:4b:01,74:da:da:c1:3c:99,0c:73:eb:d0:7c:48,0c:73:eb:d0:11:f0,74:da:da:98:74:94,74:da:da:c1:3c:f5,74:da:da:c1:4b:05,74:da:da:c1:3c:dd,74:da:da:c1:4a:ed,0c:73:eb:d0:11:e8,0c:73:eb:d0:13:c0,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:00,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:18,74:da:da:98:7a:60,74:da:da:c0:e0:71,74:da:da:c1:4a:f5,0c:73:eb:d0:11:f8,74:da:da:c1:4b:59,74:da:da:c0:f3:01,74:da:da:c0:e2:d9,74:da:da:c1:3c:d1,74:da:da:c1:02:8d,74:da:da:c0:e0:81,74:da:da:c1:3c:e1,74:da:da:98:7a:68,74:da:da:c1:3a:81,0c:73:eb:d0:13:d0,0c:73:eb:d0:19:a8,74:da:da:c1:3b:49,74:da:da:98:7a:4c,74:da:da:98:8d:78,74:da:da:c1:3b:4d,0c:73:eb:d0:11:b0,74:da:da:98:7a:50,74:da:da:c0:e0:69,0c:73:eb:d0:11:d0
1526455923324,-42,-43,-55,-55,-58,-58,-58,-60,-61,-61,-62,-64,-67,-67,-68,-69,-72,-74,-76,-76,-77,-77,-78,-79,-82,-86,-87,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455926349,-41,-27,-50,-57,-57,-58,-59,-60,-58,-59,-62,-76,-66,-70,-67,-67,-72,-70,-85,-79,-64,-75,-76,-79,-82,-86,-85,-69,-91,-79,-79,-81,-89,-89,-200,-200,-200,-200,-200,-200,-200
1526455929362,-41,-27,-50,-57,-57,-58,-59,-60,-58,-59,-62,-76,-66,-70,-67,-67,-72,-70,-85,-79,-64,-75,-76,-79,-82,-86,-85,-69,-91,-79,-79,-81,-89,-89,-200,-200,-200,-200,-200,-200,-200
1526455932375,-41,-27,-50,-57,-57,-58,-59,-60,-58,-59,-62,-76,-66,-70,-67,-67,-72,-70,-85,-79,-64,-75,-76,-79,-82,-86,-85,-69,-91,-79,-79,-81,-89,-89,-200,-200,-200,-200,-200,-200,-200
1526455935410,-36,-28,-48,-60,-66,-58,-51,-61,-64,-59,-62,-76,-66,-77,-74,-67,-78,-70,-75,-79,-61,-75,-79,-200,-200,-200,-85,-69,-200,-78,-79,-81,-89,-89,-85,-200,-200,-200,-200,-200,-200
1526455938459,-36,-28,-48,-57,-66,-59,-51,-61,-64,-60,-62,-74,-66,-80,-74,-69,-79,-71,-75,-79,-62,-75,-79,-200,-88,-87,-85,-77,-200,-80,-79,-81,-89,-89,-85,-59,-87,-89,-200,-200,-200
1526455941494,-36,-28,-48,-57,-66,-59,-51,-61,-64,-60,-62,-74,-66,-80,-74,-69,-79,-71,-75,-79,-62,-75,-79,-200,-88,-87,-85,-77,-200,-80,-79,-81,-89,-89,-85,-59,-87,-89,-200,-200,-200
1526455944536,-36,-28,-48,-57,-66,-59,-51,-61,-64,-60,-62,-74,-66,-80,-74,-69,-79,-71,-75,-79,-62,-75,-79,-200,-88,-87,-85,-77,-200,-80,-79,-81,-89,-89,-85,-59,-87,-89,-200,-200,-200
1526455947572,-36,-29,-48,-50,-67,-61,-50,-61,-64,-60,-62,-74,-69,-80,-74,-67,-79,-75,-73,-80,-58,-200,-77,-200,-88,-87,-200,-78,-200,-78,-71,-200,-200,-200,-86,-58,-87,-89,-200,-200,-200
