,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,74:da:da:c1:4b:05,74:da:da:c1:4b:01,74:da:da:98:74:94,74:da:da:c1:3c:dd,74:da:da:c1:4a:ed,74:da:da:c1:3c:99,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:18,74:da:da:98:8d:78,0c:73:eb:d0:7c:00,0c:73:eb:d0:13:c0,74:da:da:c1:3a:81,74:da:da:98:7a:68,0c:73:eb:d0:7c:10,74:da:da:c1:3c:f5,74:da:da:c1:4b:59,74:da:da:c0:e0:71,bc:d1:77:5f:6a:b4,0c:73:eb:d0:11:f8,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:e8,74:da:da:c0:e0:81,0c:73:eb:d0:7e:f0,74:da:da:98:7a:60,74:da:da:c0:d7:19,74:da:da:c1:02:8d,74:da:da:c0:f3:01,74:da:da:c0:e2:d9,74:da:da:c1:3c:e1,74:da:da:c1:3b:4d,74:da:da:c1:3c:d1,74:da:da:98:7a:50,0c:73:eb:d0:7c:40,74:da:da:98:7a:6c,0c:73:eb:d0:13:d0,0c:73:eb:d0:11:b0,0c:73:eb:d0:7a:68,74:da:da:98:7a:4c,74:da:da:c0:d7:b9
1526455837491,-30,-43,-53,-53,-53,-54,-55,-56,-57,-61,-62,-65,-66,-67,-67,-69,-71,-71,-72,-72,-72,-73,-74,-74,-75,-75,-75,-76,-84,-85,-85,-86,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526455840525,-30,-43,-53,-53,-53,-54,-55,-56,-57,-61,-62,-65,-66,-67,-67,-69,-71,-71,-72,-72,-72,-73,-74,-74,-75,-75,-75,-76,-84,-85,-85,-86,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526455843550,-33,-41,-54,-46,-53,-56,-63,-71,-59,-59,-67,-66,-66,-65,-72,-74,-78,-69,-72,-76,-75,-69,-200,-85,-64,-79,-200,-74,-87,-200,-85,-84,-85,-89,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526455846585,-33,-41,-54,-46,-53,-56,-63,-71,-59,-59,-67,-66,-66,-65,-72,-74,-78,-69,-72,-76,-75,-69,-200,-85,-64,-79,-200,-74,-87,-200,-85,-84,-85,-89,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526455849628,-33,-41,-54,-46,-53,-56,-63,-71,-59,-59,-67,-66,-66,-65,-72,-74,-78,-69,-72,-76,-75,-69,-200,-85,-64,-79,-200,-74,-87,-200,-85,-84,-85,-89,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526455852666,-25,-35,-51,-49,-51,-56,-200,-69,-58,-59,-63,-74,-67,-73,-71,-71,-78,-69,-62,-74,-79,-74,-200,-85,-73,-79,-200,-73,-200,-200,-83,-200,-85,-200,-85,-76,-92,-92,-200,-200,-200,-200,-200
1526455855707,-32,-40,-55,-48,-56,-58,-200,-66,-58,-69,-59,-70,-74,-73,-63,-68,-78,-70,-59,-77,-76,-73,-200,-77,-69,-78,-200,-73,-200,-200,-80,-200,-85,-200,-85,-76,-92,-92,-81,-200,-200,-200,-200
1526455858751,-32,-40,-55,-48,-56,-58,-200,-66,-58,-69,-59,-70,-74,-73,-63,-68,-78,-70,-59,-77,-76,-73,-200,-77,-69,-78,-200,-73,-200,-200,-80,-200,-85,-200,-85,-76,-92,-92,-81,-200,-200,-200,-200
1526455861797,-32,-40,-55,-48,-56,-58,-200,-66,-58,-69,-59,-70,-74,-73,-63,-68,-78,-70,-59,-77,-76,-73,-200,-77,-69,-78,-200,-73,-200,-200,-80,-200,-85,-200,-85,-76,-92,-92,-81,-200,-200,-200,-200
