,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398
,0c:73:eb:d0:11:c0,74:da:da:98:85:1c,74:da:da:98:74:80,74:da:da:c1:3d:2d,74:da:da:98:85:4c,0c:73:eb:d0:13:b8,0c:73:eb:d0:13:90,0c:73:eb:d0:13:98,74:da:da:98:85:60,0c:73:eb:d0:76:18,0c:73:eb:d0:11:c8,74:da:da:98:74:74,74:da:da:c1:3c:85,74:da:da:c1:3c:45,0c:73:eb:d0:7f:08,0c:73:eb:d0:11:d8,74:da:da:98:74:34,74:da:da:c0:d8:3d,74:da:da:c1:03:2d,74:da:da:c1:3c:11,74:da:da:c1:56:a1,74:da:da:c0:d7:b9,74:da:da:98:85:00,0c:73:eb:d0:13:b0,50:3a:a0:ea:01:66,0c:73:eb:d0:7c:38,74:da:da:c0:f3:01,74:da:da:98:91:d4,74:da:da:c1:02:8d,74:da:da:98:66:cc,0c:73:eb:d0:13:a8,0c:73:eb:d0:7e:f8,74:da:da:c1:3b:29,74:da:da:c1:03:1d,74:da:da:98:90:94,74:da:da:c0:d9:39,0c:73:eb:d0:13:c8,0c:73:eb:d0:7f:10,0c:73:eb:d0:7c:40,74:da:da:98:90:2c,0c:73:eb:d0:7e:d0,0c:73:eb:d0:11:e0,0c:73:eb:d0:13:d8,74:da:da:c1:02:91,d8:15:0d:6c:13:98
1526462870765,-41,-43,-46,-48,-49,-52,-56,-60,-64,-68,-70,-70,-72,-73,-74,-76,-76,-77,-78,-78,-79,-80,-81,-83,-83,-83,-84,-84,-84,-84,-85,-85,-85,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462873797,-39,-47,-48,-46,-56,-51,-50,-56,-64,-68,-74,-58,-77,-73,-70,-80,-75,-81,-78,-74,-77,-79,-81,-83,-200,-85,-84,-200,-200,-77,-200,-87,-85,-83,-89,-90,-76,-80,-200,-200,-200,-200,-200,-200,-200
1526462876819,-39,-47,-48,-46,-56,-51,-50,-56,-64,-68,-74,-58,-77,-73,-70,-80,-75,-81,-78,-74,-77,-79,-81,-83,-200,-85,-84,-200,-200,-77,-200,-87,-85,-83,-89,-90,-76,-80,-200,-200,-200,-200,-200,-200,-200
1526462879856,-39,-47,-48,-46,-56,-51,-50,-56,-64,-68,-74,-58,-77,-73,-70,-80,-75,-81,-78,-74,-77,-79,-81,-83,-200,-85,-84,-200,-200,-77,-200,-87,-85,-83,-89,-90,-76,-80,-200,-200,-200,-200,-200,-200,-200
1526462882885,-47,-60,-50,-43,-63,-59,-51,-53,-62,-66,-72,-55,-83,-80,-72,-81,-75,-80,-78,-80,-80,-79,-200,-82,-84,-85,-200,-200,-200,-75,-200,-87,-200,-79,-200,-200,-79,-76,-84,-85,-85,-200,-200,-200,-200
1526462885928,-42,-59,-50,-43,-63,-58,-51,-52,-62,-65,-71,-55,-85,-81,-68,-81,-75,-80,-78,-83,-80,-79,-83,-82,-84,-85,-200,-200,-200,-79,-200,-84,-84,-79,-200,-200,-80,-76,-84,-85,-82,-81,-200,-200,-200
1526462888969,-42,-59,-50,-43,-63,-58,-51,-52,-62,-65,-71,-55,-85,-81,-68,-81,-75,-80,-78,-83,-80,-79,-83,-82,-84,-85,-200,-200,-200,-79,-200,-84,-84,-79,-200,-200,-80,-76,-84,-85,-82,-81,-200,-200,-200
1526462892009,-42,-59,-50,-43,-63,-58,-51,-52,-62,-65,-71,-55,-85,-81,-68,-81,-75,-80,-78,-83,-80,-79,-83,-82,-84,-85,-200,-200,-200,-79,-200,-84,-84,-79,-200,-200,-80,-76,-84,-85,-82,-81,-200,-200,-200
1526462895047,-41,-52,-50,-43,-65,-56,-52,-54,-63,-66,-70,-55,-85,-81,-68,-83,-200,-80,-200,-79,-80,-200,-81,-80,-83,-200,-200,-200,-200,-78,-200,-84,-84,-79,-200,-200,-81,-200,-82,-84,-82,-81,-88,-88,-200
