,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166
,74:da:da:98:74:80,74:da:da:c1:3d:2d,0c:73:eb:d0:11:c0,0c:73:eb:d0:13:98,74:da:da:98:74:74,0c:73:eb:d0:11:c8,74:da:da:c1:3c:11,0c:73:eb:d0:13:90,74:da:da:98:85:1c,74:da:da:98:74:34,74:da:da:c1:03:2d,0c:73:eb:d0:7e:d0,0c:73:eb:d0:76:18,74:da:da:98:85:4c,0c:73:eb:d0:13:b8,0c:73:eb:d0:13:c8,74:da:da:98:90:2c,0c:73:eb:d0:13:b0,74:da:da:c1:3c:45,74:da:da:c1:3c:85,74:da:da:c1:02:91,0c:73:eb:d0:7e:f8,74:da:da:c1:56:a1,74:da:da:c0:d7:b9,74:da:da:c1:02:8d,0c:73:eb:d0:7f:00,74:da:da:c1:3a:8d,74:da:da:c0:d6:f5,0c:73:eb:d0:11:d8,74:da:da:c1:3b:29,74:da:da:c1:03:1d,74:da:da:98:85:60,0c:73:eb:d0:7f:08,0c:73:eb:d0:7f:10,0c:73:eb:d0:2a:50,0c:73:eb:d0:19:c0,74:da:da:c0:d8:3d,74:da:da:c1:03:21,74:da:da:98:66:cc,74:da:da:98:90:94,0c:73:eb:d0:13:d8,74:da:da:c0:f3:01,0c:73:eb:d0:11:e0,50:3a:a0:ea:01:66
1526462642992,-34,-47,-51,-52,-54,-55,-55,-59,-62,-64,-66,-68,-69,-70,-70,-70,-75,-75,-77,-78,-80,-80,-81,-81,-82,-83,-85,-85,-86,-86,-87,-87,-87,-88,-90,-90,-90,-200,-200,-200,-200,-200,-200,-200
1526462646027,-32,-48,-55,-52,-53,-55,-55,-60,-59,-63,-65,-70,-64,-70,-70,-69,-84,-75,-77,-78,-80,-80,-79,-81,-82,-83,-200,-200,-200,-200,-87,-87,-87,-88,-200,-90,-86,-91,-200,-200,-200,-200,-200,-200
1526462649059,-32,-48,-55,-52,-53,-55,-55,-60,-59,-63,-65,-70,-64,-70,-70,-69,-84,-75,-77,-78,-80,-80,-79,-81,-82,-83,-200,-200,-200,-200,-87,-87,-87,-88,-200,-90,-86,-91,-200,-200,-200,-200,-200,-200
1526462652084,-32,-48,-55,-52,-53,-55,-55,-60,-59,-63,-65,-70,-64,-70,-70,-69,-84,-75,-77,-78,-80,-80,-79,-81,-82,-83,-200,-200,-200,-200,-87,-87,-87,-88,-200,-90,-86,-91,-200,-200,-200,-200,-200,-200
1526462655126,-35,-48,-56,-59,-61,-51,-53,-54,-50,-68,-62,-71,-70,-65,-60,-75,-84,-83,-200,-73,-89,-79,-76,-200,-82,-82,-200,-81,-74,-79,-84,-82,-85,-80,-200,-91,-86,-89,-80,-80,-200,-200,-200,-200
1526462658171,-33,-48,-56,-56,-53,-52,-53,-64,-50,-65,-62,-71,-66,-69,-70,-76,-83,-79,-79,-73,-89,-82,-76,-200,-82,-83,-90,-81,-86,-79,-89,-82,-85,-80,-200,-91,-86,-89,-80,-80,-89,-91,-200,-200
1526462661212,-33,-48,-56,-56,-53,-52,-53,-64,-50,-65,-62,-71,-66,-69,-70,-76,-83,-79,-79,-73,-89,-82,-76,-200,-82,-83,-90,-81,-86,-79,-89,-82,-85,-80,-200,-91,-86,-89,-80,-80,-89,-91,-200,-200
1526462664245,-33,-48,-56,-56,-53,-52,-53,-64,-50,-65,-62,-71,-66,-69,-70,-76,-83,-79,-79,-73,-89,-82,-76,-200,-82,-83,-90,-81,-86,-79,-89,-82,-85,-80,-200,-91,-86,-89,-80,-80,-89,-91,-200,-200
1526462667269,-33,-47,-46,-52,-58,-55,-53,-58,-58,-62,-64,-73,-61,-70,-75,-76,-83,-79,-77,-77,-200,-82,-82,-85,-76,-81,-89,-200,-86,-87,-89,-200,-200,-200,-200,-91,-200,-200,-200,-81,-89,-91,-200,-200
