,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,DLINK_D07F10,WHU-2018,DLINK_D013A8
,74:da:da:98:74:80,74:da:da:c1:3d:2d,0c:73:eb:d0:11:c0,74:da:da:98:74:74,0c:73:eb:d0:13:90,74:da:da:98:85:1c,0c:73:eb:d0:13:98,74:da:da:c1:3c:11,0c:73:eb:d0:11:c8,74:da:da:c1:03:2d,74:da:da:98:74:34,0c:73:eb:d0:76:18,0c:73:eb:d0:13:b8,74:da:da:98:85:4c,0c:73:eb:d0:7e:d0,74:da:da:c1:02:8d,74:da:da:c1:56:a1,0c:73:eb:d0:13:c8,0c:73:eb:d0:13:b0,74:da:da:c1:3c:45,74:da:da:98:90:94,0c:73:eb:d0:7f:00,74:da:da:98:85:60,74:da:da:c0:d6:f5,74:da:da:c1:3c:85,0c:73:eb:d0:7e:f8,74:da:da:c0:d8:3d,74:da:da:c1:02:91,0c:73:eb:d0:13:d8,74:da:da:98:90:2c,0c:73:eb:d0:11:d8,74:da:da:c0:d7:b9,74:da:da:98:ea:54,74:da:da:c1:3b:29,74:da:da:c1:03:1d,0c:73:eb:d0:7f:08,74:da:da:98:66:cc,50:3a:a0:ea:01:66,0c:73:eb:d0:19:90,0c:73:eb:d0:7f:10,0c:73:eb:d0:11:e0,0c:73:eb:d0:13:a8
1526462717081,-32,-48,-49,-51,-55,-55,-56,-60,-62,-62,-63,-65,-65,-68,-73,-76,-77,-78,-79,-79,-79,-80,-81,-83,-84,-84,-85,-86,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462720111,-34,-47,-50,-54,-61,-48,-62,-60,-63,-62,-79,-66,-68,-200,-73,-76,-77,-82,-77,-80,-200,-200,-86,-83,-84,-200,-85,-86,-200,-90,-74,-82,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462723146,-34,-47,-50,-54,-61,-48,-62,-60,-63,-62,-79,-66,-68,-200,-73,-76,-77,-82,-77,-80,-200,-200,-86,-83,-84,-200,-85,-86,-200,-90,-74,-82,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462726175,-34,-47,-50,-54,-61,-48,-62,-60,-63,-62,-79,-66,-68,-200,-73,-76,-77,-82,-77,-80,-200,-200,-86,-83,-84,-200,-85,-86,-200,-90,-74,-82,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462729209,-33,-48,-49,-51,-57,-47,-60,-60,-62,-66,-73,-64,-67,-65,-74,-200,-87,-79,-77,-80,-200,-200,-85,-86,-84,-200,-200,-86,-200,-200,-74,-78,-94,-81,-82,-84,-84,-85,-200,-200,-200,-200
1526462732251,-33,-48,-49,-51,-64,-47,-60,-59,-62,-68,-74,-67,-68,-65,-73,-200,-87,-85,-77,-80,-200,-200,-85,-86,-84,-200,-200,-86,-200,-200,-73,-78,-94,-81,-83,-89,-84,-85,-200,-200,-200,-200
1526462735279,-33,-48,-49,-51,-64,-47,-60,-59,-62,-68,-74,-67,-68,-65,-73,-200,-87,-85,-77,-80,-200,-200,-85,-86,-84,-200,-200,-86,-200,-200,-73,-78,-94,-81,-83,-89,-84,-85,-200,-200,-200,-200
1526462738326,-33,-48,-49,-51,-64,-47,-60,-59,-62,-68,-74,-67,-68,-65,-73,-200,-87,-85,-77,-80,-200,-200,-85,-86,-84,-200,-200,-86,-200,-200,-73,-78,-94,-81,-83,-89,-84,-85,-200,-200,-200,-200
1526462741368,-34,-46,-50,-51,-61,-47,-59,-57,-62,-68,-75,-66,-69,-65,-77,-200,-89,-80,-75,-80,-200,-200,-200,-82,-79,-200,-200,-89,-200,-200,-73,-200,-200,-78,-79,-89,-200,-200,-200,-200,-200,-200
