,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:7F,78:A5:04:41:E9:F3,78:A5:04:41:E5:34,78:A5:04:41:E9:92,78:A5:04:41:EB:FB,78:A5:04:41:E9:8A,78:A5:04:41:EE:08,78:A5:04:41:E9:D2,78:A5:04:41:E5:59,78:A5:04:41:E9:D7,78:A5:04:41:E9:EB,7C:66:9D:7B:47:FC,78:A5:04:41:E9:82,7C:66:9D:7B:2E:21,78:A5:04:41:E9:BE,78:A5:04:41:EB:E8
1526448612876,-89,-86,-87,-78,-61,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448612950,-87,-86,-88,-200,-61,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448613051,-86,-87,-88,-200,-60,-200,-80,-75,-78,-88,-200,-200,-200,-200,-200,-200
1526448617515,-200,-200,-83,-200,-59,-200,-69,-76,-200,-88,-86,-200,-200,-200,-200,-200
1526448617615,-96,-200,-82,-70,-59,-200,-69,-77,-77,-200,-200,-95,-90,-200,-200,-200
1526448617716,-200,-200,-82,-200,-59,-200,-69,-77,-77,-200,-86,-96,-90,-200,-200,-200
1526448617838,-96,-200,-200,-72,-59,-200,-200,-77,-200,-200,-86,-96,-200,-200,-200,-200
1526448622470,-96,-200,-83,-79,-200,-200,-200,-85,-76,-200,-86,-200,-200,-97,-90,-200
1526448622636,-200,-200,-83,-200,-64,-94,-80,-85,-76,-200,-200,-200,-200,-97,-200,-200
1526448622820,-200,-200,-83,-200,-200,-200,-80,-200,-200,-200,-87,-200,-200,-96,-200,-200
1526448622925,-89,-200,-83,-79,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526448627739,-88,-200,-84,-77,-200,-200,-200,-200,-86,-200,-200,-98,-200,-200,-200,-200
1526448632486,-94,-89,-85,-200,-200,-200,-77,-76,-200,-200,-86,-98,-200,-200,-200,-200
1526448632582,-92,-200,-84,-200,-57,-200,-200,-76,-86,-88,-200,-97,-200,-200,-89,-200
1526448632725,-92,-200,-84,-200,-200,-200,-77,-76,-87,-89,-86,-200,-200,-200,-88,-200
1526448637458,-94,-91,-200,-200,-61,-200,-75,-79,-83,-200,-87,-200,-200,-99,-200,-200
1526448637665,-100,-200,-200,-200,-200,-200,-73,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526448637782,-93,-95,-200,-83,-200,-200,-74,-80,-91,-200,-200,-102,-200,-96,-200,-200
1526448638059,-95,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448638151,-101,-200,-84,-200,-59,-86,-69,-79,-85,-200,-90,-200,-90,-200,-200,-200
1526448642569,-91,-85,-200,-74,-58,-87,-200,-79,-200,-200,-90,-200,-200,-200,-200,-200
1526448642679,-200,-200,-84,-200,-200,-87,-200,-78,-82,-200,-200,-200,-92,-200,-200,-200
1526448642795,-200,-85,-84,-70,-59,-200,-69,-78,-200,-200,-200,-200,-91,-200,-200,-200
1526448642880,-90,-87,-86,-200,-58,-90,-82,-79,-200,-200,-85,-98,-200,-200,-200,-200
1526448647583,-200,-200,-86,-200,-57,-200,-200,-81,-79,-200,-85,-200,-90,-200,-87,-200
1526448647732,-200,-86,-200,-71,-59,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526448652459,-200,-200,-82,-200,-64,-200,-200,-82,-80,-200,-86,-200,-200,-200,-200,-200
1526448652566,-97,-86,-82,-200,-64,-89,-73,-81,-80,-200,-86,-200,-200,-97,-200,-200
1526448652709,-98,-200,-200,-81,-200,-200,-73,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526448652824,-200,-200,-82,-200,-200,-200,-73,-81,-80,-200,-200,-200,-200,-200,-200,-200
1526448657498,-92,-200,-83,-69,-58,-200,-200,-80,-81,-200,-200,-200,-90,-200,-200,-200
1526448657641,-90,-200,-83,-69,-57,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448657735,-90,-200,-82,-69,-58,-200,-69,-80,-81,-200,-91,-200,-200,-200,-200,-200
1526448657847,-96,-86,-200,-200,-58,-86,-200,-200,-200,-200,-200,-200,-91,-100,-200,-200
1526448662638,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448662745,-95,-88,-82,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448663036,-200,-200,-83,-81,-63,-200,-75,-200,-200,-200,-200,-200,-200,-96,-200,-200
1526448663143,-200,-87,-83,-81,-62,-200,-73,-77,-200,-200,-200,-100,-200,-200,-200,-200
1526448663254,-200,-200,-200,-200,-62,-200,-200,-77,-200,-90,-200,-200,-200,-200,-200,-200
1526448667488,-200,-200,-86,-70,-58,-87,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526448667552,-92,-85,-86,-200,-57,-87,-200,-78,-81,-200,-200,-200,-200,-200,-200,-200
1526448667668,-200,-200,-86,-200,-58,-200,-69,-78,-200,-92,-200,-200,-200,-200,-200,-200
1526448667770,-92,-200,-85,-200,-58,-86,-69,-78,-81,-91,-200,-200,-90,-200,-200,-200
1526448667876,-200,-200,-200,-200,-200,-200,-200,-78,-80,-200,-84,-200,-200,-200,-200,-200
1526448672530,-200,-88,-200,-200,-200,-200,-82,-82,-79,-90,-84,-200,-89,-200,-200,-200
1526448672633,-200,-86,-85,-70,-58,-200,-81,-81,-200,-89,-84,-200,-88,-200,-200,-200
1526448672729,-200,-200,-200,-70,-58,-200,-200,-80,-80,-90,-200,-200,-200,-200,-88,-200
1526448672827,-200,-200,-85,-82,-200,-200,-200,-80,-200,-200,-84,-200,-200,-200,-88,-200
1526448677462,-200,-200,-82,-81,-63,-200,-73,-80,-80,-200,-200,-200,-200,-97,-200,-200
1526448677552,-95,-200,-200,-200,-64,-90,-72,-80,-200,-200,-200,-200,-200,-200,-200,-200
