,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:15,7C:66:9D:7B:2B:BA,7C:66:9D:7B:47:3D,78:A5:04:41:E7:A2,78:A5:04:41:EB:CE,BC:6A:29:BE:31:61,BC:6A:29:BE:2F:12,78:A5:04:41:E7:93,78:A5:04:41:E7:98,78:A5:04:41:E7:EF,78:A5:04:41:EE:1D,78:A5:04:41:EB:DD,78:A5:04:41:E7:D5,7C:66:9D:7B:46:8C,78:A5:04:41:E7:88,7C:66:9D:7B:2B:CB,78:A5:04:41:E5:70,78:A5:04:41:E5:62
1526452720601,-81,-78,-87,-78,-92,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452720709,-81,-77,-200,-200,-90,-200,-79,-76,-88,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526452721831,-78,-200,-85,-77,-93,-93,-78,-200,-200,-75,-71,-200,-200,-200,-200,-200,-200,-200
1526452722902,-86,-200,-96,-200,-200,-200,-86,-200,-94,-200,-200,-81,-94,-200,-200,-200,-200,-200
1526452723017,-86,-200,-95,-200,-200,-200,-200,-200,-200,-78,-200,-78,-92,-85,-200,-200,-200,-200
1526452724052,-84,-200,-85,-200,-200,-80,-200,-200,-200,-200,-68,-200,-200,-81,-92,-200,-200,-200
1526452726236,-84,-200,-200,-81,-93,-200,-81,-200,-200,-200,-63,-200,-200,-84,-200,-83,-200,-200
1526452727318,-88,-200,-200,-79,-200,-80,-78,-200,-200,-77,-67,-71,-92,-200,-200,-84,-84,-200
1526452728481,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-81,-200,-200,-200,-200
