,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:8E,BC:6A:29:BE:2F:54,78:A5:04:41:E9:A0,78:A5:04:41:E7:9D,78:A5:04:41:E9:B3,78:A5:04:41:EB:A5,78:A5:04:41:E9:98
1526458316696,-83,-76,-200,-200,-200,-200,-200
1526458316801,-87,-76,-83,-84,-200,-200,-200
1526458316921,-90,-77,-82,-87,-200,-200,-200
1526458317030,-86,-75,-78,-200,-76,-200,-200
1526458321768,-86,-200,-200,-200,-77,-91,-200
1526458321861,-200,-200,-200,-200,-77,-91,-200
1526458321971,-200,-78,-78,-200,-77,-200,-200
1526458326592,-200,-78,-81,-82,-75,-200,-200
1526458326703,-200,-78,-82,-82,-75,-200,-200
1526458326810,-200,-78,-81,-82,-200,-200,-90
1526458326924,-200,-77,-81,-200,-74,-200,-90
1526458327019,-200,-78,-81,-80,-82,-90,-91
1526458331704,-81,-77,-200,-80,-200,-90,-200
1526458331805,-81,-77,-81,-80,-75,-89,-90
1526458331909,-81,-77,-200,-81,-75,-90,-200
1526458332001,-200,-78,-77,-82,-74,-90,-90
1526458336712,-84,-74,-200,-82,-74,-200,-200
1526458336813,-84,-74,-200,-82,-200,-92,-200
1526458336912,-200,-75,-77,-82,-74,-200,-91
1526458337026,-82,-75,-79,-200,-74,-200,-200
1526458341677,-82,-200,-79,-81,-74,-200,-200
1526458341788,-82,-78,-79,-81,-74,-200,-200
1526458341880,-82,-200,-79,-200,-74,-200,-90
1526458341989,-82,-200,-200,-200,-74,-200,-200
1526458346625,-200,-200,-82,-200,-75,-200,-200
1526458346710,-200,-77,-82,-80,-70,-91,-200
1526458346821,-200,-200,-82,-80,-70,-200,-200
1526458346927,-81,-200,-82,-80,-70,-92,-200
1526458347020,-81,-79,-82,-81,-69,-89,-200
1526458351645,-83,-78,-200,-80,-74,-200,-200
1526458351737,-83,-200,-200,-200,-75,-200,-200
1526458351847,-83,-200,-77,-82,-74,-94,-93
1526458351948,-82,-200,-77,-81,-75,-200,-200
1526458352061,-82,-77,-77,-200,-74,-200,-200
1526458356701,-200,-200,-200,-81,-74,-200,-91
1526458356834,-200,-200,-79,-81,-200,-200,-90
1526458356987,-82,-200,-79,-81,-75,-200,-91
1526458357088,-82,-200,-79,-200,-200,-200,-200
1526458361629,-81,-77,-200,-80,-75,-200,-90
1526458361723,-81,-77,-82,-80,-75,-90,-200
1526458361822,-81,-77,-200,-81,-200,-200,-90
1526458361933,-81,-76,-200,-80,-74,-200,-90
1526458366700,-83,-78,-200,-200,-200,-200,-200
1526458366790,-200,-79,-200,-200,-200,-200,-200
1526458367007,-200,-79,-200,-200,-200,-200,-200
1526458367112,-200,-79,-200,-200,-200,-200,-200
1526458367316,-200,-79,-200,-81,-74,-200,-200
1526458371616,-200,-79,-79,-82,-74,-200,-200
1526458371731,-200,-78,-80,-81,-74,-200,-91
1526458371833,-200,-79,-80,-82,-74,-200,-200
1526458371940,-200,-77,-79,-82,-75,-200,-200
1526458372046,-200,-78,-82,-80,-200,-90,-90
1526458376648,-81,-77,-200,-81,-200,-91,-200
1526458376760,-200,-77,-200,-200,-75,-200,-200
